,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,437.09,470.65,490.91,404.93,359.9,298.57,264.59,203.98,161.09,194.33,345.29,224.11,279.23,312.05,275.95,235.67,253.64,190.78,130.89,142.02
1,Other Revenue,-,-0.19,0.19,-,0.01,-0,0,-,0.01,-0.01,0.01,-,0.02,-,-,-,-,-,-,-
2,Revenue,437.09,470.46,491.09,404.93,359.91,298.57,264.6,203.98,161.1,194.32,345.3,224.11,279.26,312.05,275.95,235.67,253.64,190.78,130.89,142.02
3,Revenue Growth (YoY),21.45%,57.57%,85.60%,98.52%,123.40%,53.65%,-23.37%,-8.98%,-42.31%,-37.73%,25.13%,-4.91%,10.10%,63.56%,110.83%,65.94%,-,-,-,-
4,Cost of Revenue,-910.56,328,306.39,276.16,365.78,140.07,294.52,158.77,190.73,143.5,233.25,149.21,185.45,174.11,175.83,170.13,189.48,147.84,99.27,109.13
5,Gross Profit,1348,142.45,184.7,128.76,-5.88,158.5,-29.92,45.21,-29.63,50.82,112.05,74.9,93.8,137.93,100.12,65.54,64.15,42.94,31.62,32.89
6,"Selling, General & Admin",-78.12,27.98,26.27,23.87,22.74,21.79,21.92,19.66,18.66,15.84,13.81,12.71,13.9,12.9,9.74,10.3,8.56,9.21,8.07,8.84
7,Research & Development,-172.07,60.8,60.16,51.11,46.42,51.12,47.22,46.53,39.09,42.29,36.31,30.9,32.19,24.47,17.85,16.98,16.13,11.87,9.38,8.59
8,Other Operating Expenses,1508,-7.16,0.64,-4.8,-0.24,0.47,-1.48,-0.11,6.96,-3.15,0.05,-2.83,5.62,-0.6,-2.52,0.12,3.3,-2.12,-0.22,0.1
9,Operating Expenses,1254,79.75,89.36,73.32,71.99,74.41,69.74,65.13,64.18,53.94,56.66,40.59,52.66,39.21,25.21,27.52,28.8,21.01,18.08,19.41
10,Operating Income,93.2,62.7,95.34,55.44,-77.87,84.09,-99.66,-19.92,-93.81,-3.12,55.38,34.31,41.15,98.73,74.91,38.02,35.35,21.93,13.54,13.48
11,Interest Expense,-11.39,-0.02,-,-,-0.46,-,-0.02,-0.36,-0.23,-0.08,-0.06,-,-0.02,-0.02,-0.02,-0.01,-0.15,-,-0.05,-0.05
12,Interest & Investment Income,0.02,1.55,3.39,6.45,6.6,8.52,6.96,7,6.56,7.08,8.4,8.84,9.3,3.47,0.74,0.69,1.14,0.83,0.82,0.76
13,Currency Exchange Gain (Loss),-,-2.12,2.12,-,0.34,-0.73,0.73,-,3.75,-2.52,2.52,-,-1.62,0.49,-0.49,-,-3.23,-0.18,-0.05,0.23
14,Other Non Operating Income (Expenses),-1.41,1.9,-1.73,0.89,-0.42,0.43,0.63,-0.75,-4.03,4.92,-0.99,-0.49,-0.14,0.22,-0.49,0,-1.5,1.04,0.43,-0.03
15,EBT Excluding Unusual Items,80.41,64.02,99.11,62.79,-71.81,92.3,-91.35,-14.03,-87.77,6.27,65.25,42.66,48.67,102.88,74.66,38.7,31.61,23.62,14.68,14.39
16,Gain (Loss) on Sale of Investments,7.7,9.58,-3.99,-13.29,0.56,-10.75,-0.29,19.95,-0.14,34.57,-,-,-0.17,0.08,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,-,-,-,0.01,-,-,-,-,-0.01,0.01,-,-0,-,-,-,-,-,-,-
18,Asset Writedown,-18.97,18.97,-1.61,1.61,108.18,-108.2,36.04,-36.04,2.91,-3.31,-0.67,0.67,1.5,-1.5,0.34,-0.34,1.76,-1.76,-,-
19,Other Unusual Items,0.35,-0.24,-0.11,-,5.55,0.01,-0.01,-,20.33,-,-,-,17.87,-,-,-,9.65,0,-0.07,0.07
20,Pretax Income,69.5,92.33,93.4,51.11,42.5,-26.63,-55.61,-30.12,-64.66,37.52,64.59,43.33,67.88,101.46,75,38.36,43.03,21.86,14.61,14.46
21,Income Tax Expense,1.16,3.56,7.34,1.19,-10.8,-3.3,-5.5,-1.98,-9.6,2.71,2.71,1.82,-0.54,-7.76,-0.1,-0.06,4.01,1.53,0.99,1.39
22,Net Income,68.34,88.77,86.06,49.92,53.31,-23.33,-50.11,-28.14,-55.07,34.81,61.88,41.52,68.42,109.22,75.1,38.42,39.02,20.33,13.62,13.07
