,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,12114,10654,8627,10224,6839,7387,7253,8063,8989,7707,6091,8274,10600,12847,11466,-,-,-,-,-,-
1,Market Cap Growth,44.22%,44.22%,18.94%,26.80%,-23.92%,-4.15%,19.08%,-2.55%,-15.20%,-40.01%,-46.88%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,11005,9545,7551,9090,5693,6242,6132,6895,7763,6481,4841,6903,9111,11358,11291,-,-,-,-,-,-
3,Last Close Price,115.13,101.26,81.81,96.96,64.65,69.83,68.57,76.13,84.78,72.68,57.44,77.91,99.45,120.53,107.58,-,-,-,-,-,-
4,PE Ratio,41.41,36.35,31.03,61.61,229.55,-153.03,-,-,-,-,29.48,29.44,36.02,44.13,43.81,-,-,-,-,-,-
5,Forward PE,32.71,30.63,28.42,40.85,54.31,101.06,-,57.80,18.60,16.97,14.67,21.64,29.42,37.80,44.05,-,-,-,-,-,-
6,PS Ratio,6.73,5.91,5.00,6.58,5.15,6.55,7.81,9.79,9.94,8.33,5.84,7.13,9.71,11.65,10.64,-,-,-,-,-,-
7,PB Ratio,5.61,4.94,4.00,4.91,3.44,3.83,3.86,4.25,4.58,3.88,2.98,4.10,5.36,6.65,6.17,-,-,-,-,-,-
8,P/TBV Ratio,5.06,5.06,4.10,5.04,3.51,3.90,3.91,4.29,4.60,3.91,2.99,4.12,5.38,6.68,6.19,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-148.36,-,-,-144.50,-378.03,-,-,-40.36,-,-,-,84.92,82.60,-,-,-,-,-,-
10,P/OCF Ratio,-,-,360.43,-,-,338.39,142.38,-162.17,-,-59.08,-,-,-,70.67,67.48,-,-,-,-,-,-
11,EV/Sales Ratio,6.10,5.29,4.37,5.85,4.29,5.54,6.61,8.37,8.58,7.01,4.64,5.95,8.35,10.30,10.48,-,-,-,-,-,-
12,EV/EBITDA Ratio,34.19,29.59,49.84,52.74,-246.27,-,-53.07,-,-,-,-,28.86,35.32,43.54,44.40,-,-,-,-,-,-
13,EV/EBIT Ratio,35.88,31.12,55.68,57.89,-149.83,-,-47.42,-,-,-,-,30.07,36.58,44.93,45.71,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-129.86,-,-,-122.09,-319.58,-,-,-33.94,-,-,-,75.07,81.33,-,-,-,-,-,-
15,Debt / Equity Ratio,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.01,0.02,0.00,0.00,0.00,0.00,-,-,-,-,0.01
16,Debt / EBITDA Ratio,0.21,0.17,0.25,0.00,0.02,-,0.02,-,-,-,-,0.13,0.01,0.01,0.00,0.00,-,-,-,-,0.05
17,Debt / FCF Ratio,-,-,-1.16,-,-,-0.18,-0.43,-,-,-0.09,-,-,-,0.01,0.01,0.02,-,-,-,-,-
18,Asset Turnover,-,0.77,0.85,0.74,0.69,0.58,0.50,0.35,0.28,0.35,0.65,0.44,0.56,0.98,-,-,2.24,-,-,-,
19,Inventory Turnover,-,-,1.98,2.11,2.51,4.06,1.41,2.39,1.04,1.21,1.13,2.49,2.15,3.46,3.67,-,-,5.30,-,-,-
20,Quick Ratio,-,-,4.88,4.99,6.15,8.79,10.09,10.00,6.39,3.80,7.00,9.59,19.15,18.61,19.82,3.78,-,3.57,3.31,-,3.76
21,Current Ratio,-,-,7.00,7.09,8.28,10.83,12.57,13.07,8.87,5.53,9.77,12.11,23.20,21.17,22.37,5.85,-,5.38,5.13,-,5.75
22,Return on Equity (ROE),12.67%,16.76%,16.93%,10.20%,11.20%,-4.94%,-10.37%,-5.70%,-10.93%,6.85%,12.39%,8.49%,14.44%,36.96%,67.06%,39.28%,41.99%,-,-,-,
23,Return on Assets (ROA),-,6.42%,10.28%,6.36%,-9.39%,10.29%,-11.70%,-2.16%,-10.01%,-0.35%,6.49%,4.19%,5.18%,19.40%,-,-,19.54%,-,-,-,
24,Return on Capital (ROIC),10.47%,7.28%,11.71%,7.06%,-10.18%,11.08%,-12.72%,-2.48%,-11.55%,-0.38%,6.87%,4.38%,5.42%,20.85%,41.73%,24.29%,23.78%,-,-,-,
25,Return on Capital Employed (ROCE),-,-,6.27%,7.54%,-1.91%,-,-6.85%,-,-,-,-,11.30%,12.57%,13.07%,13.27%,33.62%,-,21.54%,13.89%,-,4.20%
26,Earnings Yield,2.42%,2.75%,3.22%,1.62%,0.44%,-0.65%,-2.16%,-1.22%,0.15%,1.08%,3.39%,3.40%,2.78%,2.27%,2.28%,-,-,-,-,-,-
27,FCF Yield,-,-0.67%,-0.59%,-0.20%,-0.69%,-0.26%,-1.64%,-2.25%,-2.48%,-3.80%,-1.10%,0.32%,1.18%,1.21%,-,-,-,-,-,-,
28,Dividend Yield,0.33%,-,-,0.20%,-,-,-,-,-,-,-,0.48%,-,0.23%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,0.71%,-,-,-,-,29.58%,46.99%,-,-,-,-,-,0.13%,-,0.76%,-
30,Buyback Yield / Dilution,0.17%,1.18%,0.22%,1.14%,-2.14%,-0.32%,0.11%,-0.49%,1.83%,-0.11%,-20.22%,-35.19%,-32.73%,-34.70%,-10.51%,0.00%,-4.36%,-,-,-,-
31,Total Shareholder Return,0.50%,1.18%,0.22%,1.34%,-2.14%,-0.32%,0.11%,-0.49%,1.83%,-0.11%,-20.22%,-34.71%,-32.73%,-34.47%,-10.51%,0.00%,-4.36%,-,-,-,-
