,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,1077,987.57,1045,1107,1091,1058,1138,1211,1184,1281,1373,1463,1478,177.38,-,117.44,119.37,-,143.64
1,Short-Term Investments,-,44.05,43.7,43.34,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,55.81,46.23,50.22,63.51,62.95,73.7,73.99,54.04,54.18,-,-,-,13.05,-,-,-,-,-,-
3,Cash & Short-Term Investments,1177,1177,1078,1138,1224,1154,1132,1212,1265,1239,1281,1373,1463,1491,177.38,117.44,117.44,119.37,-,143.64
4,Cash Growth,-3.85%,1.98%,-4.80%,-6.03%,-3.25%,-6.84%,-11.61%,-11.76%,-13.54%,-16.90%,621.96%,1069.12%,1145.80%,1148.74%,-,-18.24%,-,-,-,-
5,Accounts Receivable,-,413.14,458.36,393.32,339.58,307.17,280.21,246.96,267.13,285.31,359.79,242.04,224.49,179.91,169.49,-,173.67,141.83,-,91.27
6,Other Receivables,-,15.46,23.01,14.82,16.42,16.29,16.62,16.61,16.82,14.84,3.68,3.55,1.03,1.09,3.48,-,0.87,0.93,-,1.56
7,Receivables,-,428.6,481.37,408.14,356,323.46,296.83,263.57,283.95,300.15,363.47,245.59,225.51,181,172.97,-,174.54,142.76,-,92.83
8,Inventory,-,680.04,645.08,518.57,362.6,358.08,436.7,550.3,670.27,594.53,418.54,331.01,225.46,203.23,176.52,-,144.31,141.66,-,122.09
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.65,-,-,-,-,-
10,Other Current Assets,-,20.18,7.47,15.27,4.61,4.56,2.64,22.16,36.36,15.17,14.57,10.86,6.81,11.28,7.98,-,4.22,2.44,-,2.74
11,Total Current Assets,-,2306,2211,2080,1947,1840,1868,2048,2256,2148,2077,1960,1921,1886,542.5,-,440.52,406.22,-,361.3
12,"Property, Plant & Equipment",-,46.3,45.73,47.57,53.71,52.49,52.68,59.74,58.01,56.39,49.74,32.5,32.97,30.25,31.29,-,20.12,16.75,-,15.16
13,Long-Term Investments,-,30.12,30.12,15.12,15.12,67.76,67.4,51.93,51.57,51.22,50.86,50.51,50.15,10,10,-,-,-,-,-
14,Other Intangible Assets,-,52.69,49.92,39.14,36.13,22.42,18.49,12.08,12.23,8.03,8.05,8.37,8.57,8.15,8.48,-,4.02,3.99,-,3.42
15,Long-Term Deferred Tax Assets,-,15.28,18.84,26.18,27.37,16.56,13.12,7.7,5.63,1.42,4.41,3.07,2.56,2.02,2.5,-,2.34,2.63,-,2.29
16,Long-Term Deferred Charges,-,41.59,38.4,32.63,35.21,33.58,31.19,28.55,23.08,12.72,12.89,10.77,9.63,7.79,4.08,-,1.53,1.8,-,1.54
17,Other Long-Term Assets,-,-,-,-,-,-,1.62,-,0.46,-,-,-,-,0.78,0.16,-,4.7,0.2,-,-
18,Total Assets,-,2492,2394,2241,2115,2033,2053,2208,2407,2278,2203,2066,2025,1945,599.02,-,473.23,431.59,-,383.71
19,Accounts Payable,-,175.32,238.52,217.38,128.41,112.27,109.56,177.42,377.99,206.45,133.42,67.27,72.09,74.33,79.05,-,64.8,69.89,-,56.35
20,Accrued Expenses,-,19.15,29.96,10.63,31.58,15.49,19.54,8.25,16.57,10.12,8.49,3.18,10.54,5.07,11.04,-,12.78,6.23,-,1.34
21,Short-Term Debt,-,62.81,-,-,3.25,-,-,31.05,3.1,-,16.55,-,-,-,-,-,-,-,-,3.01
22,Current Income Taxes Payable,-,21.08,-,0.54,-,8.97,-,0.63,-,-3.83,1.35,-7.52,-,2.99,-,-,1.73,0.09,-,-
23,Current Unearned Revenue,-,1.39,1.4,1.6,1.94,1.26,3.38,0.38,4.31,1.29,1.47,2.71,1.57,0.69,1.22,-,1.31,2.02,-,1.37
24,Other Current Liabilities,-,49.4,42.2,21.24,14.64,8.38,10.41,13.15,6.11,5.93,10.22,18.86,6.54,1.26,1.47,-,1.25,0.95,-,0.8
25,Total Current Liabilities,-,329.15,312.09,251.41,179.82,146.39,142.89,230.87,408.07,219.96,171.5,84.5,90.74,84.33,92.78,-,81.87,79.18,-,62.86
26,Long-Term Leases,-,4.6,1.88,3.94,6.06,8.18,10.27,12.32,14.35,12.53,14.4,1.72,2.05,1.27,1.5,-,-,-,-,-
27,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02,-,0.15,0.22,-,2.61
28,Total Liabilities,-,333.75,313.97,255.35,185.88,154.56,153.16,243.19,422.42,232.49,185.9,86.22,92.8,85.6,94.3,-,82.02,79.4,-,65.47
29,Common Stock,-,105.61,105.61,75.52,75.52,75.52,75.52,50.72,50.72,50.72,50.72,36.23,36.23,36.23,27.17,-,27.17,27.17,-,27.17
30,Additional Paid-In Capital,-,1514,1505,1527,1519,1522,1513,1527,1519,1523,1519,1528,1522,1518,281.72,-,281.72,281.72,-,281.72
31,Retained Earnings,-,573.6,504.85,418.79,368.87,315.56,338.89,389,417.14,472.21,447.74,414.99,373.47,305.05,195.83,-,82.32,43.3,-,9.35
32,Treasury Stock,-,-35.1,-35.1,-35.1,-35.1,-35.1,-27.7,-2.45,-2.45,-,-,-,-,-,-,-,-,-,-,-
33,Shareholders' Equity,2158,2158,2080,1986,1929,1878,1899,1964,1984,2046,2017,1979,1932,1859,504.72,391.21,391.21,352.19,-,318.24
34,Total Liabilities & Equity,-,2492,2394,2241,2115,2033,2053,2208,2407,2278,2203,2066,2025,1945,599.02,-,473.23,431.59,-,383.71
35,Total Debt,67.41,67.41,1.88,3.94,9.31,8.18,10.27,43.37,17.45,12.53,30.95,1.72,2.05,1.27,1.5,-,-,-,-,3.01
