,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Revenue,7.79,10.8,9.36,13.62,16.98,17.39,44.97,-,79.58,-,Upgrade
1,Revenue Growth (YoY),-16.71%,-20.67%,-44.91%,-21.70%,-62.24%,-,-43.48%,-,132.16%,-,Upgrade
2,Cost of Revenue,4.27,6.76,3.55,6.59,9.49,8.29,32.32,-,58.67,-,Upgrade
3,Gross Profit,3.53,4.05,5.81,7.03,7.49,9.1,12.66,-,20.91,-,Upgrade
4,"Selling, General & Admin",11.94,14,16.86,17.8,18.17,20.68,25.54,-,33.62,-,Upgrade
5,Other Operating Expenses,2.25,4.31,3.55,5.99,7.08,10.98,8.55,-,8.54,-,Upgrade
6,Operating Expenses,13.81,17.66,20.25,23.52,26.44,30.87,34.08,-,42.49,-,Upgrade
7,Operating Income,-10.28,-13.62,-14.44,-16.49,-18.95,-21.77,-21.43,-,-21.59,-,Upgrade
8,Interest Expense,-0.06,-0.02,-0.05,-0.07,-0.05,-0.17,-0.9,-,-1.23,-,Upgrade
9,Interest & Investment Income,0.19,0.32,0.17,0.16,0.08,0.18,0.11,-,0.2,-,Upgrade
10,Earnings From Equity Investments,-0.1,-0.14,-0.25,0.05,-0.22,-0.13,-0.14,-,-0.03,-,Upgrade
11,Currency Exchange Gain (Loss),0.24,-2.35,-0.15,-0.23,-0.38,0.15,0.04,-,-0.05,-,Upgrade
12,Other Non Operating Income (Expenses),0.09,3.95,0.91,0.1,0.05,0.07,0.08,-,0.1,-,Upgrade
13,EBT Excluding Unusual Items,-9.92,-11.85,-13.81,-16.49,-19.47,-21.66,-22.24,-,-22.58,-,Upgrade
14,Impairment of Goodwill,-,-,-,-,-,-0.06,-1.4,-,-2.49,-,Upgrade
15,Gain (Loss) on Sale of Investments,0.4,0.25,-6.18,0.13,-1.51,5.41,0.9,-,-0.3,-,Upgrade
16,Gain (Loss) on Sale of Assets,-,10.94,0.83,0.04,-0.01,-0.18,0.02,-,-,-,Upgrade
17,Asset Writedown,-2.41,-0.97,-,0.55,-2.57,2.5,-3.82,-,-,-,Upgrade
18,Legal Settlements,-,-,-,0.92,-0.92,-,-,-,-,-,Upgrade
19,Other Unusual Items,-,-,-,0.26,0.57,0.07,0.86,-,0.84,-,Upgrade
20,Pretax Income,-11.93,-1.64,-19.17,-14.58,-23.92,-13.9,-25.67,-,-24.53,-,Upgrade
21,Income Tax Expense,-0.31,-0.02,0.14,0.15,-,-0.35,-0.02,-,-0.13,-,Upgrade
22,Earnings From Continuing Operations,-11.62,-1.62,-19.31,-14.73,-23.92,-13.55,-25.66,-,-24.4,-,Upgrade
23,Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-0.3,-,Upgrade
24,Net Income to Company,-11.62,-1.62,-19.31,-14.73,-23.92,-13.55,-25.66,-,-24.7,-,Upgrade
25,Minority Interest in Earnings,0.24,-5.23,5.38,-1.64,3.07,4.78,5.49,-,4.92,-,Upgrade
26,Net Income,-11.38,-6.85,-13.93,-16.37,-20.85,-8.77,-20.17,-,-19.78,-,Upgrade
27,Net Income to Common,-11.38,-6.85,-13.93,-16.37,-20.85,-8.77,-20.17,-,-19.78,-,Upgrade
28,Shares Outstanding (Basic),1669,1669,1669,1669,1669,1669,1615,-,1391,-,Upgrade
29,Shares Outstanding (Diluted),1669,1669,1669,1669,1669,1669,1615,-,1391,-,Upgrade
30,Shares Change (YoY),-,-,-,-0.05%,3.35%,-,16.10%,-,-,-,Upgrade
31,EPS (Basic),-0.01,-0.00,-0.01,-0.01,-0.01,-0.01,-0.01,-,-0.01,-,Upgrade
32,EPS (Diluted),-0.01,-0.00,-0.01,-0.01,-0.01,-0.01,-0.01,-,-0.01,-,Upgrade
33,Free Cash Flow,-8.85,-,-13.26,-44.04,-15.46,-13.45,16.24,-,-22.12,-,Upgrade
34,Free Cash Flow Per Share,-0.01,-,-0.01,-0.03,-0.01,-0.01,0.01,-,-0.02,-,Upgrade
35,Operating Margin,-131.96%,-126.04%,-154.39%,-121.09%,-111.59%,-125.15%,-47.65%,-,-27.13%,-,Upgrade
36,Profit Margin,-146.10%,-63.42%,-148.92%,-120.22%,-122.78%,-50.44%,-44.85%,-,-24.86%,-,Upgrade
37,Free Cash Flow Margin,-113.63%,-,-141.72%,-323.37%,-91.06%,-77.36%,36.10%,-,-27.79%,-,Upgrade
38,EBITDA,-10.01,-13.53,-14.17,-16.71,-18.37,-23.14,-19.91,-,-20.46,-,Upgrade
39,D&A For EBITDA,0.27,0.26,0.28,-0.22,0.59,-1.38,1.51,0.11,1.13,0.49,Upgrade
40,EBIT,-10.28,-13.62,-14.44,-16.49,-18.95,-21.77,-21.43,-,-21.59,-,Upgrade
41,Advertising Expenses,0.13,-,1,-,0.03,-,-,-,-,-,Upgrade
