,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Oct '24 Oct 31, 2024","Apr '24 Apr 30, 2024","Oct '23 Oct 31, 2023","Apr '23 Apr 30, 2023","Oct '22 Oct 31, 2022","Apr '22 Apr 30, 2022","Oct '21 Oct 31, 2021","Apr '21 Apr 30, 2021","Oct '20 Oct 31, 2020","Apr '20 Apr 30, 2020"
0,Cash & Equivalents,0.66,1.16,0.26,0.65,1.23,3.16,1.43,0.35,1.93,1.87
1,Short-Term Investments,0.08,0.14,0.06,3.77,0.04,4.74,2.28,3.82,1.06,1.73
2,Trading Asset Securities,0.12,-,-,1.9,0.16,0.15,-,-,-,-
3,Cash & Short-Term Investments,0.86,1.3,0.32,6.32,1.43,8.05,3.7,4.17,2.99,3.6
4,Cash Growth,166.98%,-79.37%,-77.62%,-21.51%,-61.27%,93.05%,23.80%,15.86%,-38.28%,48.76%
5,Accounts Receivable,5.04,3.37,3.76,1.71,2.42,7.36,7.34,9.39,10.44,4.97
6,Other Receivables,0.73,2.03,1.68,0.28,0.94,0.09,0.09,0.03,0.03,-
7,Receivables,5.77,5.41,5.43,1.99,3.36,7.45,7.43,9.42,10.48,4.97
8,Inventory,14.98,12.72,11.96,15.6,14.25,17.88,15.29,17.46,19.28,16.91
9,Prepaid Expenses,3.91,4.23,3.47,-,2.92,-,-,-,-,-
10,Other Current Assets,2.41,2.18,6.16,1.14,2.65,2.98,1.98,3.33,3.24,3.76
11,Total Current Assets,27.93,25.84,27.34,25.04,24.61,36.36,28.41,34.38,35.98,29.24
12,"Property, Plant & Equipment",6.48,5.78,5.93,10.55,10.15,6.7,7.17,7.51,7.59,7.74
13,Other Intangible Assets,0.31,0.28,0.28,0.3,0.29,0.31,0.33,0.33,0.33,0.32
14,Long-Term Deferred Tax Assets,-,0.25,0.27,-,0.13,0.26,0.16,0.43,0.22,0.07
15,Other Long-Term Assets,0.33,0.33,0.33,0.33,0.33,0.39,0.41,-,-,-
16,Total Assets,35.04,32.49,34.15,36.23,35.5,44.03,36.48,42.64,44.12,37.37
17,Accounts Payable,5.68,3.58,3.7,3.75,2.42,4.22,5.05,4.9,5.22,4.27
18,Short-Term Debt,6.67,4.7,8.03,9.76,12,9.43,8.22,11.06,11.62,7.69
19,Current Portion of Long-Term Debt,3.59,3.45,3.33,-,-,-,-,-,-,-
20,Current Portion of Leases,0.04,0.03,0.03,0.03,0.03,0.05,0.02,0.21,0.31,0.29
21,Current Income Taxes Payable,0.02,-,-,-,-,0.02,0.04,-,-,0.29
22,Current Unearned Revenue,3.9,5.79,3.68,1.42,0.75,8.04,2.87,7.23,5.79,3.7
23,Other Current Liabilities,1.1,0.42,1.56,0.49,0.95,0.37,1.02,0.67,1.22,1.74
24,Total Current Liabilities,20.98,17.96,20.32,15.44,16.13,22.12,17.21,24.07,24.15,17.99
25,Long-Term Debt,-,-,-,3.2,3.08,2.97,-,-,-,-
26,Long-Term Leases,0.07,0.07,0.08,0.1,0.11,-,0.07,0.1,0.05,0.26
27,Long-Term Deferred Tax Liabilities,0.04,-,-,0.1,-,-,-,-,-,-
28,Total Liabilities,21.09,18.02,20.4,18.84,19.32,25.09,17.28,24.17,24.2,18.24
29,Common Stock,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
30,Additional Paid-In Capital,7.17,7.17,7.17,7.17,7.17,7.17,7.66,-,9.28,9.28
31,Retained Earnings,5.73,7.49,6.72,9.77,9.51,11.01,10.74,-,9.85,9.7
32,Comprehensive Income & Other,0.76,-0.49,-0.47,0.12,-0.83,0.43,0.48,18.15,0.47,-0.17
33,Total Common Equity,13.99,14.5,13.75,17.38,16.17,18.93,19.2,18.48,19.92,19.13
34,Minority Interest,-0.03,-0.03,-,-,-,-,-,-,-,-
35,Shareholders' Equity,13.96,14.47,13.75,17.38,16.17,18.93,19.2,18.48,19.92,19.13
36,Total Liabilities & Equity,35.04,32.49,34.15,36.23,35.5,44.03,36.48,42.64,44.12,37.37
37,Total Debt,10.36,8.25,11.46,13.09,15.21,12.45,8.3,11.37,11.97,8.24
38,Net Cash (Debt),-9.5,-6.94,-11.14,-6.77,-13.78,-4.4,-4.6,-7.2,-8.98,-4.64
39,Net Cash Per Share,-0.04,-0.03,-0.04,-0.02,-0.05,-0.02,-0.02,-0.03,-0.04,-0.02
40,Filing Date Shares Outstanding,251.36,251.36,251.36,251.36,251.36,251.36,251.36,251.36,251.36,251.36
41,Total Common Shares Outstanding,251.36,251.36,251.36,251.36,251.36,251.36,251.36,251.36,251.36,251.36
42,Working Capital,6.94,7.89,7.02,9.6,8.48,14.24,11.2,10.31,11.83,11.26
43,Book Value Per Share,0.06,0.06,0.05,0.07,0.06,0.07,0.08,0.07,0.08,0.08
44,Tangible Book Value,13.68,14.21,13.47,17.08,15.89,18.62,18.87,18.15,19.59,18.81
45,Tangible Book Value Per Share,0.05,0.06,0.05,0.07,0.06,0.07,0.08,0.07,0.08,0.07
46,Land,1.76,-,1.62,-,5.44,-,1.86,-,1.85,-
47,Buildings,5.19,-,4.68,-,4.72,-,5.37,-,5.22,-
48,Machinery,4.45,-,3.96,-,3.99,-,4.19,-,4.12,-
