,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Oct '24 Oct 31, 2024","Apr '24 Apr 30, 2024","Oct '23 Oct 31, 2023","Apr '23 Apr 30, 2023","Oct '22 Oct 31, 2022","Apr '22 Apr 30, 2022","Oct '21 Oct 31, 2021","Apr '21 Apr 30, 2021","Oct '20 Oct 31, 2020","Apr '20 Apr 30, 2020"
0,Revenue,14.14,8.81,10.2,4.06,13.34,14.14,14.95,18.58,14.59,16.56
1,Revenue Growth (YoY),38.62%,116.96%,-23.49%,-71.27%,-10.77%,-23.91%,2.41%,12.22%,-48.30%,-52.60%
2,Cost of Revenue,12.25,6.5,9.04,3.04,11.73,10.83,12.61,15.5,12.5,12.96
3,Gross Profit,1.89,2.32,1.17,1.02,1.61,3.31,2.33,3.08,2.09,3.6
4,"Selling, General & Admin",1.93,1.87,2.56,1.93,2.39,2.56,1.96,2.55,2.31,2.24
5,Other Operating Expenses,-0.38,-0.32,1.16,-1.24,0.07,-0.14,-0.03,-0.06,0.15,-0.26
6,Operating Expenses,3,1.67,5.89,-0.1,2.4,3.04,0.6,3.18,2.25,2.81
7,Operating Income,-1.11,0.65,-4.73,1.12,-0.8,0.27,1.74,-0.1,-0.16,0.78
8,Interest Expense,-0.3,-0.45,-0.46,-0.5,-0.68,-0.26,-0.17,-0.32,-0.17,-0.26
9,Interest & Investment Income,0.1,0.1,0.31,0.02,0.02,0.03,-,0.04,0.1,-
10,Currency Exchange Gain (Loss),0.03,0.09,0.24,-0.08,0.16,0.11,-0.14,0.27,0.39,-
11,EBT Excluding Unusual Items,-1.29,0.39,-4.64,0.55,-1.3,0.15,1.42,-0.11,0.16,0.52
12,Gain (Loss) on Sale of Investments,0.38,-,1.2,0.01,-0.11,0.01,-,-,-,-
13,Gain (Loss) on Sale of Assets,-0.57,0.58,-,-,0.01,-,0.02,-,-,-
14,Pretax Income,-1.48,0.96,-3.44,0.56,-1.4,0.16,1.44,-0.11,0.16,0.52
15,Income Tax Expense,0.29,0.23,-0.4,0.3,0.1,0.04,0.5,0.01,0.03,0.25
16,Earnings From Continuing Operations,-1.77,0.74,-3.05,0.26,-1.5,0.13,0.94,-0.11,0.14,0.28
17,Minority Interest in Earnings,-0,0,-,-,-,-,-,-,-,-
18,Net Income,-1.77,0.74,-3.05,0.26,-1.5,0.13,0.94,-0.11,0.14,0.28
19,Net Income to Common,-1.77,0.74,-3.05,0.26,-1.5,0.13,0.94,-0.11,0.14,0.28
20,Net Income Growth,-,183.08%,-,108.00%,-,-,574.82%,-,-94.30%,-77.99%
21,Shares Outstanding (Basic),251,251,251,251,251,251,251,251,251,251
22,Shares Outstanding (Diluted),251,276,251,276,251,260,251,251,251,251
23,Shares Change (YoY),-,-,-,6.32%,-,3.41%,-,-,0.01%,0.00%
24,EPS (Basic),-0.01,0.00,-0.01,0.00,-0.01,0.00,0.00,-0.00,0.00,0.00
25,EPS (Diluted),-0.01,0.00,-0.01,-0.00,-0.01,0.00,0.00,-0.00,0.00,0.00
26,EPS Growth,-,-,-,-,-,-,575.91%,-,-94.31%,-78.02%
27,Free Cash Flow,-1.44,-0.39,-0.14,1.54,-4.53,-1.86,3.16,1.23,-4.24,1.53
28,Free Cash Flow Per Share,-0.01,-0.00,-0.00,0.01,-0.02,-0.01,0.01,0.00,-0.02,0.01
29,Operating Margin,-7.83%,7.36%,-46.33%,27.57%,-5.97%,1.94%,11.62%,-0.55%,-1.08%,4.73%
30,Profit Margin,-12.49%,8.35%,-29.86%,6.40%,-11.26%,0.88%,6.28%,-0.61%,0.95%,1.68%
31,Free Cash Flow Margin,-10.17%,-4.46%,-1.33%,37.94%,-33.95%,-13.18%,21.14%,6.64%,-29.08%,9.26%
32,EBITDA,-0.92,0.79,-4.56,1.3,-0.6,0.5,1.96,0.15,0.09,1.01
33,D&A For EBITDA,0.19,0.14,0.17,0.18,0.2,0.22,0.23,0.25,0.25,0.23
34,EBIT,-1.11,0.65,-4.73,1.12,-0.8,0.27,1.74,-0.1,-0.16,0.78
