,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,601.71,606.33,483.96,458.83,606.6,628.81,557.86,439.09,918.92,880.24,749.51,491.98,1079,877.83,516.38,602.91,581.03,418.88,418.88
1,Other Revenue,-28.89,28.89,-,17.37,-6.78,6.78,-,175.12,-11.05,11.05,-,9.79,-81.25,81.25,-,0.46,-0.29,0.15,0.15
2,Revenue,572.82,635.22,483.96,476.2,599.82,635.59,557.86,614.22,907.87,891.29,749.51,501.77,997.62,959.07,516.38,603.38,580.73,419.02,419.02
3,Revenue Growth (YoY),-4.50%,-0.06%,-13.25%,-22.47%,-33.93%,-28.69%,-25.57%,22.41%,-9.00%,-7.07%,45.15%,-16.84%,71.79%,128.88%,23.23%,-,-,-,-
4,Cost of Revenue,525.77,568.33,428.69,437.19,511.58,539.03,489.38,530.26,844.73,776.4,680.57,423.96,899.16,845.96,446.31,518.88,465.54,335.73,335.73
5,Gross Profit,47.05,66.89,55.26,39.01,88.24,96.56,68.48,83.96,63.14,114.89,68.94,77.81,98.46,113.11,70.06,84.49,115.19,83.29,83.29
6,"Selling, General & Admin",61.4,44.28,53.62,60.18,55.81,55.67,60.51,54.8,60.18,69.29,39.17,52.06,58.28,45.17,44.12,45.7,53.79,41.57,41.57
7,Research & Development,8.18,13.61,15.48,27.02,14.97,13.31,14.73,12.97,14.32,11.92,12.07,15.38,14.22,12.65,9.65,10.36,9.01,7.81,7.81
8,Other Operating Expenses,-0.71,-2.77,2.43,-1.1,0.83,3.21,1.62,7.68,-0.12,1.22,1.51,7.32,1.01,-0.32,-0.56,4.46,0.92,0.81,0.81
9,Operating Expenses,72.19,57.13,68.81,86.75,73.36,74.12,69.93,87.9,62.82,90.46,49.33,66.14,84.73,58.19,55.48,69.19,59,49.67,49.67
10,Operating Income,-25.14,9.77,-13.54,-47.75,14.87,22.44,-1.45,-3.94,0.32,24.43,19.61,11.67,13.73,54.92,14.59,15.3,56.19,33.62,33.62
11,Interest Expense,-10.66,-9.4,-8.6,-7.4,-8.46,-9.52,-9.53,-9.82,-11.65,-11.02,-9.24,-11.06,-8.94,-9.65,-8.19,-19.06,-0.18,-8.82,-8.82
12,Interest & Investment Income,0.37,0.37,0.35,-,0.34,1.19,0.25,0.47,0.42,0.64,0.56,1.08,0.8,0.47,0.56,1.09,2.2,0.38,0.38
13,Other Non Operating Income (Expenses),-2.94,-0.69,-0.84,-0.7,-0.3,1.7,-0.82,-1.31,0.81,0.43,-0.91,0.94,-1.72,-1.1,-0.59,8.85,-11.41,-0.32,-0.32
14,EBT Excluding Unusual Items,-38.37,0.05,-22.63,-55.84,6.45,15.81,-11.56,-14.59,-10.1,14.48,10.02,2.63,3.88,44.63,6.37,6.19,46.8,24.85,24.85
15,Gain (Loss) on Sale of Investments,0.17,-0.64,-,-2.05,-,-,-0,-,-4.53,-3.72,1.04,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,-0.02,0.44,0.11,0.23,-0.07,-,-,0,0.12,-,-0.03,-,-,0.01,0.01,-,-,-,-
17,Asset Writedown,-1.74,1.61,-2.07,0.84,-1.36,-0.01,-0.02,0.5,-0.96,0.31,-0.38,1.85,-1.87,0.78,-0.79,1.34,-1.44,-0.14,-0.14
18,Other Unusual Items,-3.05,3.02,0.03,5.6,0.32,-0.32,-,10.59,-8.97,8.97,-,-0.57,-1.43,1.43,-,7.85,-8.92,4.46,4.46
19,Pretax Income,-43.01,4.49,-24.56,-51.22,5.34,15.48,-11.58,-3.5,-24.43,20.03,10.65,3.91,0.58,46.84,5.59,15.38,36.45,29.17,29.17
20,Income Tax Expense,2.39,1.02,2.5,-14.06,1.73,-1.75,3.61,-8.65,-1.79,3.77,3.68,0.33,-1.2,5,2.34,1.98,7.32,5.53,5.53
21,Earnings From Continuing Operations,-45.39,3.46,-27.06,-37.16,3.61,17.24,-15.19,5.15,-22.64,16.26,6.97,3.58,1.78,41.85,3.25,13.39,29.13,23.64,23.64
22,Minority Interest in Earnings,-0.32,-0.08,-0,0.51,-0.09,-0.15,-0.06,-,-,-,-,-,-,-,-,-,-,-,-
23,Net Income,-45.71,3.38,-27.06,-36.65,3.53,17.08,-15.25,5.15,-22.64,16.26,6.97,3.58,1.78,41.85,3.25,13.39,29.13,23.64,23.64
24,Net Income to Common,-45.71,3.38,-27.06,-36.65,3.53,17.08,-15.25,5.15,-22.64,16.26,6.97,3.58,1.78,41.85,3.25,13.39,29.13,23.64,23.64
25,Net Income Growth,-,-80.19%,-,-,-,5.07%,-,43.85%,-,-61.15%,114.27%,-73.28%,-93.90%,77.01%,-86.25%,-,-,-,-
26,Shares Outstanding (Basic),141,138,140,141,166,114,142,177,109,141,134,139,128,107,100,104,104,104,104
27,Shares Outstanding (Diluted),141,138,140,141,166,114,142,177,109,141,134,139,128,107,100,104,104,104,104
28,Shares Change (YoY),-15.13%,21.78%,-1.48%,-20.39%,52.56%,-19.43%,6.08%,27.57%,-15.04%,31.41%,34.17%,33.89%,22.95%,3.07%,-3.84%,-,-,-,-
29,EPS (Basic),-0.32,0.02,-0.19,-0.26,0.02,0.15,-0.11,0.03,-0.21,0.12,0.05,0.03,0.01,0.39,0.03,0.13,0.28,0.23,0.23
30,EPS (Diluted),-0.32,0.02,-0.19,-0.26,0.02,0.15,-0.11,0.03,-0.21,0.12,0.05,0.03,0.01,0.39,0.03,0.13,0.28,0.23,0.23
31,EPS Growth,-,-83.73%,-,-,-,30.40%,-,12.76%,-,-70.44%,59.69%,-80.04%,-95.04%,71.74%,-85.70%,-,-,-,-
32,Free Cash Flow,-28.49,-128.76,-128.91,38.75,5.36,-21.3,14.96,72.66,-26.74,-146.67,-98.36,11.89,-63.37,-170.31,-42.08,-51.18,16.62,28.58,28.58
33,Free Cash Flow Per Share,-0.20,-0.93,-0.92,0.27,0.03,-0.19,0.11,0.41,-0.25,-1.04,-0.73,0.09,-0.50,-1.59,-0.42,-0.49,0.16,0.27,0.27
34,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,0.039,-,-,-,-,-,-,-
35,Gross Margin,8.21%,10.53%,11.42%,8.19%,14.71%,15.19%,12.28%,13.67%,6.95%,12.89%,9.20%,15.51%,9.87%,11.79%,13.57%,14.00%,19.83%,19.88%,19.88%
36,Operating Margin,-4.39%,1.54%,-2.80%,-10.03%,2.48%,3.53%,-0.26%,-0.64%,0.03%,2.74%,2.62%,2.33%,1.38%,5.73%,2.82%,2.54%,9.68%,8.02%,8.02%
37,Profit Margin,-7.98%,0.53%,-5.59%,-7.70%,0.59%,2.69%,-2.73%,0.84%,-2.49%,1.82%,0.93%,0.71%,0.18%,4.36%,0.63%,2.22%,5.02%,5.64%,5.64%
38,Free Cash Flow Margin,-4.97%,-20.27%,-26.64%,8.14%,0.89%,-3.35%,2.68%,11.83%,-2.95%,-16.46%,-13.12%,2.37%,-6.35%,-17.76%,-8.15%,-8.48%,2.86%,6.82%,6.82%
39,EBITDA,-12.52,27.08,-0.93,-35.13,25.33,34.14,9,6.52,10.45,34.51,29.74,21.8,24.04,65.07,24.89,25.61,66.49,43.92,43.92
40,EBITDA Margin,-2.19%,4.26%,-0.19%,-7.38%,4.22%,5.37%,1.61%,1.06%,1.15%,3.87%,3.97%,4.34%,2.41%,6.79%,4.82%,4.24%,11.45%,10.48%,10.48%
41,D&A For EBITDA,12.62,17.32,12.62,12.62,10.46,11.7,10.46,10.46,10.13,10.08,10.13,10.13,10.31,10.15,10.31,10.31,10.3,10.3,10.3
42,EBIT,-25.14,9.77,-13.54,-47.75,14.87,22.44,-1.45,-3.94,0.32,24.43,19.61,11.67,13.73,54.92,14.59,15.3,56.19,33.62,33.62
43,EBIT Margin,-4.39%,1.54%,-2.80%,-10.03%,2.48%,3.53%,-0.26%,-0.64%,0.03%,2.74%,2.62%,2.33%,1.38%,5.73%,2.82%,2.54%,9.68%,8.02%,8.02%
44,Effective Tax Rate,-,22.84%,-,-,32.32%,-,-,-,-,18.84%,34.57%,8.55%,-,10.67%,41.87%,12.90%,20.08%,18.97%,18.97%
45,Revenue as Reported,572.82,635.22,483.96,476.2,599.82,635.59,557.86,614.22,907.87,891.29,749.51,501.77,997.62,959.07,516.38,603.38,580.73,419.02,419.02
