,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,177.42,262.46,210.58,264.3,185.72,175.81,185.21,308.81,426.75,355.77,346.42,317.11,522.77,337.74,-,231.52,-,206.96,206.96
1,Trading Asset Securities,-,-,-,-,-,-,-,-,-,5.05,8.01,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,177.42,262.46,210.58,264.3,185.72,175.81,185.21,308.81,426.75,360.82,354.44,317.11,522.77,337.74,231.52,231.52,-,206.96,206.96
3,Cash Growth,-4.47%,49.28%,13.70%,-14.41%,-56.48%,-51.27%,-47.75%,-2.62%,-18.37%,6.83%,53.09%,36.97%,-,63.19%,11.87%,-,-,-,-
4,Accounts Receivable,1009,962.44,804.72,933.85,1082,1098,1011,1224,1300,1314,1359,1376,1304,1273,-,991.08,-,789.53,789.53
5,Other Receivables,6.24,4.43,3.18,3.88,4.02,3.56,5.57,5.58,6.06,5.87,7.01,6.45,8.38,8.67,-,8.44,-,1.25,1.25
6,Receivables,1015,966.87,807.9,937.72,1086,1102,1017,1229,1306,1319,1366,1383,1313,1282,-,999.52,-,790.77,790.77
7,Inventory,174.23,215.74,296.2,193.25,177.87,124.11,199.97,137.93,188.68,305.48,302.67,198.82,219.47,203.94,-,113.91,-,151.02,151.02
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,8.5,-,-,-,2,2
9,Other Current Assets,72.48,65.21,77.82,43.22,55.8,87.8,71.69,55.45,64.28,58.64,98.86,72.01,77.45,62.15,-,21.71,-,26.62,26.62
10,Total Current Assets,1439,1510,1392,1438,1505,1490,1474,1731,1986,2044,2122,1971,2132,1894,-,1367,-,1177,1177
11,"Property, Plant & Equipment",781.27,714.63,704.31,713.9,688.43,661.4,592.56,520.52,467.6,437.62,373.73,351.45,331.04,315.62,-,300.41,-,312.52,312.52
12,Other Intangible Assets,126.83,127.23,131.26,129.38,134.4,135.67,108.11,97.6,93.6,65.36,65.92,66.49,66.01,67.34,-,68.47,-,64.68,64.68
13,Long-Term Deferred Tax Assets,42.07,41.82,44.24,43.99,25.8,25.13,8.72,16.74,9.26,9.83,11.2,11.1,11.14,8.81,-,8.34,-,7.04,7.04
14,Long-Term Deferred Charges,25.09,27.15,29.21,32.73,35.23,37.9,39.61,28.39,7.03,6.16,5.6,4.22,2.7,10.45,-,7.88,-,2.83,2.83
15,Other Long-Term Assets,80.7,110.56,68.94,60.19,65.14,49.62,120.39,123.52,83.39,90.78,79.23,63.77,72.87,45.02,-,31.47,-,0.56,0.56
16,Total Assets,2495,2532,2370,2419,2454,2399,2343,2518,2647,2654,2657,2468,2616,2342,-,1783,-,1565,1565
17,Accounts Payable,233.46,221.98,173.52,235.87,340.52,297.63,312.33,318.15,308.13,429.73,426.37,397.3,588.4,597.98,-,346.53,-,289,289
18,Accrued Expenses,9.48,13.22,13.04,40.55,16.54,19.26,12.13,24.29,11.42,21.23,14.47,23.34,9.59,18.49,-,29.1,-,48.68,48.68
19,Short-Term Debt,1090,1125,926.18,870.19,821.21,831.52,795.88,892.63,1068,925.64,846.19,654.63,744.05,741.34,-,583.11,-,474.38,474.38
20,Current Portion of Long-Term Debt,66.5,23.05,18.89,10.37,-,19.35,-,14.86,-,-,-,-,54.64,11.5,-,13.5,-,-,-
21,Current Portion of Leases,-,2.36,-,3.81,-,4.13,42.04,3.75,40.35,46.41,46.06,3.9,-,59.27,-,32.91,-,-,-
22,Current Income Taxes Payable,6.72,1.29,9.74,4.65,7.79,7.77,9.25,0.36,8.5,5.06,13.79,2.55,7.74,4.96,-,3.71,-,7.66,7.66
23,Current Unearned Revenue,6.59,11.65,16.04,17.98,4.91,9.94,20.62,22.88,23.29,31.74,78.06,31.38,20.2,22.18,-,6.25,-,11.05,11.05
24,Other Current Liabilities,237.84,209.28,270.07,263.53,255.84,246.87,229.1,308.93,270.77,267.78,330.95,471.35,302.31,290.94,-,268.61,-,248.26,248.26
25,Total Current Liabilities,1651,1608,1427,1447,1447,1436,1421,1586,1731,1728,1756,1584,1727,1747,-,1284,-,1079,1079
26,Long-Term Debt,89.5,127.22,147.58,148.09,145,105.21,79.8,73.47,58.34,41.28,10.93,5.65,5.64,3.86,-,-,-,15.5,15.5
27,Long-Term Leases,10.71,11.35,12.89,13.99,15.31,15.99,22.12,17.96,33.65,38.5,41.29,19.74,61.88,54.79,-,7.65,-,-,-
28,Long-Term Unearned Revenue,15.92,-,-,-,1.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,Long-Term Deferred Tax Liabilities,3.95,3.98,4.79,4.81,0.51,0.51,0.52,-,-,-,-,-,-,-,-,-,-,-,-
30,Other Long-Term Liabilities,4.96,-,-,-,-,-,-,9.59,-,-,-,31.7,-,-,-,-,-,21.13,21.13
31,Total Liabilities,1776,1750,1593,1614,1609,1558,1524,1687,1823,1807,1808,1642,1794,1805,-,1291,-,1116,1116
32,Common Stock,139.5,140.04,100.03,100.03,100.11,100.11,100.38,100.38,91.17,91.17,91.17,90.1,90.1,67.58,-,67.58,-,67.58,67.58
33,Additional Paid-In Capital,327.83,332.23,372.24,372.24,377,376.45,378.51,378.84,376.13,376.13,373.51,359.71,359.71,98.18,-,98.18,-,98.18,98.18
34,Retained Earnings,265.44,311.16,307.77,334.84,371.49,367.96,349.25,366.13,370.1,392.74,383.02,374.98,370.88,369.63,-,324.53,-,282.01,282.01
35,Treasury Stock,-21.06,-8.83,-8.83,-8.83,-9.8,-9.8,-14.87,-15.9,-14.87,-14.87,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,3.98,3.1,2.92,3,2.66,2.33,2.06,1.81,1.71,1.58,1.45,1.28,1,0.99,-,1.57,-,1.57,1.57
37,Total Common Equity,715.71,777.7,774.13,801.28,841.45,837.05,815.33,831.26,824.25,846.75,849.16,826.08,821.7,536.38,491.85,491.85,-,449.33,449.33
38,Minority Interest,3.97,3.65,3.57,3.56,4.04,4,3.94,-,-,-,-,-,-,-,-,-,-,-,-
