,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1769,1475,1241,1467,1995,2040,1789,1788,1613,1682,1991,2106,2264,2226,-,-,-,-,-,-
1,Market Cap Growth,-27.70%,-27.70%,-30.66%,-17.97%,23.68%,21.30%,-10.13%,-15.12%,-28.76%,-24.46%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2852,2505,2139,2266,2795,2845,2548,2561,2387,2373,2581,2450,2608,2759,-,-,-,-,-,-
3,Last Close Price,12.86,10.68,8.86,10.46,14.24,14.56,12.73,12.72,11.48,11.98,14.14,14.96,16.27,16.00,-,-,-,-,-,-
4,PE Ratio,-,-,-21.84,-,-,194.20,-114.29,-,281.17,-,69.68,38.88,44.88,36.94,-,-,-,-,-,-
5,PS Ratio,0.83,0.68,0.57,0.67,0.88,0.85,0.66,0.60,0.51,0.55,0.63,0.66,0.76,0.72,-,-,-,-,-,-
6,PB Ratio,2.47,2.05,1.59,1.89,2.48,2.41,2.13,2.18,1.94,2.04,2.35,2.48,2.74,2.71,-,-,-,-,-,-
7,P/TBV Ratio,2.50,2.50,1.91,2.28,2.97,2.89,2.55,2.53,2.20,2.30,2.55,2.69,2.98,2.95,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,52.83,28.46,-,-20.84,-8.10,-,-,-,-8.58,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-13.48,-,-,7.99,5.45,5.17,7.29,13.89,-33.61,-,-,-13.06,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.32,1.16,0.97,1.03,1.23,1.18,0.94,0.86,0.75,0.78,0.82,0.76,0.88,0.90,-,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,130.77,-,-,37.93,42.39,42.35,29.39,24.59,23.45,17.42,19.20,19.76,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-58.37,-,-,89.11,146.74,-,-,42.35,37.17,24.51,27.47,28.00,-,-,-,-,-,-
13,EV/FCF Ratio,-11.53,-,-,-,74.00,39.68,-,-29.85,-11.99,-,-,-,-9.88,-,-,-,-,-,-,-
14,Debt / Equity Ratio,1.75,1.75,1.65,1.42,1.30,1.16,1.16,1.15,1.21,1.46,1.24,1.11,0.83,1.05,1.62,1.30,1.30,-,1.09,1.09
15,Debt / EBITDA Ratio,-,-,11.14,-,-,9.69,6.75,26.09,23.84,28.73,7.20,7.94,7.08,9.01,3.32,6.40,6.22,-,2.79,2.79
16,Debt / FCF Ratio,-,-,-,-,27.71,13.69,-,-10.95,-5.04,-,-,-,-2.59,-,-,-,-,-,8.57,17.14
17,Asset Turnover,0.91,1.04,0.81,0.78,0.99,1.07,0.92,0.95,1.37,1.34,1.17,0.79,1.61,-,-,-,-,1.07,-,
18,Inventory Turnover,11.13,10.79,8.88,7.01,9.42,13.55,13.31,11.59,12.99,13.68,10.21,10.86,8.11,16.99,-,-,-,-,8.89,-
19,Quick Ratio,0.72,0.72,0.76,0.71,0.83,0.88,0.89,0.85,0.97,1.00,0.97,0.98,1.07,1.06,0.93,-,0.96,-,0.92,0.92
20,Current Ratio,0.87,0.87,0.94,0.98,0.99,1.04,1.04,1.04,1.09,1.15,1.18,1.21,1.24,1.23,1.08,-,1.06,-,1.09,1.09
21,Return on Equity (ROE),-24.19%,1.78%,-13.68%,-18.02%,1.71%,8.30%,-7.36%,2.49%,-10.84%,7.67%,3.33%,1.74%,1.05%,32.56%,2.64%,-,-,21.04%,-,
22,Return on Assets (ROA),-2.50%,1.00%,-1.41%,-4.90%,1.53%,2.37%,-0.15%,-0.38%,0.03%,2.30%,1.91%,1.15%,1.38%,-,-,-,-,5.37%,-,
23,Return on Capital (ROIC),-3.11%,1.23%,-1.81%,-6.49%,2.04%,3.14%,-0.20%,-0.51%,0.04%,3.31%,2.97%,1.82%,2.22%,10.83%,3.23%,-,-,8.95%,-,
24,Return on Capital Employed (ROCE),-,-,-3.97%,-,-,3.17%,1.80%,-,-,6.12%,7.50%,11.09%,10.75%,11.08%,23.70%,-,27.77%,-,13.83%,6.92%
25,Earnings Yield,-6.00%,-7.19%,-4.58%,-2.94%,-1.57%,0.51%,-0.87%,-0.92%,0.36%,0.25%,1.44%,2.57%,2.23%,2.71%,-,-,-,-,-,-
26,FCF Yield,-13.99%,-16.77%,-17.21%,-7.23%,1.89%,3.51%,2.21%,-4.80%,-12.34%,-15.45%,-14.89%,-15.20%,-11.65%,-14.68%,-,-,-,-,-,-
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,0.24%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,392.94%,-,-,277.47%,57.95%,-,124.99%,-,63.10%,130.16%,273.50%,557.38%,19.20%,219.42%,62.13%,29.87%,35.00%,35.00%
29,Buyback Yield / Dilution,6.45%,15.13%,-21.78%,1.48%,20.39%,-52.56%,19.43%,-6.08%,-27.57%,15.04%,-31.41%,-34.17%,-33.89%,-22.95%,-3.07%,3.84%,-,-,-,-
30,Total Shareholder Return,6.45%,15.13%,-21.78%,1.48%,20.39%,-52.56%,19.43%,-6.08%,-27.57%,15.04%,-31.41%,-34.17%,-33.65%,-22.95%,-3.07%,3.84%,-,-,-,-
