,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,1892,1971,1899,2179,2862,3598,-,-,-,-,-,-
1,Market Cap Growth,-45.22%,-45.22%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1351,1424,1256,1568,2251,3583,-,-,-,-,-,-
3,Last Close Price,19.06,19.74,19.02,21.37,28.07,35.29,-,-,-,-,-,-
4,PE Ratio,25.08,30.17,33.80,24.84,34.44,-,-,-,-,-,-,-
5,PS Ratio,1.82,2.19,2.03,2.57,3.40,4.33,-,-,-,-,-,-
6,PB Ratio,1.44,1.50,1.46,1.64,2.15,2.80,-,-,-,-,-,-
7,P/TBV Ratio,1.53,1.53,1.48,1.67,2.19,2.86,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-43.86,-20.01,-,-,-,-,-,-,-
9,P/OCF Ratio,118.55,118.55,-,-95.59,-25.04,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.50,1.58,1.34,1.85,2.67,4.32,-,-,-,-,-,-
11,EV/EBITDA Ratio,21.24,22.57,22.69,20.54,29.82,-,-,-,-,-,-,-
12,EV/EBIT Ratio,24.86,24.77,25.33,22.25,32.40,-,-,-,-,-,-,-
13,EV/FCF Ratio,-96.47,-,-,-31.57,-15.74,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.10,0.10,0.11,0.13,0.09,0.09,0.22,0.16,0.16,-,-,0.17
15,Debt / EBITDA Ratio,2.02,5.79,4.12,4.25,0.67,-,1.13,2.46,0.42,-,-,5.87
16,Debt / FCF Ratio,-,-,-,-3.39,-0.86,-,-,-,0.87,-,-,-
17,Asset Turnover,0.11,0.72,0.15,0.84,0.23,-,-,-,-,-,-,
18,Inventory Turnover,2.14,0.58,4.27,0.72,3.67,0.89,-,-,-,-,-,-
19,Quick Ratio,2.49,2.49,2.49,2.17,2.40,2.33,1.31,-,1.34,-,-,-
20,Current Ratio,3.06,3.06,2.89,2.71,2.89,3.01,1.78,-,1.75,-,-,-
21,Return on Equity (ROE),1.42%,1.43%,3.23%,13.87%,-1.91%,25.15%,4.40%,-,-,-,-,
22,Return on Assets (ROA),0.54%,0.55%,1.05%,5.19%,-0.60%,-,-,-,-,-,-,
23,Return on Capital (ROIC),0.72%,0.74%,1.44%,7.10%,-0.89%,9.22%,2.91%,-,-,-,-,
24,Return on Capital Employed (ROCE),3.99%,4.22%,3.68%,5.15%,5.08%,-,14.08%,-,13.87%,-,-,-
25,Earnings Yield,3.45%,3.31%,2.96%,4.03%,2.90%,2.34%,-,-,-,-,-,-
26,FCF Yield,-0.74%,-0.71%,-5.51%,-2.28%,-5.00%,-3.71%,-,-,-,-,-,-
27,Dividend Yield,1.34%,-,-,-,0.92%,-,-,-,-,-,-,-
28,Payout Ratio,45.97%,57.33%,541.24%,9.16%,2.05%,-,2.52%,12.21%,4.12%,16.52%,-,-
29,Buyback Yield / Dilution,8.65%,35.44%,-38.94%,-33.04%,44.58%,-110.67%,-0.03%,-,-,-,-,-
30,Total Shareholder Return,9.99%,35.44%,-38.94%,-33.04%,45.50%,-110.67%,-0.03%,-,-,-,-,-
