,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,56.02,360.21,76.12,406.25,90.95,272.36,70.87,393.58,115.99,199.4,57.23
1,Other Revenue,-0.62,0.62,-,2.01,-0.54,0.54,-,2.33,-0.67,0.67,-
2,Revenue,55.4,360.82,76.12,408.26,90.41,272.89,70.87,395.91,115.32,200.07,57.23
3,Revenue Growth (YoY),-38.72%,32.22%,7.40%,3.12%,-21.60%,36.40%,23.85%,-,-,-,-
4,Cost of Revenue,37.47,299.28,57,295.95,67.85,200.9,49.34,283.5,86.24,121.75,55.24
5,Gross Profit,17.93,61.54,19.12,112.31,22.57,71.99,21.53,112.4,29.08,78.32,1.98
6,"Selling, General & Admin",15.06,27.97,15.35,31.91,19.27,24.16,14.65,26.08,15.47,34.66,-
7,Research & Development,3.93,5.88,5.27,7.66,7.41,7.64,7.16,11.41,5.18,9.87,-
8,Other Operating Expenses,-1.62,1.31,0.53,2.18,0.39,0.53,-0.44,3.61,0.72,0.15,-
9,Operating Expenses,13.78,57.15,10.62,71.85,26.34,46.7,14.03,63.97,19.72,55.59,-
10,Operating Income,4.15,4.39,8.5,40.46,-3.78,25.29,7.5,48.43,9.36,22.73,1.98
11,Interest Expense,-1.3,-3.1,-,-1.1,-1.08,-2.02,-,-1.51,-1.2,-2.07,-
12,Interest & Investment Income,2.41,5.45,1.36,4.16,1.66,0.52,-,0.34,0.19,0.46,-
13,Currency Exchange Gain (Loss),-0,0,-,0.01,-0.03,0.03,-,0.05,-0.03,0.03,-
14,Other Non Operating Income (Expenses),0.77,-1.63,0.39,-0.1,-2.12,-0.05,-0.96,0.97,-0.75,0.55,0.16
15,EBT Excluding Unusual Items,6.02,5.11,10.24,43.43,-5.34,23.77,6.54,48.28,7.57,21.7,2.14
16,Gain (Loss) on Sale of Assets,0.02,0.01,-,0,-0,17.82,-,-0.02,-,-,-
17,Asset Writedown,0.2,-0.11,0.09,0.08,-0.03,0.09,-0.11,0.94,-0.95,-0.02,-
18,Legal Settlements,0.05,-0.05,-,-0.08,0.2,-0.2,-,-0.27,0.04,-0.04,-
19,Other Unusual Items,-1.03,1.28,0.36,8.69,-,-,-,3.93,-0.08,0.08,-
20,Pretax Income,5.26,6.24,10.7,52.12,-5.17,41.48,6.43,52.85,6.58,21.72,2.14
21,Income Tax Expense,0.63,1.53,-0.01,6.84,-0.67,5.27,0.33,6.32,0.49,2.24,0.32
22,Earnings From Continuing Operations,4.63,4.71,10.71,45.28,-4.5,36.21,6.1,46.53,6.09,19.48,1.82
23,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,0.68,-0.68
24,Net Income,4.63,4.71,10.71,45.28,-4.5,36.21,6.1,46.53,6.09,20.16,1.14
25,Net Income to Common,4.63,4.71,10.71,45.28,-4.5,36.21,6.1,46.53,6.09,20.16,1.14
26,Net Income Growth,-,-87.00%,75.58%,-2.68%,-,79.65%,433.49%,-,-,-,-
27,Shares Outstanding (Basic),95,106,100,43,147,76,75,78,70,76,-
28,Shares Outstanding (Diluted),95,106,100,43,147,76,75,78,70,76,-
29,Shares Change (YoY),-35.44%,38.94%,33.04%,-44.58%,110.67%,0.03%,-,-,-,-,-
