,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,619.47,694.82,812.14,755.11,722.09,144.17,-,146.35,-,-,-
1,Trading Asset Securities,50,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,669.47,694.82,812.14,755.11,722.09,144.17,146.35,146.35,-,-,95.2
3,Cash Growth,-7.29%,381.94%,454.93%,415.96%,-,-,53.73%,-,-,-,-
4,Accounts Receivable,696.5,796.68,668.56,735.06,607.58,646.68,-,597.46,-,-,-
5,Other Receivables,21.26,18.49,20.88,19.27,19.71,19.04,-,16.77,-,-,-
6,Receivables,717.76,815.17,689.44,754.33,627.29,665.72,-,614.23,-,-,-
7,Inventory,296.12,221.61,338.83,295.74,349.02,263.99,-,211.84,-,-,-
8,Prepaid Expenses,-,0.24,-,0.22,-,0.12,-,0.13,-,-,-
9,Other Current Assets,18.61,18.98,38.24,10.45,39.57,27.67,-,21.6,-,-,-
10,Total Current Assets,1702,1751,1879,1816,1738,1102,-,994.15,-,-,-
11,"Property, Plant & Equipment",109.4,90.89,87.65,84.49,76,68.65,-,57.75,-,-,-
12,Long-Term Investments,5.47,5.42,5.62,5.62,5.85,5.96,-,6.17,-,-,-
13,Other Intangible Assets,23.44,23.71,23.99,24.26,24.53,24.73,-,47.25,-,-,-
14,Long-Term Accounts Receivable,33.76,34.28,26.82,26.66,25.64,28.92,-,27.65,-,-,-
15,Long-Term Deferred Tax Assets,37.2,38.26,33.87,36.36,28.44,27.85,-,27.09,-,-,-
16,Long-Term Deferred Charges,0.02,0.04,0.31,0.38,0.35,0.4,-,0.5,-,-,-
17,Other Long-Term Assets,7.12,7.2,3.06,3.1,3.13,3.18,-,2.8,-,-,-
18,Total Assets,1918,1951,2060,1997,1902,1261,-,1163,-,-,-
19,Accounts Payable,208.8,182.57,223.67,225.45,209.5,223.59,-,185.69,-,-,-
20,Accrued Expenses,37.11,105.51,55.4,112.13,29.56,44.05,-,80.87,-,-,-
21,Short-Term Debt,104,134.36,154.47,109.11,95.07,106.43,-,73.08,-,-,-
22,Current Portion of Long-Term Debt,-,-,-,-,4.01,1.5,-,1.26,-,-,-
23,Current Portion of Leases,7.5,7.01,4.6,5.98,-,4.04,-,3.6,-,-,-
24,Current Income Taxes Payable,4.63,3.19,-,17.44,6.74,7.46,-,10.33,-,-,-
25,Current Unearned Revenue,168.47,131.21,219.94,130.88,192.69,164.4,-,160.49,-,-,-
26,Other Current Liabilities,26.48,41.44,34.59,27.36,40.42,66.55,-,53.37,-,-,-
27,Total Current Liabilities,556.99,605.28,692.67,628.34,578,618.01,-,568.68,-,-,-
28,Long-Term Debt,10,-,-,-,6.25,11.3,-,4.75,-,-,-
29,Long-Term Leases,7.25,6.77,9.26,8.51,5.9,6.39,-,6.47,-,-,-
30,Long-Term Unearned Revenue,13.81,12.72,13.02,11.95,12.15,12.36,-,12.77,-,-,-
31,Long-Term Deferred Tax Liabilities,2.13,2.05,2.13,2.34,-,-,-,1.57,-,-,-
32,Other Long-Term Liabilities,17.81,18.39,16.87,16.84,15.83,15.66,-,14.78,-,-,-
33,Total Liabilities,607.99,645.21,733.95,667.98,618.13,663.71,-,609.02,-,-,-
34,Common Stock,100,100,100,100,100,75,-,75,-,-,-
35,Additional Paid-In Capital,793.53,793.53,793.53,793.53,793.53,128.54,-,128.54,-,-,-
36,Retained Earnings,431.49,426.86,447.76,437.05,391.87,396.36,-,353.95,-,-,-
37,Treasury Stock,-14.1,-14.1,-14.1,-,-,-,-,-,-,-,-
38,Comprehensive Income & Other,-0.54,-0.88,-1.17,-1.85,-1.62,-2.25,-,-3.16,-,-,-
39,Shareholders' Equity,1310,1305,1326,1329,1284,597.65,554.33,554.33,-,-,483.87
40,Total Liabilities & Equity,1918,1951,2060,1997,1902,1261,-,1163,-,-,-
41,Total Debt,128.75,148.14,168.34,123.6,111.23,129.65,89.15,89.15,-,-,84.41
42,Net Cash (Debt),540.72,546.68,643.81,631.51,610.86,14.52,57.2,57.2,-,-,10.79
43,Net Cash Growth,-11.48%,3665.35%,1025.58%,1004.08%,-,-,430.06%,-,-,-,-
44,Net Cash Per Share,5.68,5.17,6.45,14.63,4.14,0.19,0.76,0.73,-,-,-
45,Filing Date Shares Outstanding,99.24,99.24,99.24,99.24,100,75,75.01,75,69.98,76.07,-
46,Total Common Shares Outstanding,99.24,99.24,99.24,100,100,75,75.01,75,69.98,76.07,-
47,Working Capital,1145,1146,1186,1188,1160,483.67,-,425.47,-,-,-
48,Book Value Per Share,13.20,13.15,13.36,13.29,12.84,7.97,7.39,7.39,-,-,6.45
49,Tangible Book Value,1287,1282,1302,1304,1259,572.93,507.08,507.08,-,-,435.47
50,Tangible Book Value Per Share,12.97,12.92,13.12,13.04,12.59,7.64,6.76,6.76,-,-,5.81
51,Buildings,-,38.57,-,38.57,-,38.57,-,40.26,-,-,-
52,Machinery,-,51.8,-,50.85,-,49.9,-,49.27,-,-,-
53,Construction In Progress,-,39.41,-,30.01,-,18.4,-,4.64,-,-,-
