,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Cash & Equivalents,49901,37279,41617,43306,44979,26994,36304,129068,222417,445212,223931,162434,48803,53254,57000,59677,24726,21393,26248,23888,Upgrade
1,Short-Term Investments,748300,697654,709929,1323929,1223679,735625,678700,423906,3125930,1899147,2251811,933614,1519669,1821700,2187038,2285546,1441553,1533325,1814250,1819095,Upgrade
2,Trading Asset Securities,189175,188929,177696,177672,177669,177658,177610,177601,181134,290342,134979,369824,378036,397889,224865,220414,205068,202055,221771,206546,Upgrade
3,Cash & Short-Term Investments,987376,923862,929242,1544907,1446327,940277,892613,730575,3529482,2634701,2610721,1465872,1946509,2272842,2468903,2565637,1671348,1756773,2062270,2049529,Upgrade
4,Cash Growth,-31.73%,-1.75%,4.10%,111.46%,-59.02%,-64.31%,-65.81%,-50.16%,81.32%,15.92%,5.74%,-42.87%,16.46%,29.38%,19.72%,25.18%,-9.11%,-1.89%,19.18%,16.36%,Upgrade
5,Accounts Receivable,339820,388732,350036,369135,232210,240464,261955,496684,599536,838448,715336,282819,525416,493232,207456,228642,179120,194144,227459,234973,Upgrade
6,Other Receivables,3203348,3106540,3256928,3039942,2868739,2831965,2910268,2647964,184205,93004,95014,1454834,156898,156548,153897,153325,78388,57005,45368,102949,Upgrade
7,Receivables,3618693,3544609,3684702,3458414,3140286,3106695,3206489,3178914,818007,931453,810350,1737653,682314,649780,361354,381967,257508,251149,272827,337922,Upgrade
8,Inventory,443840,470339,453317,427045,446762,443554,387211,385692,397727,391050,346215,370081,382715,364671,293486,273118,313923,294709,254000,266295,Upgrade
9,Prepaid Expenses,6304,5768,4203,4147,8216,7937,9310,10184,8226,3241,3526,3070,3292,4461,5442,5051,6215,4930,5162,4678,Upgrade
10,Other Current Assets,291863,298802,235409,197968,298801,303778,289186,385690,160141,681027,119541,118332,111676,102799,110755,103926,96996,106906,65613,107766,Upgrade
11,Total Current Assets,5348075,5243380,5306873,5632480,5340391,4802241,4784808,4691055,4913582,4641471,3890353,3695009,3126506,3394553,3239939,3329699,2345989,2414467,2659871,2766191,Upgrade
12,"Property, Plant & Equipment",1214882,1093313,976301,958212,783332,776234,948579,766273,694988,608185,609951,613750,629463,640947,575588,457696,455265,466010,442976,442216,Upgrade
13,Long-Term Investments,361049,363980,365493,367784,371293,908729,377037,707857,712224,714514,732281,741434,743142,743613,1093839,1155358,2068281,1996119,1715925,1694604,Upgrade
14,Goodwill,430337,450828,471319,491811,512302,532794,914744,573776,594268,614759,635250,655742,676981,697534,82545,87644,92742,97840,106551,111649,Upgrade
15,Other Intangible Assets,100357,101048,101484,101505,99522,99900,98013,98518,93427,93948,94469,100600,95522,96054,95598,96065,96532,98471,98726,99139,Upgrade
16,Long-Term Deferred Tax Assets,4574,6208,4139,5145,3354,3422,6058,6204,4397,4526,3791,2701,4034,4701,4457,4041,2425,2706,2910,2671,Upgrade
17,Other Long-Term Assets,173155,164842,163614,164616,161009,157313,169325,154029,151499,145428,143964,144998,144852,143013,128212,127474,128432,165846,167125,168241,Upgrade
18,Total Assets,7632429,7423599,7389224,7721554,7271202,7280633,7298564,6997712,7164384,6852679,6139907,5984081,5450347,5746417,5246179,5283977,5189665,5241460,5194084,5284711,Upgrade
19,Accounts Payable,82149,140666,136326,88645,82587,82908,51492,55439,57207,63934,61557,89484,71801,113095,97227,85454,77079,89207,82550,99442,Upgrade
20,Accrued Expenses,75621,73710,62791,135204,70318,67464,70010,144692,89513,92210,68464,73309,72574,74640,57060,57578,53856,53363,50171,50642,Upgrade
21,Short-Term Debt,970634,751877,843821,1312475,966392,837159,749243,640821,835193,725968,511481,806568,423113,424192,316587,383865,281381,275496,308769,388900,Upgrade
22,Current Portion of Long-Term Debt,-,83151,84478,55282,65474,56134,68706,62748,35011,34316,32466,35011,34906,479147,31497,31498,31498,31498,31498,31498,Upgrade
23,Current Portion of Leases,-,-,-,20758,-,13913,-,3580,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
24,Current Income Taxes Payable,27017,20316,10252,29696,19450,16851,6479,23177,37344,26977,17351,24074,40299,29474,5721,22413,14623,10672,2864,18149,Upgrade
25,Current Unearned Revenue,219.41,322.26,12.47,105.97,199.47,2339,35.66,113.33,198.33,284.98,35.66,126.35,198.33,284.92,246.97,857.21,934.55,880.92,97.37,182.37,Upgrade
26,Other Current Liabilities,141492,136169,79705,25354,88491,81560,82840,23100,32761,87887,246886,188872,280760,136916,160811,153745,203356,170622,127913,127857,Upgrade
27,Total Current Liabilities,1297131,1206211,1217386,1667519,1292913,1158328,1028807,953671,1087228,1031577,938240,1217444,923652,1257747,669150,735410,662728,631738,603861,716670,Upgrade
28,Long-Term Debt,360442,164253,265771,121963,189064,134121,189831,146655,102130,83589,98444,106561,110076,105292,500372,488162,495237,501821,514749,512561,Upgrade
29,Long-Term Leases,-,106807,-,98856,-,70448,-,14320,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
30,Long-Term Deferred Tax Liabilities,27452,28287,30868,35869,39455,9730,9047,7878,5097,4443,3910,4479,7621,12342,11262,9611,7655,7273,7105,7242,Upgrade
31,Other Long-Term Liabilities,9053,9111,9134,10405,10444,10510,10562,10623,10614,14331,14137,14321,14315,14275,4114,4214,769.39,847.03,1053,1568,Upgrade
32,Total Liabilities,1694078,1514668,1523160,1934612,1531875,1383137,1238247,1133147,1205069,1133940,1054731,1342804,1055665,1389657,1184898,1237397,1166390,1141679,1126768,1238040,Upgrade
33,Common Stock,3399330,3399330,3399330,3399330,3399330,3399330,3399330,3399330,3399330,3399330,2627302,2627302,2554427,2547302,2547302,2547302,2547302,2547302,2547302,2547302,Upgrade
34,Additional Paid-In Capital,74895,74895,74895,74895,74895,74895,74895,74895,74895,74928,75261,75261,75444,70046,70046,70046,70046,70046,70046,70046,Upgrade
35,Retained Earnings,296397,266347,235785,177373,136256,299245,340543,294052,317066,304912,610102,494355,479249,469301,330756,320624,315725,301499,274741,276831,Upgrade
36,Comprehensive Income & Other,80482,80482,80482,80482,80482,80482,80482,80482,80482,80482,80482,80482,80482,102851,102851,102851,102851,102851,102851,102851,Upgrade
37,Total Common Equity,3851104,3821054,3790492,3732080,3690963,3853952,3895251,3848759,3871773,3859652,3393147,3277400,3189603,3189500,3050954,3040822,3035924,3021698,2994939,2997030,Upgrade
38,Minority Interest,2087247,2087877,2075572,2054861,2048364,2043544,2165067,2015806,2087542,1859087,1692029,1363877,1205080,1167260,1010326,1005758,987351,1078084,1072377,1049640,Upgrade
39,Shareholders' Equity,5938351,5908931,5866064,5786941,5739327,5897496,6060317,5864566,5959315,5718739,5085176,4641277,4394682,4356760,4061281,4046580,4023275,4099781,4067316,4046670,Upgrade
40,Total Liabilities & Equity,7632429,7423599,7389224,7721554,7271202,7280633,7298564,6997712,7164384,6852679,6139907,5984081,5450347,5746417,5246179,5283977,5189665,5241460,5194084,5284711,Upgrade
