,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,145,85,87,115,123,135,155,124,82,108,146
1,Market Cap Growth,-26.36%,-26.36%,-29.41%,-14.62%,-20.67%,8.33%,89.87%,15.38%,-43.97%,-32.90%,-59.71%
2,Enterprise Value,346,-52,-6,0,-11,2,-6,-58,-113,-90,11
3,Last Close Price,0.12,0.07,0.08,0.11,0.12,0.13,0.15,0.12,0.08,0.10,0.14
4,PE Ratio,6.18,3.79,4.53,9.32,12.31,9.92,17.92,-28.19,-,-,-
5,PS Ratio,0.20,0.13,0.12,0.18,0.24,0.28,0.31,0.27,0.19,0.25,0.32
6,PB Ratio,0.26,0.15,0.16,0.22,0.24,0.27,0.31,0.25,0.16,0.22,0.27
7,P/TBV Ratio,0.15,0.15,0.16,0.22,0.24,0.27,0.31,0.25,0.17,0.22,0.27
8,P/FCF Ratio,1.60,0.93,0.91,5.29,-,4.14,17.29,-,4.56,-,1.52
9,P/OCF Ratio,0.74,0.74,0.65,2.56,-,3.19,4.78,-,3.43,-,1.48
10,EV/Sales Ratio,0.51,-,-,0.00,-,0.00,-,-,-,-,0.02
11,EV/EBITDA Ratio,6.88,-,-,0.01,-,0.32,-,-,-,-,-
12,EV/EBIT Ratio,25.74,-,-,0.13,-,-,-,-,-,-,-
13,EV/FCF Ratio,3.80,-,-,0.01,-,0.05,-,-,-,-,0.12
14,Debt / Equity Ratio,0.68,0.68,0.09,0.07,0.08,0.10,0.13,0.18,0.22,0.25,0.21
15,Debt / FCF Ratio,4.17,4.17,0.54,1.68,-,1.56,7.35,-,6.18,-,1.20
16,Return on Capital Employed (ROCE),2.40%,2.40%,1.52%,0.28%,-,-,-,-,-,-,-
17,Earnings Yield,15.37%,26.36%,22.06%,10.73%,8.12%,10.09%,5.58%,-3.55%,-59.96%,-38.25%,3.95%
18,FCF Yield,62.67%,107.48%,109.52%,18.89%,-2.41%,24.13%,5.79%,25.92%,21.95%,-1.09%,65.92%
19,Buyback Yield / Dilution,-8.63%,-18.24%,0.90%,-0.92%,-0.91%,-0.93%,-9.64%,-7.64%,-,-,-
20,Total Shareholder Return,-8.63%,-18.24%,0.90%,-0.92%,-0.91%,-0.93%,-9.64%,-7.64%,-,-,-
