,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,937,434,425,392,337,406,512,538,431,445,672,Upgrade
1,Market Cap Growth,10.59%,10.59%,26.03%,-3.41%,-34.23%,-24.47%,18.91%,21.00%,-35.90%,-41.93%,-21.75%,Upgrade
2,Enterprise Value,-166,-589,-619,-574,-656,-644,-517,-465,-380,-248,-14,Upgrade
3,Last Close Price,2.03,0.94,0.79,0.73,0.59,0.72,0.86,0.90,0.66,0.66,0.96,Upgrade
4,PE Ratio,10.36,4.80,3.98,3.42,7.21,-,-,3.87,4.16,2.99,22.76,Upgrade
5,Forward PE,-,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,Upgrade
6,PS Ratio,1.21,0.56,0.51,0.49,0.41,0.37,0.35,0.36,0.31,0.29,0.40,Upgrade
7,PB Ratio,0.53,0.25,0.23,0.22,0.19,0.21,0.25,0.27,0.22,0.26,0.38,Upgrade
8,P/TBV Ratio,0.25,0.25,0.23,0.22,0.18,0.21,0.25,0.27,0.22,0.26,0.39,Upgrade
9,P/FCF Ratio,13.90,6.44,-,9.06,-,-,9.93,2.59,1.25,1.56,32.51,Upgrade
10,P/OCF Ratio,6.41,6.41,-,9.05,-,-,9.83,2.59,1.25,1.55,30.23,Upgrade
11,EV/FCF Ratio,-2.46,-,-,-,-,-,-,-,-,-,-,Upgrade
12,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Upgrade
13,Debt / FCF Ratio,0.03,0.03,-,0.02,-,-,0.06,0.02,0.01,0.01,0.06,Upgrade
14,Return on Capital Employed (ROCE),4.23%,4.23%,2.22%,-,3.77%,-,3.71%,8.44%,4.12%,-,0.13%,Upgrade
15,Earnings Yield,9.65%,20.85%,25.10%,29.26%,13.87%,-7.50%,8.88%,25.82%,24.04%,33.46%,4.39%,Upgrade
16,FCF Yield,7.19%,15.54%,5.41%,11.03%,-3.31%,0.39%,10.07%,38.57%,79.85%,64.21%,3.08%,Upgrade
17,Buyback Yield / Dilution,-0.22%,-,-0.43%,0.43%,0.48%,0.38%,2.70%,4.80%,3.27%,1.14%,1.99%,Upgrade
18,Total Shareholder Return,4.20%,-,-0.43%,0.43%,0.48%,0.38%,2.70%,4.80%,3.27%,1.14%,1.99%,Upgrade
