,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,4623,4623,734.49,469.45,4138,1699,2840,1386,5274,1588,575.84,4538,3884,7262,7810,4431,10262,4722,5367,258.47
1,Other Revenue,-7.23,-7.23,14.47,-,51.55,-16.16,16.16,-,98.51,-63.25,63.25,-,111.53,-12.91,12.91,-,75.9,-12.33,12.33,-
2,Revenue,4615,4615,748.96,469.45,4190,1683,2856,1386,5373,1525,639.09,4538,3996,7249,7823,4431,10338,4710,5379,258.47
3,Revenue Growth (YoY),10.15%,174.31%,-73.77%,-66.13%,-22.01%,10.33%,346.84%,-69.46%,34.46%,-78.96%,-91.83%,2.44%,-61.35%,53.90%,45.42%,1614.16%,-,-,-,-
4,Cost of Revenue,-527.39,-527.39,679.08,375.7,4266,1539,2847,1192,4917,1219,477.25,3769,3394,6041,6583,3662,8972,4126,4532,242.83
5,Gross Profit,5143,5143,69.88,93.75,-75.57,143.91,9.03,193.69,455.47,306.19,161.84,769.1,602.15,1208,1240,768.92,1365,584.17,847.77,15.63
6,"Selling, General & Admin",-140.92,-140.92,116.41,165.43,882.63,218.09,130.64,241.76,805.4,277.92,167.86,440.48,480.8,705.01,718.56,442.89,1016,442.67,450.47,164.45
7,Research & Development,-97.8,-97.8,109.86,85.74,259.85,128.38,124.96,144.85,144.44,173.07,146.32,119.99,275.84,321.12,198.39,129.79,291.46,136.13,72.65,59.57
8,Other Operating Expenses,5680,5680,-2.82,-0.89,-75.48,4.11,-39.82,-7.61,138.35,-2.49,-105.39,5.1,78.71,22.2,-22.92,15.04,98.34,-1.68,-8.31,-9.98
9,Operating Expenses,5421,5421,203.2,310.52,1016,384.36,258.39,430.16,1079,440.56,267.85,611.54,766.16,1034,917.43,644.2,1200,568.65,495.19,256.71
10,Operating Income,-278.29,-278.29,-133.32,-216.77,-1091,-240.45,-249.35,-236.48,-623.29,-134.37,-106.01,157.57,-164.01,174.07,322.52,124.72,164.97,15.52,352.58,-241.07
11,Interest Expense,-17.75,-17.75,-49.7,-30.93,-67.03,-25.88,-19.61,-19.18,-40.98,-15.05,-17.81,-12.82,-13.58,-12.01,-12.01,-10.85,-18.62,-3.92,-7.07,-2.03
12,Interest & Investment Income,40.31,40.31,30.94,4.56,467.66,6.26,17.57,23.43,63.67,2.38,99.3,14.83,1.78,19.33,22.52,13.12,28.81,29.3,30.48,0.54
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-1.17,1.17,-,-,-6.42,6.42,-,-,-,-
14,Currency Exchange Gain (Loss),-0.55,-0.55,1.09,-,-5.41,7.23,-7.23,-,15.27,-14.69,14.69,-,9.27,-2.72,2.72,-,-2.86,-,-,-
15,Other Non Operating Income (Expenses),11.07,11.07,-13.65,-3.88,-10.71,-10.82,-21.73,-1.76,-25.61,13.07,-17.4,-3.44,-16.51,-0.66,-22.42,2.15,-21.62,16.34,-18.96,2.53
16,EBT Excluding Unusual Items,-245.2,-245.2,-164.64,-247.02,-706.99,-263.64,-280.37,-233.99,-610.95,-148.65,-28.4,157.31,-183.05,178.01,306.91,135.56,150.69,57.25,357.03,-240.03
17,Gain (Loss) on Sale of Investments,0.32,0.32,2.16,-2.8,9.5,-4.76,5.9,0.21,3.36,4.13,23.89,-8.38,6.96,6.81,6.51,-,0.2,-1.07,-1.89,-
18,Gain (Loss) on Sale of Assets,-0.06,-0.06,0.03,0.09,0.05,0.11,0.22,11.02,0.71,0.32,-5.96,-0,0.39,6.97,0.56,0.21,3.23,-,0,-
19,Asset Writedown,-,-,-7.16,7.16,31.44,-31.44,-7.96,7.96,26.99,-29.7,3.36,-3.36,51.76,-51.76,-31.76,14.98,6.95,-6.95,-0.91,0.91
20,Other Unusual Items,-2.72,-2.72,0.03,5.41,22.46,15.29,-,-,159.19,-,-,-,49.33,-,-,-,95.67,-,-,-
21,Pretax Income,-249.38,-249.38,-166.13,-237.15,-611.79,-284.45,-282.21,-214.79,-412.98,-173.9,-7.12,145.57,-45.14,139.19,283.07,150.75,296.39,41.32,362.13,-239.12
22,Income Tax Expense,-49.16,-49.16,8.81,-25.09,7.04,-2.85,-77.71,-48.19,-64.02,-44.03,-16.31,14.02,-68.77,7.27,66.09,16.25,16.96,8.64,57.88,-39.43
23,Earnings From Continuing Operations,-200.22,-200.22,-174.95,-212.06,-618.82,-281.6,-204.5,-166.61,-348.96,-129.88,9.19,131.55,23.63,131.91,216.98,134.5,279.44,32.68,304.25,-199.68
24,Minority Interest in Earnings,-0.1,-0.1,0.08,0.12,0.03,0.15,0.03,0.05,0.03,-0,-0,-0,-,-,-,-,-,-,-,-
25,Net Income,-200.32,-200.32,-174.87,-211.94,-618.79,-281.45,-204.46,-166.56,-348.92,-129.88,9.19,131.55,23.63,131.91,216.98,134.5,279.44,32.68,304.25,-199.68
26,Net Income to Common,-200.32,-200.32,-174.87,-211.94,-618.79,-281.45,-204.46,-166.56,-348.92,-129.88,9.19,131.55,23.63,131.91,216.98,134.5,279.44,32.68,304.25,-199.68
27,Net Income Growth,-,-,-,-,-,-,-,-,-,-,-95.76%,-2.19%,-91.55%,303.69%,-28.68%,-,-,-,-,-
28,Shares Outstanding (Basic),1336,1336,1343,1325,1339,1328,1262,1388,2077,590,1351,1315,1359,1308,987,791,778,822,801,799
29,Shares Outstanding (Diluted),1336,1336,1343,1325,1339,1328,1262,1388,2077,590,1351,1315,1359,1308,987,791,778,822,801,799
30,Shares Change (YoY),-0.23%,0.56%,6.41%,-4.57%,-35.54%,125.05%,-6.59%,5.51%,52.80%,-54.87%,36.95%,66.27%,74.68%,59.08%,23.13%,-0.95%,-,-,-,-
