,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,11173,12000,5253,3840,5013,6853,6787,7427,8227,8013,8840,12627,12520,15800,16547,11733,-,-,-,-,-
1,Market Cap Growth,75.10%,75.10%,-22.59%,-48.29%,-39.06%,-14.48%,-23.23%,-41.18%,-34.29%,-49.28%,-46.58%,7.61%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,15309,16135,9389,5287,6342,7471,6913,6635,5718,8169,7883,10173,7578,14419,13759,10911,-,-,-,-,-
3,Last Close Price,8.38,9.00,3.94,2.88,3.76,5.14,5.09,5.57,6.17,6.01,6.63,9.35,9.27,11.70,12.26,8.69,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,-,-,-,-,42.62,24.84,31.16,21.69,17.68,-,-,-,-,-
5,PS Ratio,1.07,1.15,0.52,0.54,0.55,0.68,0.60,0.67,0.92,0.66,0.83,0.77,0.53,0.67,0.55,0.43,-,-,-,-,-
6,PB Ratio,-,-,0.96,0.70,0.88,1.17,1.05,1.10,1.18,1.12,1.18,1.66,1.61,2.07,2.17,1.57,-,-,-,-,-
7,P/TBV Ratio,-,-,1.01,0.74,0.92,1.21,1.08,1.13,1.21,1.16,1.20,1.69,1.63,2.10,2.20,1.59,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-2.88,-,-,-,-110.19,-,-,-,-,-,-,-
