,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,-,1896,1712,2211,3311,3919,4194,5680,1922,2390,3518,6045,2600,4259,2221,4077,-,4827,-
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83.85,-
2,Cash & Short-Term Investments,-,1896,1896,1712,2211,3311,3919,4194,5680,1922,2390,3518,6045,2600,4259,2221,4077,-,4911,3931
3,Cash Growth,-,-42.73%,-51.60%,-59.18%,-61.08%,72.30%,63.96%,19.20%,-6.03%,-26.08%,-43.88%,58.42%,48.27%,-,-13.29%,-43.51%,-,-,-,-
4,Accounts Receivable,-,-,7780,8983,9974,9774,9552,10018,9633,10083,9434,11334,9348,13797,12643,11788,12232,-,10337,-
5,Other Receivables,-,-,132.09,134.44,103.87,111.59,99.75,75.31,72.4,85.32,101.86,117.9,81.35,80.44,89.95,73.08,159.26,-,8.65,-
6,Receivables,-,-,7912,9117,10078,9885,9652,10094,9706,10168,9536,11452,9429,13877,12733,11861,12391,-,10345,-
7,Inventory,-,-,2541,2202,1669,3191,2730,3014,1795,3001,1913,1791,4157,5706,7156,6607,4644,-,4742,-
8,Other Current Assets,-,-,1336,1022,913.12,1419,1473,1148,1157,1438,1098,983.33,942.31,1139,2016,2967,3062,-,2784,-
9,Total Current Assets,-,-,13685,14054,14870,17807,17772,18450,18338,16529,14937,17745,20573,23322,26163,23656,24174,-,22782,-
10,"Property, Plant & Equipment",-,-,2906,3014,2926,4947,4616,4388,4196,3109,2607,2554,2653,2298,2373,2400,2011,-,1518,-
11,Long-Term Investments,-,-,1501,1438,1417,1427,1301,1126,941.55,934.95,899.3,759.2,716.73,776.42,572.15,471.07,464.65,-,279.34,-
12,Goodwill,-,-,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,7.29,-,7.29,-
13,Other Intangible Assets,-,-,282.07,175.84,177.86,179.87,181.28,193.96,196.19,139.89,142.74,86.39,88.36,79.58,82.27,83.68,85.04,-,92.09,-
14,Long-Term Accounts Receivable,-,-,5185,-,4982,-,5519,-,5248,-,5701,-,5523,-,4971,4507,4107,-,2673,-
15,Long-Term Deferred Tax Assets,-,-,1416,1398,1390,1370,1370,1298,1249,1107,1105,1026,1026,962.51,949.64,881.69,881.7,-,885.5,-
16,Long-Term Deferred Charges,-,-,11.3,13.24,13.4,14.46,11.51,17.52,14.3,13.93,14.38,15.09,15.85,16.58,17.3,18.03,18.75,-,20.21,-
17,Other Long-Term Assets,-,-,132.05,5093,73.43,5193,17.59,5080,17.59,5407,176.51,5419,89.98,4115,17.59,17.59,17.59,-,17.59,-
18,Total Assets,-,-,25127,25193,25857,30946,30796,30561,30208,27249,25590,27612,30693,31578,35154,32042,31766,-,28275,-
19,Accounts Payable,-,-,8536,10088,10975,12393,13660,13518,12380,9610,9809,12458,13585,14478,16589,14192,13310,-,10665,-
20,Accrued Expenses,-,-,556.4,109.82,724.87,118.52,724.4,118.38,1003,163.23,1006,152.59,1344,250.29,1193,152.08,1048,-,1388,-
21,Short-Term Debt,-,-,2067,500,1088,427.15,438.25,69.85,75.95,-,-,-,-,290.6,304.2,471.8,334.41,-,45.74,-
22,Current Portion of Long-Term Debt,-,-,912.86,-,103.7,-,115.88,-,88.55,-,9.75,-,105.84,-,104.65,-,-,-,19.48,-
23,Current Portion of Leases,-,-,72.24,-,56.63,-,65.7,-,57.61,-,70.3,-,122.57,-,123.73,-,-,-,44.95,-
24,Current Income Taxes Payable,-,-,10.71,2.53,22.98,8.3,7.34,111.84,44.38,105.8,9.71,116.99,48.32,139.04,72.34,67.14,67.84,-,23.38,-
25,Current Unearned Revenue,-,-,1574,748.05,760.15,1585,1424,1355,1805,1990,1565,859.76,3043,3245,5403,6851,8395,-,9633,-
26,Other Current Liabilities,-,-,1091,3421,1678,3803,1357,2194,1657,3089,1315,2260,1128,2237,808.73,2140,1289,-,882.36,-
27,Total Current Liabilities,-,-,14820,14869,15409,18335,17793,17367,17112,14958,13785,15847,19376,20639,24598,23875,24445,-,22702,-
28,Long-Term Debt,-,-,2757,2390,2031,3231,3158,3030,2634,1751,1018,717.78,514.13,559.24,556.9,579.84,525.78,-,356.86,-
29,Long-Term Leases,-,-,213.93,259.89,251.17,261.56,257.05,293.76,306.26,318.68,332,344.88,358.98,368.95,381.87,346.72,-,-,-,-
30,Long-Term Unearned Revenue,-,-,54.93,42.47,87.71,33.33,103.58,53.61,199.85,22.03,179.78,22.55,262.15,23.07,40.57,23.59,693.62,-,24.37,-
31,Other Long-Term Liabilities,-,-,1787,1967,2204,2595,2708,2834,2807,2697,2650,2916,2557,2379,2104,2773,1777,-,1183,-
32,Total Liabilities,-,-,19633,19528,19983,24455,24020,23578,23058,19747,17964,19848,23068,23969,27682,27597,27442,-,24266,-
33,Common Stock,-,-,1333,1333,1333,1333,1333,1333,1333,1333,1333,1333,1333,1333,1333,800,800,-,800,-
34,Additional Paid-In Capital,-,-,5116,5116,5116,5116,5116,5116,5116,5116,5116,5116,5113,5120,5118,2850,2848,-,2844,-
35,Retained Earnings,-,-,-1036,-861.04,-649.11,-30.31,251.14,455.6,622.16,971.09,1101,1245,1114,1090,958.02,736.74,626.93,-,314.81,-
36,Comprehensive Income & Other,-,-,70.66,67.55,64.78,62.54,66.27,68.88,68.88,72.5,72.94,68.04,62.26,65.28,62.54,57.35,49.45,-,49.75,-
37,Total Common Equity,-,5484,5484,5656,5865,6482,6767,6974,7141,7493,7623,7763,7623,7609,7472,4444,4325,-,4009,3896
38,Minority Interest,-,-,8.99,9.11,9.19,9.22,9.37,9.4,9.45,8.48,2.9,1.47,1.47,-,-,-,-,-,-,-
39,Shareholders' Equity,-,5493,5493,5665,5874,6491,6776,6983,7150,7502,7626,7764,7624,7609,7472,4444,4325,-,4009,3896
40,Total Liabilities & Equity,-,-,25127,25193,25857,30946,30796,30561,30208,27249,25590,27612,30693,31578,35154,32042,31766,-,28275,-
41,Total Debt,-,6023,6023,3150,3530,3920,4035,3393,3162,2069,1430,1063,1102,1219,1471,1398,860.2,-,467.03,1132
