,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,2343,2754,3228,3322,3043,3452,2418,2819,2238,3029,Upgrade
1,Revenue Growth (YoY),-27.41%,-17.11%,6.10%,-3.75%,25.82%,22.45%,8.03%,-6.93%,-18.64%,-4.44%,Upgrade
2,Cost of Revenue,1721,1940,2379,2296,2195,2710,1737,2100,1512,2125,Upgrade
3,Gross Profit,622.61,813.7,848.99,1026,847.13,741.85,680.99,718.57,726.61,903.83,Upgrade
4,"Selling, General & Admin",462.96,612.18,462.77,579.35,479.97,746.18,452.44,685.09,428.75,572.83,Upgrade
5,Research & Development,229.65,232.14,213.92,256.32,259.48,352.18,256.76,296.85,174.2,137.97,Upgrade
6,Other Operating Expenses,120.99,49.17,145.36,94.65,84.93,303.82,103.47,117.06,122.63,159.63,Upgrade
7,Operating Expenses,813.61,893.5,822.04,930.32,824.37,1402,812.68,1099,725.58,870.44,Upgrade
8,Operating Income,-190.99,-79.8,26.94,96.08,22.75,-660.33,-131.69,-380.43,1.03,33.4,Upgrade
9,Interest Expense,-13.51,-24.43,-30.11,-38.54,-21.65,-22.25,-21.41,-27.36,-41.3,-46.45,Upgrade
10,Interest & Investment Income,13.06,20.37,16.73,23.87,17.24,15.95,12.74,11.06,9.07,10.16,Upgrade
11,Earnings From Equity Investments,0.6,-0.33,0.95,3.83,1.99,2.06,4.91,1.05,-,-,Upgrade
12,Currency Exchange Gain (Loss),25.1,-92.36,110.06,27.15,10.66,-,-,-,-,8.12,Upgrade
13,Other Non Operating Income (Expenses),27.07,76.28,43.05,104.39,52.57,74.62,55.23,88.11,68.61,57.28,Upgrade
14,EBT Excluding Unusual Items,-138.67,-100.27,167.62,216.78,83.57,-589.95,-80.22,-307.56,37.41,62.5,Upgrade
15,Impairment of Goodwill,-,-9.86,-,-,-,-10.3,-,-,-,-,Upgrade
16,Gain (Loss) on Sale of Investments,-,-19.81,16.98,-2.68,-0.61,19.75,-2.85,-2.6,-0.66,3.86,Upgrade
17,Gain (Loss) on Sale of Assets,-4,4.74,-4.74,0.9,-0.9,13.1,-5.99,2.09,3.22,0.75,Upgrade
18,Pretax Income,-142.67,-125.21,179.87,215,82.06,-567.4,-89.06,-308.07,39.96,67.1,Upgrade
19,Income Tax Expense,14.61,-17.47,56.52,130.23,23.33,-10.84,26.94,-16.13,39.14,37.32,Upgrade
20,Earnings From Continuing Operations,-157.28,-107.74,123.35,84.77,58.73,-556.56,-116,-291.95,0.82,29.78,Upgrade
21,Minority Interest in Earnings,-1.15,2.25,-11.17,15.08,31.66,53.35,26.64,44.71,52.31,39.75,Upgrade
22,Net Income,-158.43,-105.48,112.18,99.85,90.38,-503.21,-89.36,-247.24,53.14,69.54,Upgrade
23,Net Income to Common,-158.43,-105.48,112.18,99.85,90.38,-503.21,-89.36,-247.24,53.14,69.54,Upgrade
24,Net Income Growth,-,-,24.11%,-,-,-,-,-,-35.37%,-,Upgrade
25,Shares Outstanding (Basic),2766,2766,2779,2780,2779,2792,2738,2735,2537,2461,Upgrade
26,Shares Outstanding (Diluted),2766,2766,2780,2780,2781,2792,2738,2735,2599,2484,Upgrade
27,Shares Change (YoY),-0.50%,-0.52%,-0.06%,-0.44%,1.59%,2.08%,5.32%,10.13%,4.92%,3.77%,Upgrade
28,EPS (Basic),-0.06,-0.04,0.04,0.04,0.03,-0.18,-0.03,-0.09,0.02,0.03,Upgrade
29,EPS (Diluted),-0.06,-0.04,0.04,0.04,0.03,-0.18,-0.03,-0.09,0.02,0.03,Upgrade
30,EPS Growth,-,-,24.20%,-,-,-,-,-,-38.55%,-,Upgrade
31,Free Cash Flow,133.71,-76.97,479.26,317.03,36.4,243.18,-103.22,-135.3,-464.86,614.45,Upgrade
32,Free Cash Flow Per Share,0.05,-0.03,0.17,0.11,0.01,0.09,-0.04,-0.05,-0.18,0.25,Upgrade
33,Dividend Per Share,-,-,0.012,0.011,0.010,-,-,-,0.007,0.012,Upgrade
34,Dividend Growth,-,-,20.00%,-,-,-,-,-,-30.00%,-,Upgrade
35,Operating Margin,-8.15%,-2.90%,0.83%,2.89%,0.75%,-19.13%,-5.45%,-13.50%,0.05%,1.10%,Upgrade
36,Profit Margin,-6.76%,-3.83%,3.47%,3.01%,2.97%,-14.58%,-3.70%,-8.77%,2.37%,2.30%,Upgrade
37,Free Cash Flow Margin,5.71%,-2.79%,14.85%,9.54%,1.20%,7.05%,-4.27%,-4.80%,-20.77%,20.29%,Upgrade
38,EBITDA,-121.27,-5.94,100.44,174.21,143.89,-540.95,-14.04,-270.34,118.08,117.87,Upgrade
39,D&A For EBITDA,69.73,73.85,73.5,78.13,121.13,119.38,117.65,110.09,117.05,84.47,Upgrade
40,EBIT,-190.99,-79.8,26.94,96.08,22.75,-660.33,-131.69,-380.43,1.03,33.4,Upgrade
