,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,71.11,282.5,144.07,690.83,182.6,972.17,154.58
1,Revenue Growth (YoY),-50.64%,-59.11%,-21.10%,-28.94%,18.13%,-,-
2,Cost of Revenue,64.52,389.2,96.72,466.29,126.06,772.85,79.58
3,Gross Profit,6.59,-106.7,47.35,224.53,56.54,199.32,75
4,"Selling, General & Admin",50.32,75.75,66.61,111.37,60.7,133.07,83.12
5,Operating Expenses,46.75,213.49,65.81,126.24,69.91,146.04,79.85
6,Operating Income,-40.16,-320.19,-18.46,98.29,-13.37,53.28,-4.85
7,Interest Expense,-0.22,-1.15,-1.45,-1.81,-1.05,-1.73,-1.01
8,Interest & Investment Income,-,19.14,-,5.77,-,3.65,5.54
9,Earnings From Equity Investments,-17.89,-43.76,-3.29,-5.53,-1.64,0.26,-1.77
10,Other Non Operating Income (Expenses),7.88,-36.59,7.11,9.14,8.96,11.79,14.91
11,EBT Excluding Unusual Items,-50.38,-382.55,-16.1,105.87,-7.09,67.25,12.82
12,Merger & Restructuring Charges,-,-,-,-,-,24.4,-24.4
13,Impairment of Goodwill,-,-1192,-,-,-,-380.73,-
14,Gain (Loss) on Sale of Investments,-4.96,-8.31,-3.79,9.05,-5.17,-20.73,-6.71
15,Gain (Loss) on Sale of Assets,-,-,-,1.7,-,-,-
16,Other Unusual Items,-,0.99,-,-,-,0.57,0.09
17,Pretax Income,-55.34,-1581,-19.89,116.61,-12.26,-309.25,-18.2
18,Income Tax Expense,0.64,35.52,-2.67,18.68,1.11,17.08,7.23
19,Earnings From Continuing Operations,-55.98,-1617,-17.22,97.93,-13.37,-326.32,-25.43
20,Minority Interest in Earnings,-0.82,27.45,2.14,0.87,1.49,3.15,3.6
21,Net Income,-56.8,-1590,-15.08,98.8,-11.88,-323.18,-21.82
22,Net Income to Common,-56.8,-1590,-15.08,98.8,-11.88,-323.18,-21.82
23,Shares Outstanding (Basic),399,369,398,384,383,-,-
24,Shares Outstanding (Diluted),399,369,398,384,383,-,-
25,Shares Change (YoY),0.01%,-3.73%,3.94%,-,-,-,-
26,EPS (Basic),-0.14,-4.30,-0.04,0.26,-0.03,-,-
27,EPS (Diluted),-0.14,-4.30,-0.04,0.26,-0.03,-,-
28,Free Cash Flow,-47.45,-32.39,55.42,191.87,30.32,155.34,226.08
29,Free Cash Flow Per Share,-0.12,-0.09,0.14,0.50,0.08,-,-
30,Operating Margin,-56.47%,-113.34%,-12.82%,14.23%,-7.32%,5.48%,-3.14%
31,Profit Margin,-79.87%,-562.67%,-10.47%,14.30%,-6.51%,-33.24%,-14.12%
32,Free Cash Flow Margin,-66.72%,-11.47%,38.46%,27.77%,16.60%,15.98%,146.26%
33,EBITDA,-27.25,-308.02,5.18,106.14,1.69,59.48,13.69
34,D&A For EBITDA,12.91,12.17,23.65,7.85,15.05,6.2,18.55
35,EBIT,-40.16,-320.19,-18.46,98.29,-13.37,53.28,-4.85
