,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,446.53,353.88,404.85,587.59,437.86,547.18,-
1,Trading Asset Securities,-,-,190.12,-,-,-,-
2,Cash & Short-Term Investments,446.53,353.88,594.97,587.59,437.86,547.18,-
3,Cash Growth,-24.95%,-39.77%,35.88%,7.38%,-,-,-
4,Accounts Receivable,175.65,220.79,459.05,625.96,662.05,859.33,-
5,Other Receivables,-,4.59,0.5,5.9,-,8.75,-
6,Receivables,700.15,907.9,940.2,1090,851.08,1063,-
7,Inventory,0.02,0.02,0.45,0.02,3.33,3.33,-
8,Other Current Assets,82.85,61.97,219.65,200.67,267.1,208.12,-
9,Total Current Assets,1230,1324,1755,1879,1559,1822,-
10,"Property, Plant & Equipment",294.23,302.2,288.94,283.73,212.7,156.65,-
11,Long-Term Investments,1006,1029,1082,1047,845.77,843.06,-
12,Goodwill,303.07,301.34,1499,1488,1478,1465,-
13,Other Intangible Assets,136.74,139.27,150.52,161.96,159.37,153.27,-
14,Long-Term Deferred Tax Assets,25.77,31.51,66.75,60.17,60.85,60.83,-
15,Other Long-Term Assets,90.25,88.67,78.31,78.03,127.95,43.59,-
16,Total Assets,3085,3216,4921,4997,4444,4544,-
17,Accounts Payable,135.47,173.1,157.13,252.81,221.7,333.33,-
18,Current Portion of Leases,5.39,5.66,8.53,7.89,8.48,2.43,-
19,Current Income Taxes Payable,24.1,35.05,34.83,40.64,28.73,40.41,-
20,Current Unearned Revenue,-,11.7,-,85.46,71.52,19.73,-
21,Other Current Liabilities,88.05,98.88,191.61,101.65,25.12,87.16,-
22,Total Current Liabilities,253.01,324.39,392.11,488.45,355.55,483.06,-
23,Long-Term Leases,3.79,6.32,3.93,7.67,13.62,2.26,-
24,Long-Term Deferred Tax Liabilities,3.95,3.9,3.95,3.84,3.86,3.81,-
25,Other Long-Term Liabilities,7.92,11.1,21.36,19.18,49.34,7.48,-
26,Total Liabilities,268.68,345.7,421.33,519.14,422.37,496.61,-
27,Common Stock,0,0,0,0,0,0,-
28,Retained Earnings,-362.95,-306.16,1283,1298,1200,1212,-
29,Comprehensive Income & Other,3189,3186,3199,3161,2802,2777,-
30,Total Common Equity,2826,2880,4482,4459,4002,3989,-
31,Minority Interest,-9.19,-10.01,17.22,19.3,20.17,58.81,-
32,Shareholders' Equity,2817,2870,4499,4478,4022,4048,-
33,Total Liabilities & Equity,3085,3216,4921,4997,4444,4544,-
34,Total Debt,9.18,11.97,12.46,15.56,22.1,4.69,-
35,Net Cash (Debt),437.36,341.9,582.51,572.03,415.77,542.49,-
36,Net Cash Growth,-24.92%,-40.23%,40.11%,5.44%,-,-,-
37,Net Cash Per Share,1.10,0.93,1.46,1.49,1.08,-,-
38,Filing Date Shares Outstanding,398.54,398.54,398.54,398.13,398.13,398.13,-
39,Total Common Shares Outstanding,398.54,398.54,398.54,398.13,398.13,398.13,-
40,Working Capital,976.54,999.38,1363,1390,1204,1339,-
41,Book Value Per Share,7.09,7.23,11.25,11.20,10.05,10.02,-
42,Tangible Book Value,2386,2440,2833,2809,2364,2371,-
43,Tangible Book Value Per Share,5.99,6.12,7.11,7.05,5.94,5.95,-
44,Machinery,-,76.54,-,78.46,74.34,76.81,-
45,Construction In Progress,-,165.8,-,160.21,84.67,39.74,-
46,Leasehold Improvements,-,32.33,-,11.18,12.68,12.41,-
