,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,829,1646,4759,43002,20046,-,-,-
1,Market Cap Growth,-96.17%,-96.17%,-76.26%,-,-,-,-,-
2,Enterprise Value,349,1258,4148,42377,19583,-,-,-
3,Last Close Price,2.08,4.13,11.94,107.90,50.35,-,-,-
4,PE Ratio,-,-,-,-,204.01,-,-,-
5,PS Ratio,2.10,4.33,10.13,47.67,20.30,-,-,-
6,PB Ratio,0.27,0.54,1.50,8.84,3.96,-,-,-
7,P/TBV Ratio,0.64,0.64,1.77,14.05,6.31,-,-,-
8,P/FCF Ratio,-,-,-,160.94,79.81,-,-,-
9,P/OCF Ratio,-,-,-,121.73,54.35,-,-,-
10,EV/Sales Ratio,0.92,3.31,8.83,46.97,19.83,-,-,-
11,EV/EBITDA Ratio,-,-,-,352.30,160.65,-,-,-
12,EV/EBIT Ratio,-,-,-,-,203.97,-,-,-
13,EV/FCF Ratio,-4.07,-,-,158.60,77.96,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.01,0.00,-
15,Debt / FCF Ratio,-,-,-,0.05,0.07,0.12,0.01,-
16,Return on Capital Employed (ROCE),-,-,-,-,1.88%,-,1.19%,-
17,Earnings Yield,-213.40%,-107.48%,-37.15%,0.21%,0.49%,-,-,-
18,FCF Yield,-10.35%,-5.21%,0.53%,0.62%,1.25%,-,-,-
19,Buyback Yield / Dilution,1.83%,-0.01%,3.73%,-3.94%,-,-,-,-
20,Total Shareholder Return,1.83%,-0.01%,3.73%,-3.94%,-,-,-,-
