,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,340698,312916,378443,216458,317305,334860,343603,285678,380689,383759,388357,291042,282477,119182,188175,177163,443920,434833,391335,370983,Upgrade
1,Short-Term Investments,50559,50656,5148,79656,79656,59625,54625,94288,94738,34288,34288,34288,34936,64288,64972,-,12539,-,2113,-,Upgrade
2,Accounts Receivable,635600,656219,599542,485633,468069,512027,494525,435974,460010,563559,618955,602917,432803,472390,452902,366583,398472,342036,284726,312456,Upgrade
3,Other Receivables,4900,2087,1648,2360,2268,1806,1500,9918,7474,2990,3080,1897,810.57,4678,2095,2955,2068,79626,45079,29903,Upgrade
4,Inventory,67785,68560,74028,76152,73732,75273,73834,66888,63229,46834,52852,52631,50552,45842,49305,47046,27441,38688,23274,24397,Upgrade
5,Prepaid Expenses,18251,8429,12604,13832,16675,6258,12385,15455,20487,6115,10699,15983,16896,10264,9962,10599,7565,2739,5220,7808,Upgrade
6,Other Current Assets,7924,14114,6002,2579,3299,1370,10888,12451,8925,4608,5518,7515,11129,29078,26676,27842,7322,13180,17280,460.23,Upgrade
7,Total Current Assets,1125717,1112981,1077415,876670,961005,991217,991358,920652,1035552,1042152,1113749,1006273,829604,745723,794087,632188,899326,911103,769027,746008,Upgrade
8,"Property, Plant & Equipment",186243,151434,148032,155061,144115,146333,137418,164566,175674,216961,228220,228373,245606,239807,258145,284312,116061,101474,111644,116019,Upgrade
9,Other Intangible Assets,35946,33021,33514,34008,34538,35001,35604,36227,36849,36804,37372,35610,35989,36368,36748,36249,36552,36854,36401,36643,Upgrade
10,Long-Term Deferred Tax Assets,1871,8809,2692,1876,2438,10625,7693,3741,5983,22852,15387,11069,7112,13725,11491,5212,5217,4507,5345,4571,Upgrade
11,Other Long-Term Assets,15954,15668,15818,16113,16481,16801,16933,19538,19222,19373,19632,9059,4308,4420,4719,5242,6530,7641,8752,9864,Upgrade
12,Total Assets,1365731,1321913,1277471,1083728,1158577,1199977,1189007,1144724,1273280,1338141,1414360,1290384,1122619,1040044,1105189,963203,1063686,1061578,931169,913105,Upgrade
13,Accounts Payable,627207,516463,481221,342377,446633,440797,443175,413521,558108,565381,615583,573074,532387,379644,451943,369047,455817,507297,316166,309054,Upgrade
14,Accrued Expenses,57284,131832,77437,82840,53706,129285,66480,72731,54893,113990,86314,51644,29254,89001,74355,43274,29683,54180,36419,25101,Upgrade
15,Short-Term Debt,-,-,-,-,-,22500,22500,22500,-,22500,22500,22500,9300,6528,8853,-,2000,-,-,-,Upgrade
16,Current Portion of Long-Term Debt,25763,24216,24216,24216,22500,-,-,-,22500,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Current Income Taxes Payable,-,13234,11709,15.28,1755,10818,256.78,-,-,14233,14421,12393,3641,4838,16107,2607,10118,1187,856.28,3636,Upgrade
