,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,1088078,1088078,1239005,1144237,1239005,961721,1075790,1042187,739791,645292,955788,1004388,998988,814040,971988,653392,645292,546743,556193,557543,518394,Upgrade
1,Market Cap Growth,13.14%,13.14%,15.17%,9.79%,67.48%,49.04%,12.56%,3.76%,-25.95%,-20.73%,-1.67%,53.72%,54.81%,48.89%,74.76%,17.19%,24.48%,-19.00%,-11.02%,-9.83%,-28.22%,Upgrade
2,Enterprise Value,740118,762753,899715,898477,889871,620688,736640,726923,334691,303197,608089,753866,695095,637098,727694,480862,190834,111910,162746,186560,141012,Upgrade
3,PE Ratio,14.08,14.08,12.70,11.46,17.93,10.61,14.62,16.85,8.69,6.57,8.76,9.87,11.54,12.45,15.04,11.13,17.22,15.15,22.43,13.18,7.33,Upgrade
4,PS Ratio,0.31,0.31,0.39,0.38,0.41,0.31,0.33,0.29,0.19,0.15,0.23,0.27,0.29,0.27,0.34,0.23,0.26,0.23,0.26,0.26,0.24,Upgrade
5,PB Ratio,1.72,1.72,2.00,1.92,2.05,1.60,1.91,1.94,1.26,1.14,1.77,1.90,1.80,1.56,2.00,1.36,1.24,1.07,1.16,1.16,0.98,Upgrade
6,P/FCF Ratio,27.62,27.62,-,21.12,-,-145.39,16.07,31.60,-,4.37,3.96,6.50,-,-9.16,-,-5.70,-,4.53,6.72,5.47,4.23,Upgrade
7,P/OCF Ratio,10.20,10.20,-,9.51,-,20.05,10.67,13.57,-,3.43,3.30,5.05,-,6.32,-,7.06,-,3.85,5.65,4.70,3.89,Upgrade
8,EV/Sales Ratio,0.21,0.22,0.28,0.30,0.30,0.20,0.22,0.20,0.09,0.07,0.15,0.20,0.20,0.21,0.26,0.17,0.08,0.05,0.08,0.09,0.06,Upgrade
9,EV/EBITDA Ratio,4.68,4.82,4.81,4.71,5.24,3.23,3.62,3.62,1.52,1.22,2.53,3.23,2.91,3.00,3.83,2.89,1.81,1.17,1.90,1.71,0.96,Upgrade
10,EV/EBIT Ratio,6.54,6.74,6.12,6.03,8.14,5.31,7.62,8.45,2.89,2.02,3.83,5.19,5.26,6.05,7.41,5.34,3.47,2.15,4.21,-,1.50,Upgrade
11,EV/FCF Ratio,18.78,19.36,-,16.58,-,-93.84,11.00,22.04,-,2.06,2.52,4.88,-,-7.17,-,-4.19,-,0.93,1.97,1.83,1.15,Upgrade
12,Debt / Equity Ratio,0.07,0.07,0.06,0.07,0.08,0.08,0.10,0.11,0.11,0.12,0.14,0.14,0.13,0.03,0.01,0.02,0.01,0.00,-,-,-,Upgrade
13,Debt / EBITDA Ratio,0.27,0.28,0.22,0.17,1.17,0.18,0.28,0.33,0.49,0.22,0.42,0.29,0.30,0.05,0.04,0.03,0.03,0.01,-,-,-,Upgrade
14,Debt / FCF Ratio,1.10,1.10,-,0.82,-,-7.23,0.80,1.79,-,0.48,0.31,0.48,-,-0.15,-,-0.08,-,0.02,-,-,-,Upgrade
15,Quick Ratio,1.44,1.44,1.49,1.49,1.73,1.64,1.50,1.45,1.60,1.47,1.37,1.28,1.40,1.30,1.23,1.17,1.31,1.60,1.52,1.66,1.95,Upgrade
16,Current Ratio,1.58,1.58,1.62,1.63,1.94,1.82,1.64,1.61,1.79,1.62,1.46,1.36,1.51,1.43,1.39,1.31,1.51,1.68,1.62,1.77,2.04,Upgrade
17,Asset Turnover,3.15,3.04,2.85,2.25,2.53,2.63,2.88,2.45,2.84,3.09,3.55,3.31,3.29,2.55,3.26,2.54,2.56,2.50,2.16,2.45,Upgrade,
18,Return on Equity (ROE),11.30%,18.05%,29.72%,0.89%,30.06%,21.60%,9.88%,15.89%,19.08%,13.44%,27.43%,26.81%,27.67%,8.74%,17.50%,11.56%,25.99%,3.85%,0.57%,10.10%,Upgrade,
19,Return on Assets (ROA),4.07%,6.60%,11.70%,0.38%,11.81%,7.62%,3.32%,1.90%,6.82%,4.69%,8.37%,8.98%,10.25%,2.87%,7.75%,4.11%,8.74%,1.05%,-0.81%,3.93%,Upgrade,
20,Return on Capital (ROIC),8.23%,13.22%,21.33%,0.65%,21.99%,15.04%,6.21%,3.55%,14.19%,10.58%,18.36%,18.59%,21.55%,6.27%,15.77%,8.03%,18.74%,2.17%,-1.48%,6.42%,Upgrade,
21,Return on Capital Employed (ROCE),17.38%,17.38%,23.18%,24.11%,17.31%,18.55%,16.27%,15.02%,18.39%,23.68%,25.52%,24.28%,21.10%,19.38%,19.46%,18.08%,10.10%,9.89%,7.75%,-,17.15%,Upgrade
22,Earnings Yield,7.10%,8.36%,9.45%,10.43%,7.16%,11.47%,8.64%,7.79%,14.12%,18.23%,13.19%,11.82%,10.36%,10.11%,8.18%,11.27%,8.12%,9.33%,7.05%,10.17%,16.41%,Upgrade
23,Earnings Yield,7.10%,8.36%,9.45%,10.43%,7.16%,11.47%,8.64%,7.79%,14.12%,18.23%,13.19%,11.82%,10.36%,10.11%,8.18%,11.27%,8.12%,9.33%,7.05%,10.17%,16.41%,Upgrade
24,FCF Yield,3.62%,3.62%,-1.12%,4.73%,-1.55%,-0.69%,6.22%,3.16%,14.89%,22.86%,25.27%,15.39%,12.86%,-10.92%,-22.94%,-17.55%,-25.93%,22.08%,14.88%,18.27%,23.65%,Upgrade
25,Dividend Yield,3.87%,3.87%,-,-,-,4.53%,-,-,-,9.08%,-,-,-,7.64%,9.60%,-,-,12.06%,-,-,-,Upgrade
26,Payout Ratio,46.29%,238.69%,-,-,-,-,182.03%,-,-,102.15%,150.43%,-,-,154.78%,-,-,-,125.98%,-,-,199.51%,Upgrade
27,Buyback Yield / Dilution,-,-,0.00%,0.00%,0.00%,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
28,Total Shareholder Return,3.87%,3.87%,-,0.00%,0.00%,4.53%,0.00%,-,-,9.08%,-,-,-,7.64%,9.60%,-,-,12.06%,-,-,-,Upgrade
