,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,10699,11040,9960,8965,9877,8596,8953,8760,9050,10546,9397,9330,8578,14218,-,-,-,-,-,-,-
1,Market Cap Growth,28.44%,28.44%,11.25%,2.34%,9.14%,-18.49%,-4.72%,-6.11%,5.51%,-25.83%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,10449,10789,9396,8750,9138,7635,7962,7782,7854,9643,8234,7964,8502,14142,-,-,-,-,-,-,-
3,Last Close Price,89.16,92.00,82.67,74.41,81.10,70.58,73.52,71.93,73.69,85.87,76.52,75.97,69.52,115.23,-,-,-,-,-,-,-
4,PE Ratio,29.62,30.58,27.93,26.79,28.88,25.89,28.57,29.14,34.60,46.57,51.69,62.75,67.30,118.73,-,-,-,-,-,-,-
5,Forward PE,24.11,26.49,24.32,22.27,23.38,21.55,24.20,25.49,28.46,34.86,34.50,39.32,-,-,-,-,-,-,-,-,-
6,PS Ratio,5.63,5.81,5.36,4.89,5.36,4.85,5.20,5.29,5.87,7.29,7.23,8.04,8.41,15.19,-,-,-,-,-,-,-
7,PB Ratio,4.38,4.52,4.08,3.82,4.21,3.77,4.09,4.14,4.33,5.22,4.83,4.96,4.68,7.76,-,-,-,-,-,-,-
8,P/TBV Ratio,4.66,4.66,4.20,3.93,4.33,3.88,4.17,4.22,4.41,5.33,4.94,5.06,4.79,7.94,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,51.58,57.90,73.14,55.46,-,41.57,-512.39,-89.60,-,-,-,371.44,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,36.60,39.01,47.79,39.19,-,36.39,553.29,-136.75,-,-,163.43,214.97,-,-,-,-,-,-,-
11,EV/Sales Ratio,5.50,5.68,5.06,4.77,4.96,4.31,4.63,4.70,5.10,6.66,6.34,6.86,8.34,15.11,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,22.88,23.65,23.28,22.62,23.26,19.82,21.44,22.39,26.47,38.76,44.05,53.05,60.58,99.99,-,-,-,-,-,-,-
13,EV/EBIT Ratio,25.91,26.76,26.80,25.98,26.73,22.62,24.36,25.42,30.11,44.71,52.48,66.09,75.45,123.86,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,48.66,56.51,67.67,49.26,-,36.93,-444.66,-81.93,-,-,-,369.48,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.00,0.00,0.00,-,-,0.04,0.04,0.04,-,-
16,Debt / EBITDA Ratio,0.09,0.07,0.08,0.10,0.10,0.13,0.07,0.07,0.09,0.10,0.10,0.00,0.00,0.00,-,-,0.12,0.15,-,-,-
17,Debt / FCF Ratio,-,-,0.20,0.26,0.29,0.33,-,0.14,-1.70,-0.28,-,-,-,0.00,-,-,0.57,-,-,-,-
18,Asset Turnover,-,0.64,0.63,0.64,0.69,0.67,0.69,0.59,0.67,0.65,-,-,-,-,-,-,1.05,-,-,-,
19,Inventory Turnover,-,-,8.88,8.98,9.07,8.49,7.58,7.67,7.56,10.12,9.19,-,-,-,-,-,-,8.74,-,-,-
20,Quick Ratio,-,-,1.93,2.83,2.83,3.68,3.91,3.06,3.25,4.21,3.38,3.75,-,4.02,-,-,-,1.41,1.41,-,-
21,Current Ratio,-,-,3.10,3.27,3.27,4.21,4.52,3.56,3.76,4.69,4.30,4.18,-,4.35,-,-,-,1.72,1.72,-,-
