,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,104.71,140.87,140.87,87.67,75.9,107.05,61.33,86.27,120.46,132.23,-,99.21,-,-,-,75.27,75.27,-,-
1,Short-Term Investments,-,-,267.63,267.63,200.16,-,-,-,-,-,204.32,-,200.35,-,-,-,-,-,-,-
2,Trading Asset Securities,-,185.11,195.67,195.67,502.98,913.17,913.8,947.1,1143,813.9,827.1,-,1067,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,289.82,289.82,604.17,604.17,790.81,989.08,1021,1008,1229,934.36,1164,1366,1366,-,-,75.27,75.27,75.27,-,-
4,Cash Growth,-63.35%,-70.70%,-40.82%,-40.09%,-35.65%,5.86%,-12.27%,-26.19%,-10.06%,-,-,1715.20%,1715.20%,-,-,-,-,-,-,-
5,Accounts Receivable,-,678.23,664.85,664.85,658.41,598.17,592.68,546.72,542.09,567.05,499,-,366.48,-,-,-,302.89,302.89,-,-
6,Other Receivables,-,2.79,3.03,3.03,2.65,3.15,1.99,2.45,1.38,2.48,1.27,-,1.39,-,-,-,4.49,4.49,-,-
7,Receivables,-,681.02,667.87,667.87,661.06,601.32,594.67,549.16,543.47,569.53,500.27,-,367.87,-,-,-,307.38,307.38,-,-
8,Inventory,-,150.12,141.78,141.78,139.01,166.61,169.72,165.05,123.65,119.28,118.3,-,86.82,-,-,-,67.25,67.25,-,-
9,Other Current Assets,-,437.87,54.97,54.97,68.9,80.11,92.41,79.57,79.23,291.21,70.46,-,54.74,-,-,-,17.65,17.65,-,-
10,Total Current Assets,-,1559,1469,1469,1660,1837,1878,1802,1975,1914,1853,-,1876,-,-,-,467.55,467.55,-,-
11,"Property, Plant & Equipment",-,556.24,501.26,501.26,466.51,446.29,469.04,479.13,488.35,492.12,434.77,-,362.89,-,-,-,261.06,261.06,-,-
12,Other Intangible Assets,-,72.72,68.34,68.34,69.47,38.83,39.23,39.66,40.22,40.24,40.36,-,40.63,-,-,-,41.25,41.25,-,-
13,Long-Term Deferred Tax Assets,-,27.79,28.49,28.49,28.07,23.82,22,16.34,20.76,14.87,11.27,-,9.13,-,-,-,9.59,9.59,-,-
14,Long-Term Deferred Charges,-,-,-,-,-,-,-,-,-,0.23,0.22,-,-,-,-,-,-,-,-,-
15,Other Long-Term Assets,-,844.74,845.61,845.61,567.74,338.49,325.23,322.12,5.03,7.13,29.04,-,9.78,-,-,-,2.56,2.56,-,-
16,Total Assets,-,3060,2912,2912,2792,2685,2733,2659,2530,2469,2368,-,2298,-,-,-,782.01,782.01,-,-
17,Accounts Payable,-,390.84,330.21,330.21,228.84,262.64,350.79,305.02,231.34,286.94,302,-,382.87,-,-,-,213.81,213.81,-,-
18,Accrued Expenses,-,22.67,30.17,30.17,39.68,24.5,39.94,11.49,39.46,25.09,25.91,-,27.88,-,-,-,42.58,42.58,-,-
19,Short-Term Debt,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
20,Current Portion of Leases,-,4.73,4.67,4.67,8.01,2.56,2.48,2.48,2.49,2.69,0.11,-,0.13,-,-,-,-,-,-,-
21,Current Income Taxes Payable,-,29.38,18.79,18.79,16.26,22.02,16.97,29.12,20.1,14.72,7.56,-,7.19,-,-,-,5.49,5.49,-,-
22,Current Unearned Revenue,-,15.11,16.68,16.68,24.97,26.42,51.51,60.91,51.06,94.99,94.28,-,10.72,-,-,-,3.93,3.93,-,-
23,Other Current Liabilities,-,40.01,49.28,49.28,76.45,68.52,66.25,69.81,74.85,20.51,13.49,-,2.34,-,-,-,6.08,6.08,-,-
24,Total Current Liabilities,-,502.74,449.81,449.81,394.2,406.67,527.93,478.84,421.31,444.95,443.34,-,431.13,-,-,-,271.9,271.9,-,-
25,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.98,19.98,-,-
26,Long-Term Leases,-,34.52,35.14,35.14,43.6,26.02,27,27.6,28.06,28.85,-,-,0.03,-,-,-,-,-,-,-
27,Long-Term Unearned Revenue,-,68.27,68.16,68.16,56.91,54.68,54.7,57.18,53.89,51,40.77,-,34.76,-,-,-,39.5,39.5,-,-
28,Long-Term Deferred Tax Liabilities,-,11.39,11.75,11.75,14.74,8.81,9.1,3.61,7.77,0.59,1.71,-,0.26,-,-,-,-,-,-,-
29,Total Liabilities,-,616.92,564.85,564.85,509.46,496.19,618.73,567.23,511.04,525.38,485.82,-,466.19,-,-,-,331.38,331.38,-,-
30,Common Stock,-,120,120,120,120,120,120,120,120,120,120,-,120,-,-,-,90,90,-,-
31,Additional Paid-In Capital,-,1403,1403,1403,1403,1403,1403,1403,1403,1404,1403,-,1403,-,-,-,141.89,141.89,-,-
32,Retained Earnings,-,919.5,823.61,823.61,758.64,664.88,590.94,568.75,495.03,419.87,358.72,-,308.19,-,-,-,218.44,218.44,-,-
