,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,1540,1539,1339,1274,1251,1392,1410,1590,1418,1519,1176,1280,974.5,1096,1142,1053,1015,1232,899.29
1,Other Revenue,-14.62,14.62,-,22.35,-7.45,7.45,-,17.33,-7.94,7.94,-,12.43,-3.7,3.7,-,7.07,-,-,-
2,Revenue,1526,1554,1339,1296,1244,1400,1410,1608,1410,1527,1176,1292,970.81,1100,1142,1060,1015,1232,899.29
3,Revenue Growth (YoY),22.68%,11.01%,-5.07%,-19.38%,-11.78%,-8.37%,19.90%,24.41%,45.23%,38.84%,2.96%,21.91%,-4.34%,-10.72%,27.02%,-,-,-,-
4,Cost of Revenue,1090,1200,971.46,1086,913.41,1106,1035,1244,1027,1109,810.64,992.58,659.64,757.85,801.46,773.73,641,676.42,708.18
5,Gross Profit,435.49,353.41,367.24,209.54,330.35,293.7,375.26,363.64,383.16,418.79,365.46,299.57,311.17,342.28,340.8,286.17,373.85,555.86,191.11
6,"Selling, General & Admin",99.75,85.83,92.97,81.85,104.73,87,91.67,91.5,103.41,64.97,80.04,56.45,97.18,73.15,70.51,36.14,75.4,129.51,-
7,Research & Development,67.33,55.31,37.65,27.75,65.32,50.58,46.86,62.48,48.45,54.95,31.66,49.06,37.77,35.47,32.96,40.26,34.35,62.58,-
8,Other Operating Expenses,3.24,-0.57,3.04,13.28,4.37,6.86,6.45,16.64,8.15,4.02,3.09,14,3.56,4.51,1.6,14.25,3.76,6.54,-
9,Operating Expenses,171.19,148.72,138.16,95.9,190.02,146.05,147.58,177.17,158.58,122.18,123.15,121.42,133.48,113.66,109.71,90.24,112.19,199.92,-
10,Operating Income,264.3,204.69,229.08,113.64,140.32,147.65,227.68,186.47,224.57,296.61,242.31,178.15,177.69,228.62,231.1,195.93,261.65,355.93,191.11
11,Interest Expense,-6.86,-7.35,-7.42,-4.38,-8.71,-4.22,-5.27,-3.55,-8.39,-2.5,-2.12,-5.8,-5.17,-8.65,-9.11,-8.75,-7,-19.77,-
12,Interest & Investment Income,6.44,11.64,18.04,18.86,16.28,11.05,18.81,12.46,16.6,10.8,9.04,11.74,5.69,2.66,2.56,4.72,4.61,7.56,-
