,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,10778,11601,9249,8427,9813,11707,11886,13468,14792,14323,13496,17083,16111,15546,-,-,-,-,-,-
1,Market Cap Growth,-0.91%,-0.91%,-22.19%,-37.43%,-33.66%,-18.26%,-11.93%,-21.16%,-8.19%,-7.87%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9531,10815,7945,6920,8306,10148,9479,11359,12684,12466,11573,14561,13589,15430,-,-,-,-,-,-
3,Last Close Price,19.50,20.99,16.65,14.82,17.25,20.58,20.90,23.05,25.32,24.52,23.10,28.99,27.34,25.93,-,-,-,-,-,-
4,PE Ratio,15.48,16.52,14.02,13.67,16.02,16.99,15.17,14.72,16.06,15.81,16.39,23.68,22.82,22.41,-,-,-,-,-,-
5,Forward PE,13.45,11.86,12.91,9.10,11.33,13.58,10.99,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,1.90,2.03,1.70,1.60,1.83,2.07,2.04,2.26,2.59,2.65,2.72,3.76,3.58,3.64,-,-,-,-,-,-
7,PB Ratio,1.40,1.48,1.22,1.11,1.32,1.60,1.66,1.83,2.07,2.06,2.01,2.61,2.54,2.41,-,-,-,-,-,-
8,P/TBV Ratio,1.55,1.55,1.28,1.16,1.39,1.69,1.74,1.93,2.18,2.18,2.09,2.72,2.65,2.52,-,-,-,-,-,-
9,P/FCF Ratio,173.03,186.25,-,-,-42.36,-,-,48.87,-,934.33,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,21.53,21.53,-,-,18.99,-,-,11.62,14.54,29.47,-76.32,-136.07,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.67,1.89,1.46,1.31,1.55,1.79,1.63,1.91,2.22,2.31,2.33,3.21,3.02,3.61,-,-,-,-,-,-
12,EV/EBITDA Ratio,8.09,9.36,7.82,7.41,9.06,10.41,9.08,9.67,10.80,10.83,10.58,14.33,13.67,15.42,-,-,-,-,-,-
13,EV/EBIT Ratio,11.74,13.32,11.55,10.97,13.20,14.45,12.05,12.14,13.35,13.24,12.93,17.61,16.66,18.52,-,-,-,-,-,-
14,EV/FCF Ratio,153.02,173.63,-,-,-35.85,-,-,41.22,-,813.22,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.12,0.12,0.14,0.14,0.13,0.12,0.13,0.10,0.09,0.11,0.09,0.03,0.03,0.04,0.20,0.08,0.28,-,-,0.38
16,Debt / EBITDA Ratio,0.77,0.66,0.87,0.87,1.25,1.08,1.01,0.64,0.66,0.69,0.44,0.16,0.18,0.27,0.66,0.24,0.98,-,-,1.09
17,Debt / FCF Ratio,14.59,14.59,-,-,-4.18,-,-,2.72,-,49.29,-,-,-,-,-6.62,-,-,-,-,5.67
18,Asset Turnover,0.59,0.61,0.52,0.51,0.51,0.58,0.60,0.72,0.65,0.75,0.62,0.68,0.59,0.80,0.83,-,-,-,-,
19,Inventory Turnover,3.29,3.30,3.43,2.74,3.21,2.69,3.11,2.88,3.52,2.81,3.05,2.39,3.14,2.29,-,-,-,-,-,-
20,Quick Ratio,1.38,1.38,1.38,1.56,1.45,1.61,1.64,1.66,1.93,2.00,1.86,2.36,2.40,2.63,0.96,0.33,0.92,-,-,-
21,Current Ratio,2.21,2.21,2.26,2.49,2.22,2.49,2.49,2.37,2.75,2.90,2.99,3.87,3.96,3.89,1.72,1.55,1.46,-,-,-
22,Return on Equity (ROE),9.04%,10.84%,10.56%,6.64%,7.22%,8.92%,10.75%,11.30%,13.23%,17.76%,12.43%,11.55%,11.38%,21.67%,22.02%,-,-,-,-,
23,Return on Assets (ROA),6.38%,5.00%,5.52%,2.82%,3.61%,3.80%,6.05%,5.24%,6.52%,9.14%,7.93%,5.85%,6.76%,10.43%,10.47%,-,-,-,-,
24,Return on Capital (ROIC),7.59%,5.90%,6.70%,3.42%,4.31%,4.56%,7.15%,6.00%,7.45%,10.53%,9.14%,6.75%,8.03%,14.11%,14.60%,-,-,-,-,
25,Return on Capital Employed (ROCE),10.06%,10.06%,8.79%,7.67%,7.95%,9.09%,10.37%,12.66%,13.23%,13.51%,13.27%,12.60%,12.82%,12.91%,23.70%,28.07%,28.41%,-,-,-
26,Earnings Yield,6.52%,6.05%,7.13%,7.32%,6.24%,5.88%,6.59%,6.80%,6.23%,6.33%,6.10%,4.22%,4.38%,4.46%,-,-,-,-,-,-
27,FCF Yield,0.58%,0.54%,-3.73%,-5.87%,-2.36%,-3.98%,-0.66%,2.05%,1.45%,0.11%,-4.27%,-2.91%,-3.87%,-3.09%,-,-,-,-,-,-
28,Dividend Yield,1.54%,-,-,-,1.75%,-,-,-,2.37%,-,-,-,2.56%,1.93%,-,-,-,-,-,-
29,Payout Ratio,28.22%,3.66%,84.68%,3.69%,8.22%,4.78%,208.79%,2.68%,3.14%,2.29%,39.01%,0.90%,170.33%,0.83%,4.60%,4.69%,5.50%,-,64.68%,-
30,Buyback Yield / Dilution,-0.31%,-2.03%,0.81%,0.73%,-0.76%,2.52%,-0.94%,0.10%,2.82%,-6.39%,-18.35%,-17.28%,-22.15%,-11.36%,1.16%,-,-,-,-,-
31,Total Shareholder Return,1.23%,-2.03%,0.81%,0.73%,0.98%,2.52%,-0.94%,0.10%,5.19%,-6.39%,-18.35%,-17.28%,-19.59%,-9.43%,1.16%,-,-,-,-,-
