,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1475,1341,2039,2094,2116,2097,2561,1974,1914,1630,910.11,893.01,1658,846.3,586.55,1235,-,-,-
1,Trading Asset Securities,685.68,525.88,342.39,465.99,271.74,374.6,594.46,824.56,950,850,1202,1258,1100,-,-,0.03,-,-,-
2,Cash & Short-Term Investments,2161,1867,2381,2560,2388,2472,3155,2799,2864,2480,2113,2151,2758,846.3,586.55,1235,-,-,1265
3,Cash Growth,-9.52%,-24.46%,-24.53%,-8.52%,-16.62%,-0.35%,49.36%,30.09%,3.85%,193.10%,260.17%,74.24%,-,-,-53.62%,-,-,-,-
4,Accounts Receivable,1345,1242,987.4,964.92,900.15,863.91,789.28,775.34,704.91,711.99,691.63,571.5,519.12,622.83,-,544.51,-,-,-
5,Other Receivables,23.15,17.97,18.69,17.22,22.17,48.96,34.06,21.07,19.93,17.54,25.77,45.03,27.35,28.04,-,30.83,-,-,-
6,Receivables,1368,1260,1006,982.14,922.31,912.87,823.34,796.41,724.84,729.54,717.4,616.53,546.47,650.87,-,575.34,-,-,-
7,Inventory,1307,1336,1463,1369,1336,1381,1464,1409,1418,1504,1409,1309,1219,1084,-,989.55,-,-,-
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,0.7,-,-,-,-,-,-,-
9,Other Current Assets,823.73,650.24,570.43,532.31,483.2,378.9,229.3,125.15,188.59,438.27,398.54,489.48,369.22,103.46,2205,71.64,-,-,-
10,Total Current Assets,5660,5113,5421,5443,5130,5145,5672,5129,5195,5152,4637,4567,4892,2685,2791,2871,-,-,-
11,"Property, Plant & Equipment",4401,4391,4383,4330,4076,3903,3462,3284,3027,2885,2743,2622,2270,2238,-,2152,-,-,-
12,Long-Term Investments,119.82,120.67,120.43,121.13,99.84,111.08,100.93,101.37,31.24,31.33,31.61,17.11,17.55,18.08,-,18.67,-,-,-
13,Goodwill,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,-,0.03,-,-,-
14,Other Intangible Assets,353.84,354.63,356.24,358.85,362.02,365.01,369.11,370.5,376.5,273.4,270.27,272.26,274.08,262.73,-,266.71,-,-,-
