,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2015,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Cash & Equivalents,1430,1399,1604,1745,1478,1418,1272,1374,948.28,1176,-,579.66,-,-,-,64.15,64.15
1,Short-Term Investments,-,65.46,-,144.4,-,163.33,-,317.74,-,425.28,-,314.57,-,-,-,-,-
2,Trading Asset Securities,-,-,1,-,-,95,340,185,250,50,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,1430,1464,1605,1889,1478,1677,1612,1877,1198,1651,894.22,894.22,-,-,690.46,64.15,64.15
4,Cash Growth,-3.22%,-12.67%,-0.47%,0.69%,23.35%,1.53%,80.32%,109.85%,-,-,29.51%,1293.93%,-,-,-,-,-
5,Accounts Receivable,487.81,493.02,415.42,350.69,320.96,225.59,188.48,179.47,229.9,224.35,-,162.67,-,-,-,59.99,59.99
6,Other Receivables,9.42,57.07,12.02,45.87,10.94,33.53,12.47,50.26,10.63,9.06,-,46.08,-,-,-,3.14,3.14
7,Receivables,497.23,550.09,427.44,396.56,331.9,259.11,200.95,229.72,240.53,233.41,-,208.74,-,-,-,63.12,63.12
8,Inventory,56.38,51.77,59.41,44.42,55.64,57.91,64.61,53.69,50.91,44.4,-,33.77,-,-,-,10.88,10.88
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.21,1.21
10,Other Current Assets,67.36,6.37,107.3,7.23,199.54,23.03,238.84,30.25,461.84,58.23,-,36.76,-,-,-,5.32,5.32
11,Total Current Assets,2051,2072,2199,2338,2065,2017,2117,2190,1952,1987,-,1173,-,-,-,144.68,144.68
12,"Property, Plant & Equipment",10.07,11.79,10.53,11.52,13.63,13.94,14.61,10.68,12.73,12.52,-,13.22,-,-,-,0.77,0.77
13,Long-Term Investments,11.18,11.14,11.28,11.68,11.91,12.22,12.56,13.09,13.65,14.18,-,15.59,-,-,-,-,-
14,Goodwill,26.76,26.76,26.76,1.03,1.03,1.03,1.03,1.03,1.03,-,-,-,-,-,-,-,-
15,Other Intangible Assets,18,18.72,19.33,1.47,1.65,1.45,0.98,1.11,0.38,0.4,-,0.42,-,-,-,-,-
16,Long-Term Deferred Tax Assets,34.39,27.21,27.32,21.78,18.82,15.27,9.44,7.37,6.08,6.09,-,4.71,-,-,-,0.59,0.59
17,Long-Term Deferred Charges,0.92,1.07,1.4,1.77,2.11,2.26,1.62,1.89,2.17,2.43,-,2.76,-,-,-,-,-
18,Other Long-Term Assets,1.95,1.9,1.57,1.48,0.93,0.72,0.92,0.92,0.92,0.92,-,-,-,-,-,0.1,0.1
19,Total Assets,2155,2171,2297,2388,2115,2064,2158,2226,1989,2024,-,1210,-,-,-,146.13,146.13
20,Accounts Payable,347.29,348.19,330.29,380.73,270.61,203.38,131.74,148.3,145.65,132.64,-,132.77,-,-,-,19.12,19.12
21,Accrued Expenses,25.01,38.33,27.39,90.06,46.64,53.53,33.9,86.4,50.05,56.03,-,85.02,-,-,-,6.03,6.03
22,Current Portion of Leases,5.11,5.79,4.27,3.23,4.87,5.45,4.76,4.17,4.12,4.35,-,4.2,-,-,-,-,-
23,Current Income Taxes Payable,7.17,-,14.47,15.23,3.66,2.79,11.58,15.54,10.51,16.16,-,5.36,-,-,-,1.92,1.92
24,Current Unearned Revenue,45.45,44.97,57.4,71.16,96.02,201.9,373.12,383.2,327.49,321,-,384.69,-,-,-,-,-
25,Other Current Liabilities,12.79,13.56,14,7.72,7.21,15.45,31.04,31.97,27.27,27.82,-,31.47,-,-,-,22.31,22.31
26,Total Current Liabilities,442.83,450.84,447.83,568.13,429.01,482.51,586.13,669.58,565.08,558.01,-,643.51,-,-,-,49.39,49.39
27,Long-Term Leases,2.03,2.35,1.97,3.19,4.31,4.75,5.49,3.15,5.21,5.59,-,6.8,-,-,-,-,-
28,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.53,0.53
29,Long-Term Deferred Tax Liabilities,0,0,2.74,0.17,1.79,2.07,1.95,0.09,-,-,-,-,-,-,-,-,-
30,Total Liabilities,444.86,453.19,452.54,571.49,435.11,489.33,593.57,672.82,570.29,563.6,-,650.31,-,-,-,49.92,49.92
31,Common Stock,349.92,349.92,194.4,194.4,194.4,194.4,108,108,108,108,-,81,-,-,-,81,81
32,Additional Paid-In Capital,728.87,710.05,845.71,823.56,804.65,780.71,842.73,842.73,842.73,842.73,-,29.94,-,-,-,19.01,19.01
33,Retained Earnings,598.54,624.78,772.55,786.17,674.5,592.42,606.88,594.58,462.36,505.07,-,444.13,-,-,-,-5.7,-5.7
34,Total Common Equity,1677,1685,1813,1804,1674,1568,1558,1545,1413,1456,555.07,555.07,-,-,399.02,94.3,94.3
35,Minority Interest,32.51,33.05,32,12.82,6.63,6.74,6.83,8.19,5.14,4.52,-,4.82,-,-,-,1.91,1.91
36,Shareholders' Equity,1710,1718,1845,1817,1680,1574,1564,1553,1418,1460,559.88,559.88,-,-,403.11,96.21,96.21
37,Total Liabilities & Equity,2155,2171,2297,2388,2115,2064,2158,2226,1989,2024,-,1210,-,-,-,146.13,146.13
38,Total Debt,7.14,8.14,6.24,6.42,9.18,10.2,10.25,7.32,9.32,9.95,11,11,-,-,-,-,-
39,Net Cash (Debt),1423,1456,1599,1883,1469,1666,1602,1869,1189,1641,883.22,883.22,-,-,690.46,64.15,64.15
40,Net Cash Growth,-3.11%,-12.63%,-0.22%,0.74%,23.55%,1.53%,81.40%,111.64%,-,-,27.92%,1276.78%,-,-,-,-,-
41,Net Cash Per Share,5.03,4.16,4.57,5.30,4.34,4.82,4.46,5.36,3.30,9.28,2.38,3.39,-,-,2.64,0.25,0.25
42,Filing Date Shares Outstanding,349.92,349.92,349.92,349.92,349.92,349.92,349.92,349.92,349.92,349.92,371.67,262.44,264.15,261.43,261.43,262.44,262.44
43,Total Common Shares Outstanding,349.92,349.92,349.92,349.92,349.92,349.92,349.92,349.92,349.92,349.92,371.67,262.44,264.15,261.43,261.43,262.44,262.44
44,Working Capital,1609,1622,1751,1770,1636,1534,1531,1521,1386,1429,-,529.98,-,-,-,95.29,95.29
45,Book Value Per Share,4.79,4.81,5.18,5.16,4.78,4.48,4.45,4.42,4.04,4.16,2.12,2.12,-,-,1.52,0.36,0.36
46,Tangible Book Value,1633,1639,1767,1802,1671,1565,1556,1543,1412,1455,554.65,554.65,-,-,398.95,94.3,94.3
47,Tangible Book Value Per Share,4.67,4.68,5.05,5.15,4.77,4.47,4.45,4.41,4.03,4.16,2.11,2.11,-,-,1.52,0.36,0.36
48,Machinery,-,8.37,-,8.21,-,6.52,-,5.84,-,5.25,-,4.51,-,-,-,1.13,1.13
