,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2015,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Revenue,129.57,232.42,131.52,426.61,319.79,351.23,110.18,360.43,202.69,272.76,76.98,268.44,170.61,149.57,149.57,27.95,27.95
1,Revenue Growth (YoY),-59.48%,-33.83%,19.36%,18.36%,57.77%,28.77%,43.14%,34.27%,18.80%,82.36%,-48.53%,860.60%,510.50%,-,-,-,-
2,Cost of Revenue,58.16,98.02,57.01,188.29,137.81,157.66,44.18,156.85,73.77,116.88,34.75,127.85,76.38,66.98,66.98,11.34,11.34
3,Gross Profit,71.4,134.39,74.51,238.32,181.98,193.57,66.01,203.58,128.92,155.87,42.23,140.6,94.23,82.59,82.59,16.6,16.6
4,"Selling, General & Admin",44.75,43.92,41.17,54.81,44.62,50.87,23.69,42.1,26.6,35.55,22.49,40.5,31.39,25.72,25.72,13.5,13.5
5,Research & Development,62.15,61.81,60.6,61.58,56.93,59.55,42.92,48.02,40.72,41.61,31.9,42.08,30.54,28.97,28.97,-,-
6,Other Operating Expenses,-2.3,-1.28,-2.29,4.3,-0.23,-4.45,-7.42,4.62,-4.37,-2.6,-8.41,1.09,-3.68,-2.89,-2.89,0.19,0.19
7,Operating Expenses,108.93,115.83,103.5,124.97,108.56,114.48,59.89,83.68,64.26,85.24,46.44,73.9,55.8,57.75,57.75,13.69,13.69
8,Operating Income,-37.52,18.56,-28.99,113.35,73.42,79.09,6.12,119.9,64.65,70.63,-4.21,66.7,38.43,24.85,24.85,2.91,2.91
9,Interest Expense,-0.08,-0.12,-0.05,-0.06,-0.11,-0.12,-0.13,-,-0.21,-0.16,-0.18,-0.17,-0.17,-0.13,-0.13,-,-
10,Interest & Investment Income,7.28,8.71,10.61,12.12,10.24,13.03,9.1,20.68,3.45,4.03,4.09,3.23,0.42,3.56,3.56,0.31,0.31
11,Other Non Operating Income (Expenses),0.38,-0.41,-0.03,0.66,0.55,-0.34,-0.03,-0.45,-0.36,0.33,-0.01,-0.51,-0.07,-0.14,-0.14,4.25,4.25
12,EBT Excluding Unusual Items,-29.95,26.74,-18.46,126.06,84.1,91.66,15.06,140.14,67.53,74.83,-0.31,69.26,38.62,28.14,28.14,7.47,7.47
