,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2015,Q1 2015
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Market Capitalization,10197,11040,9889,12782,15216,11930,14572,14191,11496,6480,5421,-,-,-,-,-,-,-
1,Market Cap Growth,-7.46%,-7.46%,-32.14%,-9.93%,32.36%,84.11%,168.83%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,8806,9617,8322,10912,13753,10271,12977,12330,10312,4843,4542,-,-,-,-,-,-,-
3,Last Close Price,29.14,31.55,28.26,35.87,42.70,33.48,40.89,39.55,32.04,18.06,14.84,-,-,-,-,-,-,-
4,PE Ratio,84.41,-,43.59,-,50.79,37.28,48.06,52.21,44.48,32.99,32.78,-,-,-,-,-,-,-
5,Forward PE,62.00,35.60,26.31,34.24,39.32,34.33,44.75,42.94,41.50,28.10,24.94,-,-,-,-,-,-,-
6,PS Ratio,10.88,12.00,8.91,10.40,12.60,10.45,14.22,15.00,12.59,7.89,6.87,-,-,-,-,-,-,-
7,PB Ratio,6.08,6.46,5.76,6.93,8.37,7.10,9.26,9.07,7.40,4.57,3.71,-,-,-,-,-,-,-
8,P/TBV Ratio,6.76,6.76,6.03,7.24,8.45,7.14,9.31,9.12,7.45,4.59,3.72,-,-,-,-,-,-,-
9,P/FCF Ratio,240.03,-,-,-,123.37,-,-,-,52.07,23.48,22.04,-,-,-,-,-,-,-
10,P/OCF Ratio,248.35,-,-,-,118.02,-,-,-,51.00,23.29,21.68,-,-,-,-,-,-,-
11,EV/Sales Ratio,9.57,10.45,7.50,8.88,11.39,9.00,12.67,13.03,11.30,5.90,5.76,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,119.83,-,46.71,-,50.30,36.69,47.89,47.00,40.95,24.40,26.37,-,-,-,-,-,-,-
13,EV/EBIT Ratio,134.64,-,47.19,-,50.57,36.88,48.11,47.19,41.09,24.49,26.48,-,-,-,-,-,-,-
14,EV/FCF Ratio,207.29,-,-,-,111.51,-,-,-,46.71,17.55,18.47,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.02,0.02,-,-,-,-,-
16,Debt / EBITDA Ratio,0.10,-,0.09,-,0.01,0.03,0.03,0.40,0.01,0.04,0.03,-,0.04,-,-,-,-,-
17,Debt / FCF Ratio,0.17,-,-,-,0.05,-,-,-,0.03,0.03,0.04,-,0.05,-,-,-,-,-
18,Asset Turnover,0.24,0.42,0.22,0.76,0.61,0.67,0.20,0.68,0.40,-,-,-,-,-,-,0.76,-,
19,Inventory Turnover,7.17,4.30,7.05,4.39,15.05,9.71,10.29,2.99,12.00,6.19,-,-,-,-,-,-,4.17,-
20,Quick Ratio,4.35,4.35,4.47,4.54,4.02,4.22,4.01,3.09,3.15,2.55,3.38,-,1.71,-,-,-,2.58,2.58
21,Current Ratio,4.63,4.63,4.60,4.91,4.11,4.81,4.18,3.61,3.27,3.45,3.56,-,1.82,-,-,-,2.93,2.93
22,Return on Equity (ROE),-6.33%,10.63%,-3.47%,26.93%,20.07%,23.67%,3.03%,36.41%,18.18%,24.57%,-1.01%,-,-,-,-,27.47%,-,
23,Return on Assets (ROA),-4.34%,2.08%,-3.09%,12.58%,8.78%,9.37%,0.70%,14.22%,8.06%,-,-,-,-,-,-,4.98%,-,
24,Return on Capital (ROIC),-5.45%,2.59%,-3.94%,16.13%,11.21%,12.52%,0.98%,20.06%,11.16%,17.30%,-1.84%,-,-,-,-,7.56%,-,
25,Return on Capital Employed (ROCE),3.82%,-,10.25%,-,14.94%,16.52%,17.06%,16.62%,16.12%,13.89%,11.70%,-,27.32%,-,-,-,6.01%,3.01%
26,Earnings Yield,1.16%,1.07%,2.29%,2.14%,1.97%,2.68%,2.08%,1.92%,2.25%,3.03%,3.05%,-,-,-,-,-,-,-
27,FCF Yield,0.42%,0.38%,0.12%,0.14%,0.81%,1.24%,1.48%,1.91%,1.92%,4.26%,4.54%,-,-,-,-,-,-,-
28,Dividend Yield,1.91%,-,-,-,1.30%,-,-,-,1.93%,-,2.08%,-,-,-,-,-,-,-
29,Payout Ratio,163.99%,-,416.91%,-,-,-,115.46%,-,-,165.42%,-,-,-,-,-,-,-,-
30,Buyback Yield / Dilution,1.32%,16.46%,-1.15%,2.53%,-1.86%,6.03%,-95.61%,3.41%,-33.61%,-36.38%,32.35%,-42.17%,-1.20%,-2.47%,-,-,-,-
31,Total Shareholder Return,3.23%,16.46%,-1.15%,2.53%,-0.56%,6.03%,-95.61%,3.41%,-31.68%,-36.38%,34.43%,-42.17%,-1.20%,-2.47%,-,-,-,-
