,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,141,125,108,108,166,215,540,556,327,304,282,Upgrade
1,Market Cap Growth,33.00%,15.65%,-35.03%,-49.87%,-69.27%,-61.25%,65.12%,82.50%,16.22%,-38.46%,-53.75%,Upgrade
2,Enterprise Value,254,244,160,151,210,294,621,645,410,361,368,Upgrade
3,Last Close Price,0.11,0.10,0.12,0.12,0.18,0.25,0.71,0.73,0.43,0.40,0.37,Upgrade
4,PE Ratio,-,-,-12.93,-,-,-,-,5.01,3.59,-1.34,-,Upgrade
5,PS Ratio,7.04,7.72,7.62,14.23,-,10.57,-,20.38,9.94,5.99,1.40,Upgrade
6,PB Ratio,0.10,0.08,0.07,0.08,0.11,0.13,0.31,0.26,0.16,0.15,0.15,Upgrade
7,P/TBV Ratio,0.15,0.15,0.14,0.10,0.14,0.17,0.40,0.32,0.20,0.20,0.19,Upgrade
8,P/OCF Ratio,-,-,-,-,-,29.61,-,-27782.67,-,-,-,Upgrade
9,EV/Sales Ratio,15.74,15.12,11.28,19.86,-,14.41,-,23.67,12.45,7.09,1.83,Upgrade
10,EV/EBITDA Ratio,-,-,-,-,-,61.85,-,-,-,-,-,Upgrade
11,EV/EBIT Ratio,-,-,-,-,-,94.33,-,-,-,-,-,Upgrade
12,EV/FCF Ratio,-6.32,-,-,-,-,-,-,-,-,-,-,Upgrade
13,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,Upgrade
14,Return on Capital Employed (ROCE),-,-,-,-,-,0.17%,-,-,-,-,-,Upgrade
15,Earnings Yield,-7.95%,-8.95%,-7.73%,-11.95%,-,-7.78%,-,19.98%,27.88%,-74.90%,-120.29%,Upgrade
16,FCF Yield,-28.61%,-15.14%,-,-10.98%,-,-0.42%,-,-1.90%,-9.31%,-27.72%,-25.97%,Upgrade
17,Buyback Yield / Dilution,-23.04%,-26.67%,-,-17.87%,-,-4.59%,-,-,-,-,-,Upgrade
18,Total Shareholder Return,-23.04%,-26.67%,-,-17.87%,-,-4.59%,-,-,-,-,-,Upgrade
