,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jan '25 Jan 16, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,50,56,48,64,98,2012,265,420,651,1104,883,Upgrade
1,Market Cap Growth,-12.50%,-12.50%,-51.35%,-96.84%,-63.02%,379.71%,-59.32%,-62.00%,-26.25%,-25.37%,-55.56%,Upgrade
2,Enterprise Value,1219,1194,1172,1137,1098,2975,1179,1346,1632,2540,2126,Upgrade
3,Last Close Price,0.02,0.02,0.02,0.02,0.04,0.76,0.12,0.19,0.29,0.50,0.40,Upgrade
4,PE Ratio,-,-0.28,-,-,-,-,-,-,-,-,-,Upgrade
5,PS Ratio,0.20,0.22,0.18,0.19,0.28,4.38,0.49,0.90,2.35,9.95,4.23,Upgrade
6,PB Ratio,-1.18,-1.18,-0.46,0.61,0.32,4.49,0.35,0.41,0.55,0.62,0.41,Upgrade
7,P/TBV Ratio,-,-,-,0.61,0.32,4.49,0.35,0.41,0.55,0.72,0.41,Upgrade
8,P/FCF Ratio,1.59,-,1.45,-,47.91,-,1.86,13.93,-,-,-19.97,Upgrade
9,P/OCF Ratio,1.54,-,1.44,-,43.09,-,1.74,10.33,-,-,-30.90,Upgrade
10,EV/Sales Ratio,4.80,4.70,4.55,3.47,3.09,6.47,2.20,2.89,5.88,22.89,10.18,Upgrade
11,EV/FCF Ratio,34.76,-,35.63,-,536.97,-,8.28,44.68,-,-,-48.08,Upgrade
12,Debt / Equity Ratio,-26.33,-26.33,-11.65,11.85,3.96,2.48,1.48,1.08,0.95,0.70,0.80,Upgrade
13,Debt / FCF Ratio,35.33,-,37.05,-,584.18,-,7.83,36.63,-,-,-39.30,Upgrade
14,Earnings Yield,-392.99%,-355.57%,-789.46%,-506.42%,-475.77%,-26.46%,-170.44%,-213.11%,-158.13%,-60.21%,-74.57%,Upgrade
15,FCF Yield,69.69%,63.05%,69.01%,-4.04%,2.09%,2.76%,53.76%,7.18%,-25.76%,-10.28%,-5.01%,Upgrade
16,Buyback Yield / Dilution,0.06%,-,0.13%,-18.49%,-20.08%,-1.21%,-,-,-,-,-0.21%,Upgrade
17,Total Shareholder Return,0.06%,-,0.13%,-18.49%,-20.08%,-1.21%,-,-,-,-,-0.21%,Upgrade
