,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,442.76,1170,1282,892.88,806.39,1335,1162,620.75,356.69,261.06,253.73,1348,-,245.15,-
1,Short-Term Investments,-,-,-,-,-,-,-,100,-,150,-,-,-,-,-
2,Trading Asset Securities,1003,281.17,110,651.18,604.2,50,110,650.62,794,810,780,-,-,-,-
3,Cash & Short-Term Investments,1446,1451,1392,1544,1411,1385,1272,1371,1151,1221,1034,1348,-,245.15,428.9
4,Cash Growth,2.49%,4.72%,9.48%,12.59%,22.59%,13.46%,23.01%,1.70%,-,398.09%,141.02%,-,-,-,-
5,Accounts Receivable,56.9,55.14,66.73,92.46,83.95,103.17,90.38,107.96,91.61,56.65,52.52,61.23,-,39.19,-
6,Other Receivables,9.42,11.27,12.1,2.45,5.48,8.42,9.02,2.7,3.6,3.58,3.84,4.1,-,5.35,-
7,Receivables,66.32,66.41,78.83,94.9,89.43,111.59,99.4,110.66,95.21,60.23,56.36,65.34,-,44.54,-
8,Inventory,90.61,97.39,90.1,96.66,122.76,92.95,95,86.32,110.51,116.85,112.6,112.88,-,134.62,-
9,Restricted Cash,-,-,-,-,-,-,-,-,-,-,-,-,-,18.05,-
10,Other Current Assets,13.36,13.84,12.25,11.32,18.66,22.19,22.62,16.55,174.9,21.22,172.6,18.03,-,13.68,-
11,Total Current Assets,1616,1628,1573,1747,1641,1612,1489,1585,1531,1419,1375,1545,-,456.04,-
12,"Property, Plant & Equipment",573.25,591.02,607.42,620.89,623.8,628.97,643.52,647.6,651.22,648.75,643.17,647.11,-,644.8,-
13,Long-Term Investments,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,-,10.26,-,10.26,-
14,Other Intangible Assets,36.49,38.2,40.17,42.87,41.92,44.04,41.68,44.11,45.23,46.69,47.22,48.12,-,51.69,-
15,Long-Term Deferred Tax Assets,11.72,11.27,11.56,10.77,8.99,9.98,8.72,8.94,8.47,7.72,8.17,8.44,-,3.79,-
16,Other Long-Term Assets,16.71,11.08,4.53,1.19,3.6,5.92,5.3,4.46,5.22,4.69,32.97,6.17,-,5.46,-
17,Total Assets,2264,2290,2247,2433,2330,2311,2198,2300,2252,2137,2107,2265,-,1172,-
18,Accounts Payable,194.72,195.9,193.42,290.84,250.17,208.07,185.38,278.07,243.28,230.21,241.54,327.47,-,211.99,-
19,Accrued Expenses,34.55,44.56,24.54,95.02,37.53,41.72,20.35,77.06,33.18,54.87,21.21,77.52,-,56.8,-
20,Current Income Taxes Payable,10.32,1.5,11.2,13.68,11.41,5.34,7.57,11.49,21.68,5.09,12.83,14.78,-,2.7,-
21,Current Unearned Revenue,168.71,148.21,118.31,162.96,180.43,173.14,115.98,96.81,178.5,169.83,142.41,175.69,-,207.59,-
22,Other Current Liabilities,87.09,147.17,97.86,74.62,90.94,152.64,76.18,48.55,84.86,69.39,74.27,74.9,-,70.72,-
23,Total Current Liabilities,495.38,537.33,445.33,637.13,570.47,580.9,405.46,511.99,561.51,529.38,492.26,670.35,-,549.8,-
24,Long-Term Unearned Revenue,9.09,9.55,10.02,10.48,9.84,10.28,10.72,11.16,11.59,10.65,11.21,11.46,-,10.13,-
25,Long-Term Deferred Tax Liabilities,0.6,-,-,-,0.78,0.61,0.62,3.74,-,-,-,-,-,-,-
26,Total Liabilities,505.07,546.88,455.35,647.61,581.09,591.8,416.8,526.88,573.11,540.03,503.46,681.81,-,559.93,-
27,Common Stock,222.69,222.69,224.01,224.01,224.02,224.02,224.12,224.12,224.12,221.36,221.36,221.36,-,166,-
28,Additional Paid-In Capital,891.76,891.76,900.47,900.47,905.99,903.05,899.94,896.16,892.43,872.91,872.91,873.66,-,87.39,-
29,Retained Earnings,644.98,628.92,677.01,670.4,618.92,592.45,657.98,653.11,562.05,503.17,509.09,488.06,-,358.77,-
30,Treasury Stock,-,-,-9.57,-9.57,-,-,-0.76,-,-,-,-,-,-,-,-
31,Total Common Equity,1759,1743,1792,1785,1749,1720,1781,1773,1679,1597,1603,1583,-,612.15,599.95
32,Minority Interest,-,-,-,-,-,-,-,-,-,-,-,-0.15,-,-0.04,-
33,Shareholders' Equity,1759,1743,1792,1785,1749,1720,1781,1773,1679,1597,1603,1583,-,612.11,600
34,Total Liabilities & Equity,2264,2290,2247,2433,2330,2311,2198,2300,2252,2137,2107,2265,-,1172,-
35,Total Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.01
36,Net Cash (Debt),1446,1451,1392,1544,1411,1385,1272,1371,1151,1221,1034,1348,-,245.15,378.89
37,Net Cash Growth,2.49%,4.72%,9.48%,12.59%,22.59%,13.46%,23.01%,1.70%,-,398.09%,172.83%,-,-,-,-
38,Net Cash Per Share,6.29,6.25,6.33,6.81,6.43,6.89,5.22,6.19,5.03,5.91,4.43,7.90,-,1.40,2.36
39,Filing Date Shares Outstanding,222.69,222.69,220.09,224.01,224.02,224.02,224.12,224.12,224.12,221.36,221.36,221.36,159.13,166,160.8
40,Total Common Shares Outstanding,222.69,222.69,220.09,224.01,224.02,224.02,224.12,224.12,224.12,221.36,221.36,221.36,159.13,166,160.8
41,Working Capital,1121,1091,1128,1110,1071,1031,1083,1073,969.8,889.98,883.04,874.29,-,-93.76,-
42,Book Value Per Share,7.90,7.83,8.14,7.97,7.81,7.68,7.95,7.91,7.49,7.22,7.24,7.15,-,3.69,3.61
43,Tangible Book Value,1723,1705,1752,1742,1707,1675,1740,1729,1633,1551,1556,1535,-,560.47,547.75
44,Tangible Book Value Per Share,7.74,7.66,7.96,7.78,7.62,7.48,7.76,7.72,7.29,7.01,7.03,6.93,-,3.38,3.30
45,Buildings,-,370.43,-,369.19,-,306.3,-,306.3,-,302.86,-,302.86,-,299.99,-
46,Machinery,-,722.35,-,34.76,-,674.53,-,32.02,-,671.45,-,667.03,-,663.47,-
47,Construction In Progress,-,25.34,-,54.89,-,113.25,-,96.04,-,72.5,-,40.31,-,13.79,-
