,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2735,2389,2056,2345,2939,2935,3053,3216,3077,3512,3584,4489,5598,-,-,-
1,Market Cap Growth,-18.58%,-18.58%,-32.65%,-27.07%,-4.49%,-16.44%,-14.80%,-28.36%,-45.03%,-,-,-,-,-,-,-
2,Enterprise Value,1289,939,664,935,1528,1549,1782,2065,1926,2291,2550,4244,5353,-,-,-
3,Last Close Price,12.28,10.73,8.87,10.12,12.68,12.66,12.84,13.51,12.93,14.76,15.25,18.80,23.45,-,-,-
4,PE Ratio,30.19,25.86,20.00,24.06,30.70,21.69,18.20,15.75,13.96,16.98,17.94,24.09,30.59,-,-,-
5,Forward PE,-,12.05,12.05,12.05,12.05,11.91,12.39,14.83,13.53,14.91,16.19,20.48,-,-,-,-
6,PS Ratio,2.19,1.88,1.54,1.71,2.23,2.27,2.32,2.42,2.22,2.34,2.34,2.95,3.68,-,-,-
7,PB Ratio,1.55,1.36,1.18,1.31,1.65,1.68,1.78,1.81,1.74,2.09,2.24,2.80,3.54,-,-,-
8,P/TBV Ratio,1.39,1.39,1.21,1.34,1.69,1.72,1.82,1.85,1.78,2.15,2.31,2.88,3.65,-,-,-
9,P/FCF Ratio,30.58,26.72,14.64,-,12.17,17.98,25.58,-,81.77,30.96,21.72,-,31.08,-,-,-
10,P/OCF Ratio,17.75,17.75,11.10,-,9.52,12.65,15.23,-,23.66,15.72,13.36,-,21.19,-,-,-
11,EV/Sales Ratio,1.01,0.74,0.50,0.68,1.16,1.20,1.35,1.55,1.39,1.53,1.66,2.79,3.52,-,-,-
12,EV/EBITDA Ratio,9.86,6.49,4.23,5.87,10.16,9.06,8.54,8.10,6.78,7.51,8.50,14.83,18.77,-,-,-
13,EV/EBIT Ratio,20.72,13.60,8.40,11.73,22.27,17.79,14.29,-,9.62,10.36,11.72,20.82,26.21,-,-,-
14,EV/FCF Ratio,14.41,10.50,4.73,-,6.33,9.49,14.93,-,51.19,20.19,15.46,-,29.72,-,-,-
15,Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.08
16,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.31
17,Asset Turnover,0.53,0.49,0.37,0.80,0.62,0.57,0.29,0.79,0.71,0.62,0.41,-,-,-,-,
18,Inventory Turnover,8.48,9.27,8.45,6.84,11.99,9.58,10.28,5.34,11.87,9.34,7.98,5.66,-,-,-,-
19,Quick Ratio,3.05,3.05,2.82,3.30,2.57,2.63,2.58,3.38,2.89,2.22,2.42,2.21,2.11,-,0.53,-
20,Current Ratio,3.26,3.26,3.03,3.53,2.74,2.88,2.78,3.67,3.10,2.73,2.68,2.79,2.30,-,0.83,-
21,Return on Equity (ROE),3.67%,4.13%,1.48%,11.65%,6.10%,2.95%,1.10%,21.10%,14.38%,12.35%,5.28%,-,-,23.73%,-,
22,Return on Assets (ROA),1.23%,0.68%,0.24%,5.18%,2.30%,0.75%,-0.98%,7.44%,6.71%,6.29%,2.30%,-,-,-,-,
23,Return on Capital (ROIC),1.60%,0.88%,0.31%,6.98%,3.07%,0.97%,-1.24%,9.82%,8.99%,8.34%,3.15%,-,-,15.73%,-,
24,Return on Capital Employed (ROCE),3.52%,3.90%,4.51%,4.42%,3.82%,4.95%,7.20%,-,11.19%,13.08%,13.53%,12.62%,12.81%,-,9.67%,-
25,Earnings Yield,3.38%,3.87%,5.00%,4.16%,3.26%,4.61%,5.49%,6.35%,7.16%,5.89%,5.57%,4.15%,3.27%,-,-,-
26,FCF Yield,3.27%,3.74%,6.83%,8.02%,8.22%,5.56%,3.91%,2.93%,1.22%,3.23%,4.60%,4.26%,3.22%,-,-,-
27,Dividend Yield,2.44%,-,-,-,2.37%,-,-,-,2.71%,-,-,-,1.07%,-,-,-
28,Payout Ratio,72.30%,416.10%,-,-,-,296.36%,-,-,-,-,111.98%,-,-,-,-,234.78%
29,Buyback Yield / Dilution,-2.66%,-4.87%,-15.44%,9.62%,-2.39%,4.13%,2.77%,-4.24%,-29.78%,-43.71%,-18.22%,-45.27%,-,-,-,-
30,Total Shareholder Return,-0.22%,-4.87%,-15.44%,9.62%,-0.02%,4.13%,2.77%,-4.24%,-27.07%,-43.71%,-18.22%,-45.27%,1.07%,-,-,-
