,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,388.11,362.91,354.85,356.08,400.15,307.78,330.47,312.24,339.68,350.58,290.71,296.53,364.06,360.44,442.85,836.81,-,367.98,-
1,Cash & Short-Term Investments,388.11,362.91,354.85,356.08,400.15,307.78,330.47,312.24,339.68,350.58,290.71,296.53,364.06,360.44,442.85,836.81,-,367.98,287.83
2,Cash Growth,-3.01%,17.91%,7.38%,14.04%,17.80%,-12.21%,13.68%,5.30%,-6.70%,-2.73%,-34.35%,-64.56%,-,-2.05%,53.86%,-,-,-,-
3,Accounts Receivable,188.78,159.51,127.77,126.59,109.68,100.64,80.31,98.65,51.79,83.73,77.66,79.42,64.23,73.09,50.74,51.55,-,44.41,-
4,Other Receivables,22.16,20.75,16.12,19.11,29.16,16.23,15.31,34.83,35.13,20.74,26.49,25.07,24.01,38.54,44.79,37.6,-,26.68,-
5,Receivables,210.94,180.25,143.89,145.7,138.83,116.87,95.62,133.48,86.92,104.47,104.15,104.49,88.24,111.63,95.53,89.15,-,71.09,-
6,Inventory,135.42,132.61,155.51,122.51,126.86,123.85,134.29,127.42,139.64,142.42,128.88,97.09,94.12,86.23,74.36,62.93,-,99.39,-
7,Other Current Assets,69.77,51.08,55.42,54.06,24.84,34.71,40.92,33.92,37.1,53.58,73.55,81.81,85.07,77.75,81.35,95.71,-,84.13,-
8,Total Current Assets,804.23,726.84,709.68,678.35,690.68,583.21,601.31,607.05,603.34,651.05,597.29,579.93,631.5,636.05,694.09,1085,-,622.59,-
9,"Property, Plant & Equipment",1684,1695,1702,1744,1715,1707,1700,1735,1715,1788,1880,1901,1738,1604,1508,1202,-,1018,-
10,Long-Term Investments,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-,5,-
11,Other Intangible Assets,181.34,183.02,184.59,131.7,135.59,136.93,138.12,123.32,123.94,125.65,122.61,123.27,123.01,124,124.73,60.94,-,61.44,-
