,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,7984,4287,3661,4411,5935,4772,4363,4680,5109,4138,5670,4904,6075,5935,7190,7338,7082,-,-,-
1,Market Cap Growth,-10.17%,-10.17%,-16.08%,-5.74%,16.17%,15.31%,-23.06%,-4.58%,-15.91%,-30.27%,-21.14%,-33.17%,-14.21%,-,-,-,-,-,-,-
2,Enterprise Value,8185,4530,3884,4471,5995,4940,4550,4923,5352,4486,6062,5114,6285,6151,7229,7451,7194,-,-,-
3,Last Close Price,19.91,10.65,9.10,10.91,14.68,11.81,10.79,11.58,12.64,10.24,14.03,12.12,15.01,14.66,17.76,17.92,17.29,-,-,-
4,PE Ratio,336.88,180.88,155.36,157.40,-,-160.18,-115.25,-55.25,-,-39.31,-,-,-,62.43,53.32,48.21,53.47,-,-,-
5,Forward PE,-,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,22.86,30.92,24.16,31.46,32.25,-,-,-,-
6,PS Ratio,2.77,1.56,1.33,1.63,2.25,1.85,1.72,1.91,2.10,1.70,2.38,2.06,2.62,2.62,3.20,3.40,3.64,-,-,-
7,PB Ratio,7.14,3.83,3.31,3.98,5.40,4.29,3.96,4.33,4.75,3.62,4.98,4.18,5.01,4.71,5.72,5.64,5.49,-,-,-
8,P/TBV Ratio,4.58,4.58,3.96,4.77,6.14,4.89,4.52,4.96,5.36,4.07,5.59,4.67,5.58,5.22,6.34,6.24,5.76,-,-,-
9,P/FCF Ratio,1000.55,537.21,145.74,88.68,-,17.07,19.55,27.75,80.17,-122.55,-,-,-,-28.00,-,-,-,-,-,-
10,P/OCF Ratio,16.59,16.59,13.51,14.91,-,10.92,10.91,12.79,15.72,11.36,13.73,10.78,16.37,18.79,27.29,-,33.68,-,-,-
11,EV/Sales Ratio,2.98,1.65,1.41,1.65,2.27,1.92,1.80,2.01,2.20,1.84,2.55,2.15,2.71,2.71,3.21,3.46,3.69,-,-,-
12,EV/EBITDA Ratio,27.39,20.14,18.10,20.28,28.75,31.35,34.45,63.55,-,-213.49,-214.18,-,-,41.82,38.31,34.46,35.84,-,-,-
13,EV/EBIT Ratio,132.05,63.64,63.38,63.37,101.31,562.20,-639.60,-79.63,-,-31.81,-,-,-,88.08,63.64,51.95,55.33,-,-,-
14,EV/FCF Ratio,1025.71,567.73,154.60,89.89,-,17.68,20.38,29.20,83.99,-132.84,-,-,-,-29.02,-,-,-,-,-,-
15,Debt / Equity Ratio,0.53,0.53,0.55,0.52,0.53,0.41,0.43,0.48,0.55,0.51,0.61,0.58,0.55,0.46,0.46,0.37,0.39,-,0.67,0.25
16,Debt / EBITDA Ratio,1.97,2.25,1.49,2.39,1.19,2.09,1.12,2.67,1.48,4.95,2.40,-,3.31,6.48,1.18,3.85,6.27,-,1.19,2.64
17,Debt / FCF Ratio,73.80,73.80,24.14,11.61,-,1.65,2.13,3.07,9.35,-17.26,-,-,-,-2.71,-,-,-,-,-,-
18,Asset Turnover,0.99,1.07,0.94,1.02,1.04,1.06,0.88,0.95,0.95,0.87,0.80,0.94,0.93,1.01,0.82,-,-,-,-,
