,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,838.46,576.65,642.87,452.89,794.54,579.75,578.45,431.56,715.15,534.1,556.31,430.35,685.78,506.85,492.52,444.94,628.48,453.78,283.79
1,Other Revenue,-152.8,152.8,-,237.58,-106.44,106.44,-,195.43,-73.23,73.23,-,200.88,-101.45,101.45,-,136.19,-61.1,61.1,-
2,Revenue,685.66,729.45,642.87,690.47,688.1,686.19,578.45,626.99,641.91,607.34,556.31,631.22,584.34,608.3,492.52,581.13,567.38,514.88,283.79
3,Revenue Growth (YoY),-0.36%,6.31%,11.14%,10.12%,7.20%,12.98%,3.98%,-0.67%,9.85%,-0.16%,12.95%,8.62%,2.99%,18.14%,73.55%,-,-,-,-
4,Cost of Revenue,487.46,515.53,446.13,477.59,481.66,472.93,408.77,469.29,435.32,433.14,384.94,466.19,388.7,410.26,332.43,457.25,343.17,283.88,192.8
5,Gross Profit,198.19,213.92,196.74,212.88,206.44,213.26,169.67,157.7,206.59,174.2,171.37,165.04,195.63,198.04,160.09,123.88,224.21,231,90.99
6,"Selling, General & Admin",167.63,179.54,162.18,195.79,173.33,171.76,147.7,171.6,193.84,191.29,208.67,193.12,179.8,143.65,138.19,75.13,165.32,151.2,99.81
7,Research & Development,11.71,10.24,9.85,15.82,10.87,12.83,9.88,16.19,10.96,10.42,10.08,12.19,11.53,11.99,9.13,10.05,10.8,11.06,9.72
8,Other Operating Expenses,-9.19,5.16,1.33,-1.76,2.37,1.12,1.13,18.73,-2.8,0.53,0.09,26.5,0.45,-11.48,-0.25,41.6,-3.5,-14.45,-17.88
