,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,26,27,37,71,70,106,201,139,264,95,77,Upgrade
1,Market Cap Growth,-62.01%,-62.01%,-46.51%,-33.27%,-65.45%,-23.68%,-23.61%,46.15%,242.86%,23.81%,-58.00%,Upgrade
2,Enterprise Value,260,151,251,217,285,316,423,317,500,259,300,Upgrade
3,Last Close Price,0.17,0.22,0.36,0.69,0.95,1.45,2.75,1.90,3.60,1.30,1.05,Upgrade
4,PE Ratio,-,-,-,-,-,-1.16,-,-,-,-,-,Upgrade
5,PS Ratio,0.04,0.05,0.07,0.13,0.08,0.11,0.28,0.27,0.72,0.16,0.12,Upgrade
6,PB Ratio,-0.27,-0.27,-0.46,-0.88,-0.78,-1.05,-2.04,15.36,6.96,1.18,0.64,Upgrade
7,P/TBV Ratio,-,-,-,-,-,-,-,15.36,6.96,1.18,0.64,Upgrade
8,P/FCF Ratio,2.05,-,-10.29,-,2.75,-,-8.15,-,-4.79,-,14.95,Upgrade
9,P/OCF Ratio,0.98,-,3.92,-,1.98,-,-13.28,-,-5.35,-,3.70,Upgrade
10,EV/Sales Ratio,0.51,0.29,0.48,0.39,0.34,0.33,0.58,0.61,1.37,0.43,0.46,Upgrade
11,EV/EBITDA Ratio,-,-,-40.06,-,-,191.51,-,-,-,-,-20.30,Upgrade
12,EV/EBIT Ratio,-,-,-14.16,-,-,-27.91,-,-,-,-,-12.10,Upgrade
13,EV/FCF Ratio,20.32,-,-69.34,-,11.29,-,-17.13,-,-9.09,-,58.38,Upgrade
14,Debt / Equity Ratio,-2.48,-2.48,-3.02,-3.12,-2.18,-2.61,-2.80,29.65,6.22,3.28,2.16,Upgrade
15,Debt / FCF Ratio,19.61,-,-67.47,-,7.75,-,-11.20,-,-4.29,-,50.54,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,-12.62%,Upgrade
17,Earnings Yield,-130.63%,-126.92%,-76.98%,-36.63%,11.61%,-86.45%,-67.53%,-64.98%,-36.33%,-40.44%,-55.17%,Upgrade
18,FCF Yield,48.89%,47.50%,-9.72%,-127.42%,36.31%,-3.27%,-12.27%,2.28%,-20.87%,28.49%,6.69%,Upgrade
19,Buyback Yield / Dilution,-47.15%,-54.54%,-39.28%,-6.72%,-0.00%,0.00%,0.00%,-,-,-,-,Upgrade
20,Total Shareholder Return,-47.15%,-54.54%,-39.28%,-6.72%,-0.00%,0.00%,0.00%,-,-,-,-,Upgrade
