,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,542,921,3398,3095,7819,-
1,Market Cap Growth,-70.24%,-70.24%,-56.55%,-,-,-
2,Enterprise Value,522,662,3106,2734,7633,-
3,Last Close Price,0.30,0.51,1.88,1.71,4.32,-
4,PE Ratio,2.39,4.06,11.69,10.58,29.22,-
5,Forward PE,-,2.16,8.22,-,-,-
6,PS Ratio,0.46,0.78,2.48,2.40,6.49,-
7,PB Ratio,0.34,0.57,2.12,2.19,5.64,-
8,P/TBV Ratio,0.60,0.60,2.28,2.34,5.89,-
9,EV/Sales Ratio,0.44,0.56,2.27,2.12,6.33,-
10,EV/EBITDA Ratio,1.91,2.47,9.63,8.25,23.15,-
11,EV/EBIT Ratio,2.18,2.77,10.42,8.88,24.58,-
12,Debt / Equity Ratio,0.08,0.08,0.07,0.08,0.07,0.09
13,Return on Capital Employed (ROCE),14.76%,14.76%,18.61%,21.74%,22.39%,-
14,Earnings Yield,41.86%,24.62%,8.56%,9.45%,3.42%,-
15,FCF Yield,-45.15%,-26.56%,-2.00%,-5.13%,-2.27%,-
16,Buyback Yield / Dilution,-4.53%,0.15%,-9.67%,-17.65%,-,-
17,Total Shareholder Return,-4.53%,0.15%,-9.67%,-17.65%,-,-
