,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,134.97,332.67,376.34,404.5,-
1,Short-Term Investments,3.96,3.24,3.98,3.46,-
2,Cash & Short-Term Investments,138.94,335.9,380.32,407.96,198.32
3,Cash Growth,-63.47%,-17.66%,91.77%,-,-
4,Accounts Receivable,568.92,561.51,518.39,375.52,-
5,Other Receivables,0.62,0.28,1.79,0.19,-
6,Receivables,569.54,561.79,520.18,375.7,-
7,Prepaid Expenses,36.41,14.75,-,31.13,-
8,Other Current Assets,886.78,580.21,494.2,463.84,-
9,Total Current Assets,1632,1493,1395,1279,-
10,"Property, Plant & Equipment",11.18,12.76,15.86,8.05,-
11,Long-Term Investments,93.67,112.46,122.85,190.53,-
12,Other Intangible Assets,79.31,95,81.66,47.93,-
13,Long-Term Deferred Tax Assets,8.85,8.41,4.78,1.93,-
14,Long-Term Deferred Charges,-,-,2.1,0.39,-
15,Other Long-Term Assets,-,-,15,-,-
16,Total Assets,1825,1721,1637,1527,-
17,Accounts Payable,101.25,69.73,97.39,72.43,-
18,Accrued Expenses,57.5,67.59,67.59,61.97,-
19,Short-Term Debt,115,95,102,80,-
20,Current Portion of Leases,2.95,2.5,4.27,4.37,-
21,Current Income Taxes Payable,13.07,9.51,5.78,8.82,-
22,Current Unearned Revenue,15.67,13.06,30.56,67.71,-
23,Other Current Liabilities,9.75,10.76,18.2,5.23,-
24,Total Current Liabilities,315.18,268.14,325.8,300.53,-
25,Long-Term Leases,-,0.9,1.52,1.52,-
26,Other Long-Term Liabilities,6,-,-,-,-
27,Total Liabilities,321.18,269.04,327.32,302.05,-
28,Common Stock,0.13,0.13,0.13,0.13,-
29,Additional Paid-In Capital,521.25,521.25,521.25,521.25,-
30,Retained Earnings,799.14,735.67,588.05,471.73,-
31,Treasury Stock,-5.21,-4.58,-,-,-
32,Comprehensive Income & Other,185.45,197.04,197.46,229.57,-
33,Total Common Equity,1501,1450,1307,1223,481.96
34,Minority Interest,2.73,2.73,2.73,2.73,-
35,Shareholders' Equity,1503,1452,1310,1225,484.78
36,Total Liabilities & Equity,1825,1721,1637,1527,-
37,Total Debt,117.95,98.4,107.79,85.89,45.17
38,Net Cash (Debt),20.99,237.51,272.52,322.07,153.15
39,Net Cash Growth,-92.30%,-26.26%,77.94%,-,-
40,Net Cash Per Share,0.01,0.13,0.15,0.20,0.10
41,Filing Date Shares Outstanding,1806,1807,1810,1810,1539
42,Total Common Shares Outstanding,1806,1807,1810,1810,1539
43,Working Capital,1316,1225,1069,978.1,-
44,Book Value Per Share,0.83,0.80,0.72,0.68,0.31
45,Tangible Book Value,1421,1355,1225,1175,428.01
46,Tangible Book Value Per Share,0.79,0.75,0.68,0.65,0.28
47,Machinery,-,13.59,-,4.2,-
