,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,448.01,645.77,598.96,593.03,473.12
1,Revenue Growth (YoY),-25.20%,8.89%,26.60%,-,-
2,Cost of Revenue,322.77,421.11,402.9,366.77,325.39
3,Gross Profit,125.24,224.66,196.06,226.26,147.73
4,"Selling, General & Admin",36.43,43.48,25.41,31.05,15.75
5,Research & Development,14.35,22.96,28.22,31.76,16.7
6,Operating Expenses,50.16,77,73.24,64.1,35.21
7,Operating Income,75.08,147.66,122.82,162.16,112.53
8,Interest Expense,-2.57,-2.78,-2.1,-1.91,-1.35
9,Interest & Investment Income,0.05,-,2.56,0.6,0.11
10,Currency Exchange Gain (Loss),0.61,0.61,-1.05,-4.64,0.11
11,Other Non Operating Income (Expenses),1.25,3.61,0.36,-15.67,-4.8
12,Pretax Income,74.44,149.09,122.58,140.54,106.6
13,Income Tax Expense,10.96,1.48,6.26,-13.81,24.36
14,Earnings From Continuing Operations,63.47,147.62,116.32,154.36,82.24
15,Minority Interest in Earnings,-,-,0,0.01,0.15
16,Net Income,63.47,147.62,116.32,154.37,82.38
17,Net Income to Common,63.47,147.62,116.32,154.37,82.38
18,Net Income Growth,-45.43%,-4.37%,41.20%,-,-
19,Shares Outstanding (Basic),1807,1810,1810,1650,1539
20,Shares Outstanding (Diluted),1807,1810,1810,1650,1539
21,Shares Change (YoY),-0.15%,9.67%,17.65%,-,-
22,EPS (Basic),0.04,0.08,0.06,0.09,0.05
23,EPS (Diluted),0.04,0.08,0.06,0.09,0.05
24,EPS Growth,-45.35%,-12.36%,20.02%,-,-
25,Free Cash Flow,-218.78,-8.91,-52.9,-93.98,-62.8
26,Free Cash Flow Per Share,-0.12,-0.00,-0.03,-0.06,-0.04
27,Operating Margin,16.76%,22.87%,20.51%,27.34%,23.78%
28,Profit Margin,14.17%,22.86%,19.42%,26.03%,17.41%
29,Free Cash Flow Margin,-48.83%,-1.38%,-8.83%,-15.85%,-13.27%
30,EBITDA,92.88,156.55,136.21,170.34,121.31
31,D&A For EBITDA,17.79,8.89,13.4,8.18,8.78
32,EBIT,75.08,147.66,122.82,162.16,112.53
