,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,699.03,637.63,947.78,986.46,1063,1137,20.71,147.1,-
1,Short-Term Investments,228.18,241.58,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,927.21,879.21,947.78,986.46,1063,1137,20.71,147.1,-
3,Cash Growth,-2.17%,-10.87%,-10.81%,-13.25%,5031.95%,673.08%,-,-,-
4,Accounts Receivable,192.53,151.42,116.51,131.91,64.84,44.21,41.35,29.52,-
5,Other Receivables,8.45,8.16,4.96,4.3,1.57,5.66,-,5.75,-
6,Receivables,200.98,159.57,121.47,136.21,66.41,49.87,41.35,35.27,-
7,Inventory,167.15,166.89,153.12,133.57,68.44,41.55,30.91,28.54,-
8,Prepaid Expenses,-,-,-,-,1.52,1.97,-,0.02,-
9,Other Current Assets,8.8,5.45,6.74,0.2,30.03,12.95,19,7.31,-
10,Total Current Assets,1304,1211,1229,1256,1229,1244,111.96,218.24,-
11,"Property, Plant & Equipment",327.25,339.34,318.26,114.13,73.73,50.23,46.36,42.6,-
12,Long-Term Investments,35.35,31.21,34.43,22.81,-,-,-,-,-
13,Goodwill,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,-
14,Other Intangible Assets,16.95,4.4,4.63,5.1,3.37,3,2.14,2,-
15,Long-Term Deferred Tax Assets,-,-,-,-,-,0.27,5.08,4.93,-
16,Other Long-Term Assets,23.93,23.84,16.95,10.92,11.82,9.19,7.51,4.02,-
17,Total Assets,1709,1611,1605,1411,1319,1307,174.2,272.94,-
18,Accounts Payable,30.04,33.37,20.03,42.46,17.23,7.14,45.1,3.19,-
19,Accrued Expenses,57.3,33.89,32.76,27.86,33.71,50.37,-,21.79,-
20,Short-Term Debt,54.97,10,-,-,-,6,142.74,20,-
21,Current Portion of Leases,23.7,25.94,26.25,12.26,7.81,6.81,6.51,5.68,-
22,Current Income Taxes Payable,-,-,-,-,-,5.13,6.8,6.51,-
23,Current Unearned Revenue,18.9,3.87,4.73,12.32,7.17,8.02,10.72,8.43,-
24,Other Current Liabilities,5.82,9.17,4.32,3.77,3.99,4.65,1.51,338.51,-
25,Total Current Liabilities,190.73,116.25,88.09,98.68,69.9,88.11,213.39,404.12,-
26,Long-Term Debt,-,-,-,-,-,-,237.56,133.76,-
27,Long-Term Leases,181,198.06,210.95,35.52,23.59,11.77,13.91,15.74,-
28,Long-Term Deferred Tax Liabilities,0.21,0.23,0.24,0.26,0.28,0.3,0.31,0.33,-
29,Total Liabilities,371.93,314.53,299.28,134.46,93.77,100.17,465.18,553.95,-
30,Common Stock,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,-
31,Additional Paid-In Capital,1370,1370,-,1370,1370,1370,-,-,-
32,Retained Earnings,-141.75,-181.71,-,-196.19,-235.24,-266.34,-199.79,-187.26,-
33,Comprehensive Income & Other,108.51,108.14,1305,102.18,90.45,103.43,-91.2,-93.77,-
34,Shareholders' Equity,1337,1297,1305,1276,1225,1207,-290.98,-281.01,-
35,Total Liabilities & Equity,1709,1611,1605,1411,1319,1307,174.2,272.94,-
36,Total Debt,259.67,234,237.2,47.78,31.4,24.57,400.73,175.18,-
37,Net Cash (Debt),667.55,645.21,710.58,938.67,1031,1113,-380.02,-28.08,-
38,Net Cash Growth,-6.06%,-31.26%,-31.09%,-15.63%,-,-,-,-,-
39,Net Cash Per Share,2.22,2.14,2.36,3.13,3.42,4.01,-1.74,-0.14,-
40,Filing Date Shares Outstanding,313.39,313.39,313.39,313.39,313.39,313.39,231.08,213.6,164.61
41,Total Common Shares Outstanding,313.39,313.39,313.39,313.39,313.39,313.39,231.08,213.6,164.61
42,Working Capital,1113,1095,1141,1158,1159,1155,-101.43,-185.88,-
43,Book Value Per Share,4.27,4.14,4.16,4.07,3.91,3.85,-1.26,-1.32,-
44,Tangible Book Value,1319,1291,1299,1270,1221,1203,-294.27,-284.16,-
45,Tangible Book Value Per Share,4.21,4.12,4.15,4.05,3.90,3.84,-1.27,-1.33,-
46,Machinery,-,88.57,-,63.49,-,36.14,-,28.17,-
47,Leasehold Improvements,-,89.57,-,44.02,-,26.53,-,18.8,-
