,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,2470,2498,3535,4005,5384,2654,3617,-,-,-
1,Market Cap Growth,-37.64%,-37.64%,-34.34%,50.89%,48.87%,-,-,-,-,-
2,Enterprise Value,1752,1787,2767,2944,4176,1289,4074,-,-,-
3,Last Close Price,7.88,7.97,11.28,12.78,17.18,8.47,11.54,-,-,-
4,PE Ratio,68.88,72.47,-,60.35,67.90,-63.93,-,-,-,-
5,Forward PE,28.22,26.49,26.85,26.43,49.02,29.06,22.25,-,-,-
6,PS Ratio,4.22,4.44,6.77,8.00,12.04,6.69,9.70,-,-,-
7,PB Ratio,1.72,1.74,2.47,2.84,3.73,1.85,2.44,-,-,-
8,P/TBV Ratio,1.76,1.76,2.49,2.85,3.75,1.86,2.45,-,-,-
9,P/FCF Ratio,-,-42.34,-,-,-,-,-,-,-,-
10,P/OCF Ratio,85.03,85.03,-,-167.49,-,-,-,-,-,-
11,PEG Ratio,0.38,0.38,0.38,0.45,-,-,-,-,-,-
12,EV/Sales Ratio,3.12,3.18,5.30,5.88,9.34,3.25,10.92,-,-,-
13,EV/EBITDA Ratio,24.16,47.51,-,159.26,-,62.84,233.56,-,-,-
14,EV/EBIT Ratio,90.61,93.91,-,659.69,-,106.55,387.15,-,-,-
15,EV/FCF Ratio,-29.70,-30.29,-,-,-,-,-,-,-,-
16,Debt / Equity Ratio,0.19,0.19,0.18,0.18,0.04,0.03,0.02,-1.38,-0.62,-
17,Debt / FCF Ratio,-,-4.73,-,-,-,-,-,-14.17,-,-
18,Return on Capital Employed (ROCE),1.17%,1.17%,-,0.27%,-,0.83%,0.70%,-,-,-
19,Earnings Yield,1.40%,1.38%,0.45%,1.66%,1.47%,-1.56%,-2.68%,-,-,-
20,FCF Yield,-2.39%,-2.36%,-2.88%,-1.99%,-2.36%,-4.18%,-1.05%,-,-,-
21,Buyback Yield / Dilution,-0.36%,-0.12%,-0.61%,0.07%,-7.91%,-37.71%,-33.42%,-32.83%,-,-
22,Total Shareholder Return,-0.36%,-0.12%,-0.61%,0.07%,-7.91%,-37.71%,-33.42%,-32.83%,-,-
