,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,292.34,230.79,243.06,220.22,175.32,163.62,140.2,125.91,68.07
1,Revenue Growth (YoY),20.27%,4.80%,38.64%,34.60%,25.06%,29.95%,105.97%,-,-
2,Cost of Revenue,75.13,48.49,47.95,28.64,30.55,21.36,16.52,18.71,11.49
3,Gross Profit,217.21,182.3,195.12,191.58,144.77,142.26,123.68,107.2,56.58
4,"Selling, General & Admin",83.79,97.55,83.77,102.23,58.28,61.36,55.54,80.75,23.95
5,Research & Development,100.46,100.19,89.88,106.73,77.07,79.91,61.38,69.14,14.34
6,Operating Expenses,184.24,197.56,173.65,208.92,135.49,141.22,116.15,150.74,38.58
7,Operating Income,32.97,-15.26,21.47,-17.34,9.28,1.05,7.53,-43.54,18.01
8,Interest Expense,-5.47,-5.6,-4.23,-0.89,-0.53,-1.55,-2.28,-0.97,-0.46
9,Interest & Investment Income,15.55,10.04,8.47,13.2,7.06,4.7,0.03,0.02,0.02
10,Earnings From Equity Investments,0.25,0.04,-0.64,-,-,-,-,-,-
11,Currency Exchange Gain (Loss),0.29,-5.62,-8.09,37.82,15.15,-10.61,1.83,-0.05,0.19
12,Other Non Operating Income (Expenses),0.32,11.6,5.14,6.43,0.33,20.41,-13.72,4.43,0.18
13,EBT Excluding Unusual Items,43.92,-4.8,22.12,39.23,31.29,13.99,-6.61,-40.1,17.94
14,Gain (Loss) on Sale of Investments,2.48,-2.95,0.18,-0.19,-,-33.42,0.02,0.78,0.25
15,Gain (Loss) on Sale of Assets,-6.45,-0.15,0.06,-0.01,-,-0.09,-0,-0.01,0.01
16,Other Unusual Items,-,-,-,-,-,-41.13,-,-10.32,-
17,Pretax Income,39.94,-7.9,22.35,39.03,31.29,-60.65,-6.59,-49.64,18.2
18,Income Tax Expense,-0.02,-0.02,-0.02,-0.02,0.19,5.89,5.95,11.91,0.94
19,Earnings From Continuing Operations,39.96,-7.88,22.37,39.05,31.1,-66.54,-12.54,-61.55,17.26
20,Minority Interest in Earnings,-,-,-,-,-,-,-,0.4,0.05
21,Net Income,39.96,-7.88,22.37,39.05,31.1,-66.54,-12.54,-61.15,17.31
22,Net Income to Common,39.96,-7.88,22.37,39.05,31.1,-66.54,-12.54,-61.15,17.31
23,Net Income Growth,78.63%,-,-28.06%,-,-,-,-,-,-
24,Shares Outstanding (Basic),301,301,301,299,300,277,219,208,165
25,Shares Outstanding (Diluted),301,301,301,299,301,277,219,208,165
26,Shares Change (YoY),0.12%,0.61%,-0.07%,7.91%,37.71%,33.42%,32.83%,-,-
27,EPS (Basic),0.13,-0.03,0.07,0.13,0.10,-0.24,-0.06,-0.29,0.11
28,EPS (Diluted),0.13,-0.03,0.07,0.13,0.10,-0.24,-0.06,-0.30,0.11
29,EPS Growth,85.72%,-,-30.00%,-,-,-,-,-,-
30,Free Cash Flow,21.76,-76.67,-15.82,-58.12,-54.04,-40.58,9.75,-38.02,10.75
31,Free Cash Flow Per Share,0.07,-0.25,-0.05,-0.19,-0.18,-0.15,0.04,-0.18,0.07
32,Operating Margin,11.28%,-6.61%,8.83%,-7.87%,5.29%,0.64%,5.37%,-34.58%,26.45%
33,Profit Margin,13.67%,-3.42%,9.20%,17.73%,17.74%,-40.67%,-8.94%,-48.57%,25.43%
34,Free Cash Flow Margin,7.44%,-33.22%,-6.51%,-26.39%,-30.82%,-24.80%,6.95%,-30.19%,15.79%
35,EBITDA,42.49,-7.49,29,-11.89,13.44,4.07,10.14,-43.54,19.03
36,D&A For EBITDA,9.53,7.77,7.53,5.45,4.16,3.03,2.61,-0.01,1.03
37,EBIT,32.97,-15.26,21.47,-17.34,9.28,1.05,7.53,-43.54,18.01
