,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q4 2014,Q4 2013
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Dec '14 Dec 31, 2014","Dec '13 Dec 31, 2013"
0,Market Capitalization,104400,102000,94800,71081,71081
1,Enterprise Value,216191,188035,26349,94264,-
2,Last Close Price,8700.00,8500.00,7900.00,6192.69,5379.42
3,PE Ratio,29.90,7.18,6.75,6.49,8.70
4,PS Ratio,0.21,0.15,0.21,0.22,0.39
5,PB Ratio,0.42,0.41,0.38,0.29,0.28
6,P/TBV Ratio,0.41,0.41,0.38,0.29,0.28
7,EV/Sales Ratio,0.43,0.27,0.06,0.29,-
8,EV/EBITDA Ratio,10.24,10.67,2.02,22.25,-
9,EV/EBIT Ratio,11.67,7.17,1.18,6.66,-
10,Debt / Equity Ratio,0.57,0.57,0.41,0.03,0.30
11,Debt / EBITDA Ratio,6.74,7.73,2.90,0.44,-
12,Quick Ratio,0.81,0.51,0.94,0.59,0.40
13,Current Ratio,1.37,1.37,1.36,1.41,1.53
14,Return on Capital Employed (ROCE),7.37%,10.43%,8.98%,4.95%,4.31%
15,Earnings Yield,3.35%,13.93%,14.81%,15.41%,11.49%
