,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,84.79,80.03,88.17,109.07,83.18,139.12,154.79,155.16,120.84,88.25
1,Revenue Growth (YoY),-3.83%,-26.63%,6.00%,-21.59%,-46.26%,-10.34%,28.09%,75.83%,26.33%,70.01%
2,Cost of Revenue,78.94,69.32,78.23,97.38,74.01,114.17,126,126.18,98.23,73.27
3,Gross Profit,5.85,10.71,9.95,11.7,9.18,24.95,28.8,28.98,22.62,14.98
4,"Selling, General & Admin",4.4,4.31,4.3,4.02,4.46,3.78,4.79,3.3,4.89,3.29
5,Operating Expenses,4.54,4.35,4.64,4.26,4.6,3.92,4.93,3.5,5.17,3.01
6,Operating Income,1.31,6.37,5.31,7.44,4.58,21.03,23.87,25.48,17.44,11.97
7,Interest Expense,-0.03,-0.04,-0.04,-0.05,-0,-0.01,-0.01,-0.01,-0.01,-0.02
8,Interest & Investment Income,0.81,1.95,2.39,0.86,0.06,0.04,0.05,0.19,0.26,0.04
9,Other Non Operating Income (Expenses),-,-,-,-,-,-6.15,-5.65,-1.44,0,8.54
10,EBT Excluding Unusual Items,2.1,8.28,7.66,8.25,4.64,14.91,18.26,24.22,17.7,20.53
11,Gain (Loss) on Sale of Assets,-0,-,0.01,0,-0,0,0.11,-0.01,-,0.18
12,Other Unusual Items,-,-,-,1.19,2.2,0.25,1.32,4.25,0.08,-16.77
13,Pretax Income,2.09,8.28,7.67,9.44,6.84,15.56,19.69,28.47,17.78,3.94
14,Income Tax Expense,0.42,0.77,1.23,1.04,0.77,3.55,3.91,3.82,3.07,2.07
15,Net Income,1.67,7.51,6.44,8.4,6.07,12.02,15.79,24.64,14.71,1.87
16,Net Income to Common,1.67,7.51,6.44,8.4,6.07,12.02,15.79,24.64,14.71,1.87
17,Net Income Growth,-74.03%,-10.66%,5.98%,-30.07%,-61.53%,-51.24%,7.34%,1215.05%,194.59%,-75.68%
18,Shares Outstanding (Basic),400,400,400,400,400,400,400,400,400,311
19,Shares Outstanding (Diluted),400,400,400,400,400,400,400,400,400,311
20,Shares Change (YoY),-,-,-,-,-,-,-,28.63%,33.33%,3.65%
21,EPS (Basic),0.00,0.02,0.02,0.02,0.02,0.03,0.04,0.06,0.04,0.01
22,EPS (Diluted),0.00,0.02,0.02,0.02,0.02,0.03,0.04,0.06,0.04,0.01
23,EPS Growth,-74.03%,-10.66%,5.97%,-30.07%,-61.53%,-51.24%,7.34%,922.40%,120.94%,-76.54%
24,Free Cash Flow,6.62,1.2,2.54,26.29,1.77,23.41,12.45,25.38,-8.6,5.27
25,Free Cash Flow Per Share,0.02,0.00,0.01,0.07,0.00,0.06,0.03,0.06,-0.02,0.02
26,Dividend Per Share,-,-,0.025,-,-,-,-,-,-,-
27,Operating Margin,1.55%,7.96%,6.02%,6.82%,5.51%,15.11%,15.42%,16.42%,14.43%,13.56%
28,Profit Margin,1.97%,9.38%,7.30%,7.70%,7.30%,8.64%,10.20%,15.88%,12.17%,2.12%
29,Free Cash Flow Margin,7.80%,1.50%,2.88%,24.10%,2.13%,16.83%,8.04%,16.36%,-7.12%,5.97%
30,EBITDA,2.88,7.8,6.76,8.9,5.45,21.83,24.66,26.19,17.97,12.29
31,D&A For EBITDA,1.57,1.43,1.45,1.47,0.87,0.8,0.8,0.71,0.53,0.32
32,EBIT,1.31,6.37,5.31,7.44,4.58,21.03,23.87,25.48,17.44,11.97
