,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,51.52,114.56,121.58,147.37,121.12,119.42,96.1,83.53,58.11,66.7
1,Short-Term Investments,-,-,-,-,1.33,-,0.94,-,-,1.09
2,Cash & Short-Term Investments,51.52,114.56,121.58,147.37,122.45,119.42,97.04,83.53,58.11,67.79
3,Cash Growth,-57.63%,-22.27%,-0.71%,23.41%,26.18%,42.96%,67.01%,23.22%,-,-
4,Accounts Receivable,35.46,40.11,56.17,41.69,48.92,59.83,59.05,69.21,43.04,31.77
5,Other Receivables,0.16,0.58,0.33,0.4,-,0.02,-,-,0,-
6,Receivables,35.63,40.69,56.5,42.09,48.92,59.85,59.05,69.21,43.04,31.77
7,Prepaid Expenses,4.4,3.87,4.67,6.34,5.44,3.11,3.24,1.94,4.7,1.99
8,Other Current Assets,2.38,1.09,1.31,1.18,-,0.84,-,1.66,4.47,3.1
9,Total Current Assets,93.92,160.2,184.06,196.98,176.8,183.22,159.33,156.34,110.31,104.64
10,"Property, Plant & Equipment",9.39,6.86,8.18,9.97,5.71,3.86,4.26,4.95,3.96,2.69
11,Other Long-Term Assets,-,-,-,-,-,-,-,-,1.16,0.72
12,Total Assets,103.31,167.06,192.24,206.95,182.51,187.08,163.59,161.28,115.43,108.06
13,Accounts Payable,19.7,20.07,40.53,31.97,18.09,26.48,11.41,28.32,8.12,12.29
14,Accrued Expenses,0.4,0.83,0.6,1.08,1.34,1.01,2.7,2.3,0.88,2.25
15,Current Portion of Leases,0.84,0.47,0.24,0.57,0.05,0.18,0.27,0.26,0.08,0.33
16,Current Income Taxes Payable,0.92,0.92,2.5,1.38,1.85,1.04,6.14,2.16,3.7,5.42
17,Current Unearned Revenue,-,-,-,-,-,-,-,0.74,-,-
18,Other Current Liabilities,4.93,0.73,0.73,0.73,-,3.21,-,-,-,-
19,Total Current Liabilities,26.79,23.02,44.6,35.74,21.32,31.92,20.51,33.78,12.78,20.29
20,Long-Term Leases,0.69,0.3,1,1.12,-,-,0.05,0.18,-,-
21,Long-Term Deferred Tax Liabilities,1.08,0.66,1.08,0.96,0.45,0.5,0.39,0.46,0.43,0.26
22,Total Liabilities,28.56,23.98,46.67,37.82,21.78,32.42,20.95,34.42,13.21,20.55
23,Common Stock,4,4,4,4,4,4,4,4,4,4
24,Additional Paid-In Capital,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08,50.08
25,Retained Earnings,20.67,89,91.49,115.05,106.65,100.58,88.56,72.78,48.13,33.43
26,Comprehensive Income & Other,0,0,0,0,0,0,0,0,0,0
27,Shareholders' Equity,74.75,143.08,145.57,169.14,160.74,154.66,142.65,126.86,102.22,87.51
28,Total Liabilities & Equity,103.31,167.06,192.24,206.95,182.51,187.08,163.59,161.28,115.43,108.06
29,Total Debt,1.53,0.77,1.23,1.69,0.05,0.18,0.31,0.44,0.08,0.33
30,Net Cash (Debt),49.99,113.79,120.35,145.68,122.4,119.24,96.73,83.09,58.02,67.46
31,Net Cash Growth,-58.46%,-21.89%,-1.68%,22.18%,26.54%,43.50%,66.71%,23.17%,-,-
32,Net Cash Per Share,0.12,0.28,0.30,0.36,0.31,0.30,0.24,0.21,0.15,0.22
33,Filing Date Shares Outstanding,400,400,400,400,400,400,400,400,400,400
34,Total Common Shares Outstanding,400,400,400,400,400,400,400,400,400,400
35,Working Capital,67.13,137.18,139.46,161.24,155.48,151.3,138.82,122.55,97.53,84.35
36,Book Value Per Share,0.19,0.36,0.36,0.42,0.40,0.39,0.36,0.32,0.26,0.22
37,Tangible Book Value,74.75,143.08,145.57,169.14,160.74,154.66,142.65,126.86,102.22,87.51
38,Tangible Book Value Per Share,0.19,0.36,0.36,0.42,0.40,0.39,0.36,0.32,0.26,0.22
39,Machinery,-,13.46,-,13.53,-,7.85,-,7.5,-,4.18
40,Leasehold Improvements,-,1.06,-,1.01,-,0.07,-,0.07,-,0.1
