,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 10, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1080,952,620,532,544,532,580,536,216,120,166
1,Market Cap Growth,78.95%,78.95%,13.97%,0%,-6.21%,-0.75%,168.52%,346.67%,30.12%,-,-
2,Enterprise Value,1030,838,500,386,422,413,483,452,158,54,157
3,Last Close Price,2.70,2.38,1.47,1.24,1.20,1.17,1.27,1.18,0.47,0.26,0.36
4,PE Ratio,117.67,103.73,44.47,35.85,37.58,29.41,20.86,13.26,5.49,7.24,24.18
5,PS Ratio,6.55,5.78,3.69,2.70,2.83,2.39,1.97,1.73,0.78,0.57,0.90
6,PB Ratio,14.45,12.74,4.33,3.65,3.22,3.31,3.75,3.76,1.70,1.17,1.90
7,P/TBV Ratio,12.74,12.74,4.33,3.65,3.22,3.31,3.75,3.76,1.70,1.17,1.90
8,P/FCF Ratio,138.16,121.79,165.69,18.45,19.39,21.12,16.18,14.17,12.87,-,48.94
9,P/OCF Ratio,81.87,81.87,148.97,16.57,15.93,18.63,15.80,13.86,11.16,-,30.38
10,EV/Sales Ratio,6.25,5.09,2.97,1.96,2.19,1.86,1.64,1.46,0.57,0.26,0.85
11,EV/EBITDA Ratio,90.83,78.46,34.32,24.66,29.38,15.13,10.40,8.89,3.58,1.77,5.47
12,EV/EBIT Ratio,134.10,109.13,42.78,30.30,35.08,16.12,10.76,9.16,3.68,1.82,5.60
13,EV/FCF Ratio,131.77,107.23,133.53,13.40,15.02,16.39,13.48,11.95,9.42,-,46.29
14,Debt / Equity Ratio,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
15,Debt / FCF Ratio,0.20,0.20,0.21,0.04,0.06,0.00,0.01,0.01,0.03,-,0.10
16,Return on Capital Employed (ROCE),10.04%,10.04%,8.11%,8.63%,7.02%,15.89%,28.93%,34.49%,33.67%,28.65%,31.96%
17,Earnings Yield,0.85%,0.96%,2.25%,2.79%,2.66%,3.40%,4.79%,7.54%,18.22%,13.82%,4.14%
18,FCF Yield,0.72%,0.82%,0.60%,5.42%,5.16%,4.73%,6.18%,7.06%,7.77%,-2.78%,2.04%
19,Dividend Yield,0.00%,-,-,2.02%,-,-,-,-,-,-,-
20,Buyback Yield / Dilution,-,-,-,-,-,-,-,-28.63%,-33.33%,-3.65%,
21,Total Shareholder Return,-,-,2.02%,-,-,-,-,-28.63%,-33.33%,-3.65%,
