,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2017,Q1 2017
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Cash & Equivalents,232.24,305.89,341.19,381.51,417.07,518.39,128.82,266.83,-,-,-,35.16,35.16
1,Trading Asset Securities,-,-,-,0.5,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,232.24,305.89,341.19,382.01,417.07,518.39,128.82,266.83,-,-,79.52,35.16,35.16
3,Cash Growth,-44.32%,-40.99%,164.87%,43.17%,-,-,61.99%,658.98%,-,-,-,-,-
4,Accounts Receivable,376.47,338.5,308.32,310.2,323.17,300.69,331.51,280.44,-,-,-,163.24,163.24
5,Other Receivables,26.81,772.41,20.5,19.13,18.87,20.7,22.67,27.56,-,-,-,7.69,7.69
6,Receivables,403.28,1111,328.82,329.32,342.04,321.39,354.18,308,-,-,-,170.93,170.93
7,Inventory,43.55,38.9,42.8,44.26,42.3,29.85,28.02,22.2,-,-,-,2.01,2.01
8,Prepaid Expenses,-,0.61,-,0.77,-,53.12,-,1.02,-,-,-,3.13,3.13
9,Other Current Assets,1000,166.26,923.06,798.57,849.87,728.67,651.69,414.02,-,-,-,8.3,8.3
10,Total Current Assets,1679,1623,1636,1555,1651,1651,1163,1012,-,-,-,219.53,219.53
11,"Property, Plant & Equipment",306.19,291.73,264.23,186.42,152.34,152.13,153.4,155.23,-,-,-,199.31,199.31
12,Long-Term Investments,47.84,-,-,-,-,-,-,-,-,-,-,0.06,0.06
13,Goodwill,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,-,-,-,2.99,2.99
14,Other Intangible Assets,16.05,16.53,17.33,14.76,15.1,16.12,17.13,18.19,-,-,-,22.01,22.01
15,Long-Term Deferred Tax Assets,8.27,6.84,7.09,5.65,6.04,5.3,5.08,4.12,-,-,-,1.48,1.48
16,Long-Term Deferred Charges,11.13,10.86,11.65,12.49,14.05,15.59,17.45,19.37,-,-,-,0.68,0.68
17,Other Long-Term Assets,21.5,21.11,18.64,48.71,-,-,-,4.05,-,-,-,9.63,9.63
