,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2017,Q1 2017
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Operating Revenue,315.32,319.96,291.11,300.87,260.91,256.76,247.74,239.04,238.07,226.41,208.78,127.33,127.33
1,Other Revenue,-0.55,0.55,-,1.52,-0.72,0.72,-,2.72,-1.35,1.35,-,2.16,2.16
2,Revenue,314.77,320.51,291.11,302.39,260.2,257.48,247.74,241.75,236.72,227.76,208.78,129.49,129.49
3,Revenue Growth (YoY),20.97%,24.48%,17.51%,25.08%,9.92%,13.05%,18.66%,86.70%,82.81%,-,-,-,-
4,Cost of Revenue,235.21,249.62,223.85,242.57,198.14,191.9,183.17,181.55,189.4,172.71,157.94,90.15,90.15
5,Gross Profit,79.56,70.89,67.26,59.82,62.05,65.58,64.57,60.21,47.32,55.05,50.84,39.33,39.33
6,"Selling, General & Admin",37.69,36.96,34.38,34.2,29.43,30.22,30.13,25.72,21.46,21.53,23.65,22.81,22.81
7,Research & Development,9.99,8.05,11.45,8.16,11.16,8.52,8.99,8.53,9.18,8.92,9.44,-,-
8,Other Operating Expenses,2.65,11.67,-9.24,-10.93,-3.21,-4.61,-4,16.1,-5.55,-3.42,-1.77,0.55,0.55
9,Operating Expenses,64.15,47.91,43.21,23.21,47.07,28.36,40.89,48.54,25.82,22.3,34.19,23.35,23.35
10,Operating Income,15.41,22.98,24.05,36.62,14.99,37.21,23.69,11.67,21.5,32.75,16.65,15.98,15.98
11,Interest Expense,-4.29,-3.37,-3.52,-2.76,-3.49,-4.15,-4.02,-4.34,-4.33,-5.23,-4.41,-2.56,-2.56
12,Interest & Investment Income,1.54,0.61,0.58,0.99,0.57,0.64,0.14,0.12,0.08,0.07,0.05,0.04,0.04
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-0.01,-0.01
14,Other Non Operating Income (Expenses),7.22,-7.94,-0.65,-7.85,6.45,-7.19,-1.17,-1.19,0.71,-1.67,-0.34,-0.03,-0.03
15,EBT Excluding Unusual Items,19.89,12.27,20.45,27,18.52,26.52,18.64,6.26,17.97,25.91,11.95,13.42,13.42
16,Gain (Loss) on Sale of Investments,-0.99,-1.57,0.01,-0.94,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0,-0.16,-0.03,-,0,-,-,-,-,0.09,-0.01,-0.22,-0.22
18,Asset Writedown,0.03,-0.03,-0,0.36,-0.2,-0.12,-0.05,-0.51,0.01,-0.6,-,-1.32,-1.32
19,Other Unusual Items,6.51,13.44,-0.02,-3.09,-0.05,0.05,-,23.21,0.06,-0.06,-,2.97,2.97
20,Pretax Income,25.44,23.95,20.4,23.33,18.28,26.44,18.59,28.96,18.05,25.34,11.94,14.85,14.85
21,Income Tax Expense,2.09,2.64,0.57,2.78,1.15,2.42,0.94,2.39,1.35,0.41,1.19,2.18,2.18
22,Earnings From Continuing Operations,23.35,21.31,19.83,20.56,17.13,24.03,17.64,26.57,16.7,24.93,10.75,12.67,12.67
23,Minority Interest in Earnings,0.33,0.4,0.43,1.11,0.17,0.22,0.13,-,-0.63,-,-0.09,-,-
24,Net Income,23.68,21.71,20.26,21.67,17.3,24.24,17.78,26.57,16.07,24.93,10.66,12.67,12.67
25,Net Income to Common,23.68,21.71,20.26,21.67,17.3,24.24,17.78,26.57,16.07,24.93,10.66,12.67,12.67
26,Net Income Growth,36.90%,-10.46%,13.97%,-18.45%,7.65%,-2.75%,66.75%,109.60%,26.77%,-,-,-,-
27,Shares Outstanding (Basic),99,99,96,98,99,82,74,74,73,72,76,67,67
28,Shares Outstanding (Diluted),101,99,96,98,99,82,74,74,73,72,76,67,67
29,Shares Change (YoY),2.26%,21.04%,30.25%,32.64%,34.86%,13.06%,-2.73%,10.62%,9.58%,-,-,-,-
30,EPS (Basic),0.24,0.22,0.21,0.22,0.18,0.30,0.24,0.36,0.22,0.35,0.14,0.19,0.19
31,EPS (Diluted),0.23,0.22,0.21,0.22,0.18,0.30,0.24,0.36,0.22,0.35,0.14,0.19,0.19
32,EPS Growth,33.87%,-26.03%,-12.50%,-38.52%,-20.18%,-13.98%,71.43%,89.48%,15.69%,-,-,-,-
