,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2017,Q1 2017
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Market Capitalization,4965,3330,2832,2940,3813,3934,3513,-,-,-,-,-,-,-
1,Market Cap Growth,-15.35%,-15.35%,-19.38%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5379,3531,2833,2934,3808,3896,3828,-,-,-,-,-,-,-
3,Last Close Price,50.77,33.79,28.62,29.38,38.11,39.31,35.10,-,-,-,-,-,-,-
4,PE Ratio,57.26,38.14,34.99,35.23,47.09,45.80,41.49,-,-,-,-,-,-,-
5,PS Ratio,4.05,2.71,2.41,2.65,3.57,3.91,3.57,-,-,-,-,-,-,-
6,PB Ratio,3.97,2.66,2.28,2.34,3.08,3.23,2.93,-,-,-,-,-,-,-
7,P/TBV Ratio,2.70,2.70,2.32,2.37,3.12,3.28,2.97,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-18.91,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-99.57,-,-22.34,-30.61,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,4.38,2.87,2.41,2.64,3.57,3.87,3.89,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,60.91,32.92,26.29,23.62,30.51,38.67,35.58,-,-,-,-,-,-,-
12,EV/EBIT Ratio,66.57,35.65,28.72,26.00,33.84,44.49,40.69,-,-,-,-,-,-,-
13,EV/FCF Ratio,-28.01,-,-18.92,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.52,0.52,0.41,0.27,0.23,0.34,0.40,0.73,0.75,-,-,0.55,0.47,0.47
15,Debt / EBITDA Ratio,7.31,9.05,5.22,3.25,1.83,5.61,2.94,4.11,6.81,-,-,3.47,1.31,1.31
16,Debt / FCF Ratio,-,-,-3.38,-,-,-,-,-,5.39,-,-,-,-,-
17,Asset Turnover,0.62,0.65,0.62,0.66,0.57,0.64,0.77,-,-,-,-,1.14,-,
18,Inventory Turnover,22.16,22.82,24.44,20.57,22.42,21.97,26.53,29.18,-,-,-,-,179.16,-
19,Quick Ratio,0.93,0.93,2.31,1.16,1.28,1.25,1.43,0.90,1.39,-,-,-,0.98,0.98
20,Current Ratio,2.46,2.46,2.64,2.83,2.80,2.71,2.82,2.16,2.45,-,-,-,1.05,1.05
21,Return on Equity (ROE),7.49%,6.82%,6.36%,6.70%,5.67%,10.62%,11.71%,-,-,-,-,24.44%,-,
22,Return on Assets (ROA),1.90%,2.93%,3.18%,5.00%,2.03%,5.82%,4.61%,-,-,-,-,8.77%,-,
23,Return on Capital (ROIC),2.11%,3.43%,3.85%,5.81%,2.27%,6.81%,5.66%,-,-,-,-,13.15%,-,
24,Return on Capital Employed (ROCE),5.74%,7.04%,7.27%,8.18%,8.86%,7.12%,7.49%,10.95%,10.31%,-,-,-,13.00%,6.50%
25,Earnings Yield,1.76%,2.62%,2.86%,2.84%,2.12%,2.18%,2.41%,-,-,-,-,-,-,-
26,FCF Yield,-3.87%,-5.77%,-5.29%,-7.90%,-6.38%,-3.50%,-3.33%,-,-,-,-,-,-,-
27,Dividend Yield,0.40%,-,1.40%,-,0.79%,-,-,-,-,-,-,-,-,-
28,Payout Ratio,58.06%,14.59%,180.68%,35.32%,4.00%,13.04%,-,148.80%,11.11%,16.57%,34.67%,61.03%,21.23%,21.23%
29,Buyback Yield / Dilution,-20.09%,-2.26%,-21.04%,-30.25%,-32.64%,-34.86%,-13.06%,2.73%,-10.62%,-9.58%,-,-,-,-
30,Total Shareholder Return,-19.69%,-2.26%,-19.64%,-30.25%,-31.86%,-34.86%,-13.06%,2.73%,-10.62%,-9.58%,-,-,-,-
