,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,474,444,1034,2735,1894,5506,8451,8100,390,423,654
1,Market Cap Growth,-83.77%,-83.77%,-45.39%,-50.34%,-77.59%,-32.02%,2066.96%,1814.89%,-40.37%,-7.24%,50.34%
2,Enterprise Value,1106,1158,1750,3355,2491,5686,8461,7918,283,315,518
3,Last Close Price,0.94,1.14,3.28,8.85,6.13,17.82,27.35,27.00,1.30,1.41,2.18
4,PE Ratio,-,-,-,-,-,-,-,-,18.96,47.52,22.97
5,PS Ratio,0.49,0.82,1.78,5.27,2.64,6.56,10.59,13.18,0.60,0.68,1.07
6,PB Ratio,1.77,2.00,4.62,15.87,6.81,13.41,17.58,27.29,1.31,1.62,2.48
7,P/TBV Ratio,2.20,2.20,5.54,16.44,6.97,13.44,17.62,27.40,1.32,1.63,2.49
8,P/FCF Ratio,-,-,-,-,-,-,-,-,6.44,17.85,-
9,P/OCF Ratio,-,-,-,-,-,-,-,-,3.51,13.11,-
10,EV/Sales Ratio,1.80,2.13,3.01,6.46,3.47,6.78,10.60,12.88,0.44,0.50,0.85
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,8.81,21.53,13.02
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,11.23,29.83,15.38
13,EV/FCF Ratio,-4.94,-,-,-,-,-,-,-,4.68,13.28,-
14,Debt / Equity Ratio,2.95,2.95,3.40,4.42,2.41,1.75,0.62,0.39,0.13,0.08,0.11
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-,0.64,0.89,-
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,7.52%,3.91%,12.64%
17,Earnings Yield,-44.33%,-47.31%,-22.49%,-7.70%,-9.21%,-2.03%,-0.77%,0.19%,5.28%,2.10%,4.35%
18,FCF Yield,-47.26%,-50.44%,-34.38%,-10.37%,-17.16%,-10.62%,-6.31%,-1.30%,15.54%,5.60%,0.88%
19,Buyback Yield / Dilution,-3.37%,-6.34%,-0.40%,-,-2.11%,-3.00%,-0.87%,-,-,-,-6.49%
20,Total Shareholder Return,-3.37%,-6.34%,-0.40%,-,-2.11%,-3.00%,-0.87%,-,-,-,-6.49%
