,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",+20 Quarters
0,Cash & Equivalents,3820,489.38,489.38,998.52,3839,2523,8564,839.54,2303,-,1201,1973,2936,551.32,250.45,975.72,3194,2544,2617,-,Upgrade
1,Short-Term Investments,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,3870,489.38,489.38,998.52,3839,2523,8564,839.54,2303,-,1201,1973,2936,551.32,250.45,975.72,3194,2544,2617,-,Upgrade
3,Cash Growth,0.81%,-80.61%,-94.29%,18.94%,66.68%,-,612.92%,-57.46%,-21.56%,-,379.66%,102.24%,-8.08%,-78.33%,-90.43%,-,-43.73%,223.65%,-,-,Upgrade
4,Accounts Receivable,221958,225657,225657,237886,241379,240131,228268,238784,251617,-,239162,240498,219271,233974,239713,245956,246191,255250,256194,-,Upgrade
5,Other Receivables,617.41,110,110,1717,6309,904.92,1225,6848,17757,-,9397,3089,945.03,925.94,9285,9803,9335,11779,8721,-,Upgrade
6,Receivables,222576,225767,225767,239603,247689,241036,229493,245632,269374,-,248559,243587,220216,234900,248998,255759,255526,267029,264915,-,Upgrade
7,Inventory,85777,79783,79783,114678,130656,125928,165296,130356,123610,-,128526,111473,96459,101754,112481,129543,111466,114478,107758,-,Upgrade
8,Prepaid Expenses,1146,1252,1252,1396,1589,1533,1046,1109,1313,-,834.62,750.59,1100,1368,941.59,458.36,598.14,1330,2243,-,Upgrade
