,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,3056,2545,1968,1837,1640,1440,1412,1933,2858,3775,3712,3526,3644,2666,2076,1827,1375,1450,774.1
1,Other Revenue,-0.32,0.32,-,0.63,-0.51,0.51,-,1.1,-0.34,0.34,-,1.11,-1.03,1.03,-,0.83,-0.79,0.79,-
2,Revenue,3056,2545,1968,1838,1640,1440,1412,1934,2858,3775,3712,3527,3643,2667,2076,1828,1375,1451,774.1
3,Revenue Growth (YoY),86.36%,76.68%,39.35%,-4.97%,-42.62%,-61.85%,-61.95%,-45.16%,-21.56%,41.55%,78.78%,92.94%,165.01%,83.80%,168.18%,-,-,-,-
4,Cost of Revenue,2887,2373,1838,1697,1517,1362,1294,1834,2730,3516,3382,3296,3047,2323,1866,1712,1260,1266,742.47
5,Gross Profit,169.34,172.39,129.59,140.55,122.65,78.82,118.56,99.96,127.32,259.69,329.95,230.68,595.84,344.18,210.38,116.09,114.85,185.34,31.63
6,"Selling, General & Admin",129.24,94.43,97.29,89.04,94.9,88.92,98.75,111.05,115.22,132.67,114.5,53.82,172.04,136.44,89.72,62.28,53.75,95.71,-
7,Research & Development,0.63,0.67,0.6,0.73,0.31,0.18,0.17,0.22,1.12,0.35,0.67,0.37,0.51,0.45,0.64,4.45,0.4,0.95,-
8,Other Operating Expenses,-0.38,-13.23,-10.04,50.16,-6.51,-36.25,-7.41,-16.6,-14.81,-10.88,-4.33,17.57,-16.63,-1.89,-0.73,-8.85,-14.43,-20.63,-
9,Operating Expenses,132.66,101.39,93.47,162.25,77.74,59.57,69.57,49.72,110.2,109.02,136.69,46.09,195.47,145.8,104.11,69.89,45.36,73.39,-
10,Operating Income,36.68,71,36.12,-21.69,44.91,19.25,48.99,50.24,17.12,150.66,193.27,184.59,400.38,198.39,106.27,46.21,69.49,111.95,31.63
11,Interest Expense,-8.28,-5.13,-10.68,-9.45,-8.43,-8.35,-7.85,-7.47,-6.54,-3.61,-1.83,-3.66,-,-2.03,-1.77,-0.81,-0.83,-1.43,-
12,Interest & Investment Income,3.47,7.43,8.69,11.84,10.59,9.7,10.41,8.38,6.32,10.62,7.1,5.97,7.04,4.61,2.51,0.61,0.79,1.2,-
13,Currency Exchange Gain (Loss),-0.89,0.89,-,3.79,-17.07,17.07,-,83.65,-45.54,45.54,-,-7.29,-2.23,2.23,-,-5.9,-2.32,2.32,-
14,Other Non Operating Income (Expenses),-14.64,-11.53,3,2.03,-6.66,19.13,-5.52,-141.87,139.47,-15.54,-5.4,-21.24,7.53,-5.94,6.16,-8.79,-0.41,2.09,0.94
15,EBT Excluding Unusual Items,16.34,62.66,37.14,-13.49,23.34,56.81,46.03,-7.07,110.82,187.68,193.13,158.37,412.72,197.26,113.17,31.33,66.71,116.14,32.57
16,Impairment of Goodwill,-,-,-,-,-,-,-,-0.7,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,0.04,-0.02,0.05,0.22,5.78,-6.14,-0.08,0.08,-0.02,0.35,0.4,0.77,-,-,-,1.81,2.68,-9.53,-
18,Gain (Loss) on Sale of Assets,0.02,0.01,0.01,0.01,0.23,-0.04,-0.2,-0.01,0.04,0.02,0.01,0.21,0.08,-0.13,0.13,-0.03,0.08,-0.04,-
19,Other Unusual Items,2.36,-2.36,-,92.05,-7.04,7.04,-,48.18,-,-,-,48.87,0.04,-0.04,-,34.72,-0.08,0.08,-
20,Pretax Income,18.76,60.3,37.2,78.78,22.3,57.67,45.76,40.47,110.84,188.05,193.54,208.22,412.83,197.09,113.3,67.83,69.39,106.65,32.57
21,Income Tax Expense,4.78,19.53,6.08,10.65,5.97,16.87,15.06,6.41,28.88,49.04,51.1,49.07,99.44,48.32,27.57,16.65,13.63,30.74,8.02
22,Earnings From Continuing Operations,13.97,40.78,31.11,68.13,16.33,40.81,30.7,34.06,81.96,139.01,142.44,159.15,313.39,148.77,85.73,51.18,55.76,75.92,24.55
23,Minority Interest in Earnings,-3.16,-0.63,-0.01,-0.6,-1.66,-0.68,-0.4,-4.51,-19.52,-33.63,-60.84,-41.11,-116.98,-52,-17.97,4.09,-21.75,-5.27,0.79
24,Net Income,10.82,40.15,31.1,67.52,14.68,40.12,30.3,29.55,62.45,105.37,81.6,118.03,196.41,96.78,67.76,55.27,34.01,70.64,25.35
25,Net Income to Common,10.82,40.15,31.1,67.52,14.68,40.12,30.3,29.55,62.45,105.37,81.6,118.03,196.41,96.78,67.76,55.27,34.01,70.64,25.35
26,Net Income Growth,-26.28%,0.06%,2.65%,128.52%,-76.50%,-61.92%,-62.87%,-74.97%,-68.21%,8.89%,20.43%,113.55%,477.51%,36.99%,167.34%,-,-,-,-
27,Shares Outstanding (Basic),193,200,207,217,194,212,202,207,202,207,204,203,205,172,154,153,155,155,-
28,Shares Outstanding (Diluted),193,200,207,217,194,212,202,207,202,207,204,203,205,172,154,153,155,155,-
29,Shares Change (YoY),-0.12%,-5.87%,2.65%,4.81%,-4.35%,2.57%,-0.99%,1.92%,-1.27%,20.44%,32.47%,32.60%,32.56%,10.98%,-,-,-,-,-
30,EPS (Basic),0.06,0.20,0.15,0.31,0.08,0.19,0.15,0.14,0.31,0.51,0.40,0.58,0.96,0.56,0.44,0.36,0.22,0.46,-
31,EPS (Diluted),0.06,0.20,0.15,0.31,0.08,0.19,0.15,0.14,0.31,0.51,0.40,0.58,0.96,0.56,0.44,0.36,0.22,0.46,-
32,EPS Growth,-26.19%,6.30%,0%,118.03%,-75.43%,-62.88%,-62.50%,-75.44%,-67.80%,-9.59%,-9.09%,61.04%,335.65%,23.44%,-,-,-,-,-
33,Free Cash Flow,66.2,-235.68,-99.21,24.77,-115.7,130.64,176.12,166.61,569.81,-123.99,-175,339.56,19.78,55.28,-61.76,138.93,-19.18,-,-
34,Free Cash Flow Per Share,0.34,-1.18,-0.48,0.11,-0.60,0.62,0.87,0.80,2.82,-0.60,-0.86,1.67,0.10,0.32,-0.40,0.91,-0.12,-,-
35,Dividend Per Share,-,-,-,0.200,-,-,-,0.480,-,-,-,0.800,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-58.33%,-,-,-,-40.00%,-,-,-,-,-,-,-,-,-,-,-
