,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,695.67,824.06,1290,1170,1258,1454,1670,1337,1264,819.25,981.88,1169,802.58,1269,-,526.8,-,-,-
1,Trading Asset Securities,357.02,176.96,82.06,329.3,352.42,416.05,212.79,377.87,424.38,354.28,434.1,414.64,439,16.13,-,9.96,-,-,-
2,Cash & Short-Term Investments,1053,1001,1372,1500,1611,1870,1882,1715,1688,1174,1416,1584,1242,1285,536.75,536.75,-,-,431.94
3,Cash Growth,-34.65%,-46.47%,-27.09%,-12.57%,-4.59%,59.34%,32.94%,8.29%,35.98%,-8.67%,163.80%,195.10%,-,-,24.27%,-,-,-,-
4,Accounts Receivable,1920,1907,1426,1247,1110,965.32,1042,1320,1669,2331,2392,2130,2298,1796,-,1056,-,-,-
5,Other Receivables,156.71,155.56,142.44,120.8,110.15,104.09,99.19,114.21,123.57,145.6,138.62,119.14,127.21,88.14,-,96.45,-,-,-
6,Receivables,2077,2062,1569,1367,1221,1069,1141,1434,1793,2477,2531,2249,2425,1884,-,1153,-,-,-
7,Other Current Assets,149.7,176.43,170.77,171.07,111.99,96.7,101.65,109.27,137.65,134.42,127.41,115.93,153.29,67.58,-,43.08,-,-,-
8,Total Current Assets,3279,3240,3112,3038,2943,3036,3125,3258,3619,3785,4074,3949,3820,3237,-,1733,-,-,-
9,"Property, Plant & Equipment",431.69,455.42,482.48,491.25,477.76,450.41,445.85,460.28,468.65,464.03,258.77,233.11,161.38,148.1,-,55.75,-,-,-
10,Long-Term Investments,68.12,65.3,66.96,64.07,57.95,54.99,54.29,52.76,58.87,60.08,55.03,49.14,47.04,48.43,-,44.24,-,-,-
11,Goodwill,135.37,135.37,135.37,135.37,135.37,135.37,135.37,135.37,136.37,0.7,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,23.82,24.44,25.04,25.63,25.9,25.73,26.35,26.98,27.53,28.15,25.56,25.94,26.34,26.19,-,26.93,-,-,-
13,Long-Term Deferred Tax Assets,36.05,36.93,31.96,30.25,25.24,24.02,27.46,33.47,38.53,39.55,36.18,32.69,34.24,26.35,-,20.89,-,-,-
14,Long-Term Deferred Charges,14.8,14.19,13.36,14.7,13.98,11.7,12.89,12.16,13.21,12.98,11.5,10.23,6.97,4.13,-,4.18,-,-,-
15,Total Assets,3989,3971,3867,3799,3680,3738,3828,3979,4362,4390,4461,4300,4096,3490,-,1885,-,-,-
16,Accounts Payable,1094,1118,912.93,867.96,740.51,696.75,644.64,750.88,946.08,1156,1370,1337,1279,1076,-,722.01,-,-,-
17,Accrued Expenses,110.56,93.4,82.15,84.44,78.92,77.85,108.8,174.2,149.62,164.57,205.61,221.09,249.41,166.8,-,64.91,-,-,-
18,Short-Term Debt,77.35,50.22,95.1,95.1,135.34,190.39,435.49,415.59,255.17,265.18,75.1,75.09,45.09,59.81,-,78.95,-,-,-
19,Current Portion of Long-Term Debt,-,100.29,-,51.7,-,11.06,-,2.63,53.46,2.55,22.76,2.79,23.92,2.38,-,-,-,-,-
20,Current Portion of Leases,-,70.97,-,62.23,-,46.29,-,49.78,-,49.35,-,23.28,-,37.28,-,-,-,-,-
21,Current Income Taxes Payable,17,20.62,8.12,14.35,17.18,12.6,11.52,9.1,48.23,53.81,66.75,71.87,126.23,62.2,-,29.51,-,-,-
