,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2633,2704,2720,2503,3605,3178,3154,3512,3276,3312,3764,4339,5387,3750,4478,-,-,-,-,-
1,Market Cap Growth,-14.93%,-14.93%,-13.77%,-28.72%,10.07%,-4.05%,-16.19%,-19.06%,-39.20%,-11.66%,-15.95%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2174,2466,1990,1611,2713,2129,2016,2661,2425,2893,2865,3455,4504,2750,4118,-,-,-,-,-
3,Last Close Price,13.04,13.39,13.47,12.13,17.47,15.40,14.67,16.33,15.24,15.41,17.51,19.31,23.98,16.69,19.94,-,-,-,-,-
4,PE Ratio,17.82,18.07,17.73,16.32,23.62,27.72,19.42,15.42,11.74,9.01,7.51,8.80,11.25,9.01,17.64,-,-,-,-,-
5,PS Ratio,0.28,0.29,0.34,0.36,0.57,0.49,0.41,0.35,0.27,0.24,0.26,0.32,0.45,0.37,0.56,-,-,-,-,-
6,PB Ratio,1.46,1.46,1.48,1.36,1.99,1.81,1.80,1.92,1.82,1.35,1.59,1.70,2.23,1.66,2.30,-,-,-,-,-
7,P/TBV Ratio,1.64,1.64,1.67,1.53,2.25,2.05,2.05,2.17,2.06,1.62,1.78,2.00,2.58,1.90,2.52,-,-,-,-,-
8,P/FCF Ratio,-,-11.08,-,-,16.70,-,3.02,4.45,7.49,5.43,-,-,15.27,24.63,39.54,-,-,-,-,-
9,P/OCF Ratio,-,-12.47,-,-,15.05,-,2.94,4.25,6.67,4.68,-,-,11.88,18.03,31.31,-,-,-,-,-
10,EV/Sales Ratio,0.23,0.26,0.25,0.23,0.43,0.33,0.26,0.27,0.20,0.21,0.20,0.26,0.38,0.27,0.52,-,-,-,-,-
11,EV/EBITDA Ratio,10.20,17.12,13.11,16.00,-,11.55,13.06,9.40,5.70,5.19,3.05,3.50,5.00,3.61,9.56,-,-,-,-,-
12,EV/EBIT Ratio,17.80,20.20,15.27,20.50,-,13.03,14.87,9.97,5.90,5.30,3.08,3.54,5.06,3.66,9.80,-,-,-,-,-
13,EV/FCF Ratio,-8.91,-10.11,-,-,12.57,-,1.93,3.37,5.54,4.74,-,-,12.76,18.07,36.36,-,-,-,-,-
14,Debt / Equity Ratio,0.30,0.30,0.39,0.32,0.40,0.38,0.44,0.38,0.41,0.24,0.22,0.06,0.06,0.05,0.07,0.10,0.10,-,-,0.06
15,Debt / EBITDA Ratio,2.57,3.25,1.58,3.58,3.54,3.37,3.22,3.22,1.56,7.42,0.73,0.20,0.18,0.06,0.17,0.21,0.46,-,-,0.35
16,Debt / FCF Ratio,-,-2.25,-,-,3.35,-,0.74,0.88,1.69,0.97,-,-,0.44,0.68,1.27,-,0.75,-,-,-
17,Asset Turnover,3.07,2.60,2.05,1.97,1.77,1.52,1.45,1.86,2.61,3.41,3.39,3.36,3.84,-,-,-,-,-,-,
18,Quick Ratio,1.88,1.88,1.87,2.12,2.14,2.27,2.22,2.07,1.94,2.15,2.02,2.15,2.09,2.03,2.11,-,1.81,-,-,-
19,Current Ratio,1.97,1.97,1.98,2.24,2.27,2.36,2.30,2.14,2.00,2.23,2.09,2.22,2.16,2.12,2.16,-,1.86,-,-,-
20,Return on Equity (ROE),3.03%,8.86%,6.81%,15.28%,3.72%,9.11%,6.77%,6.40%,13.60%,22.59%,22.93%,27.29%,59.70%,41.22%,36.41%,-,-,-,-,
21,Return on Assets (ROA),2.30%,4.53%,2.36%,-1.45%,3.03%,1.27%,3.14%,3.01%,0.98%,8.51%,11.03%,10.99%,26.39%,-,-,-,-,-,-,
22,Return on Capital (ROIC),3.70%,7.11%,3.63%,-2.19%,4.54%,1.91%,4.84%,4.50%,1.44%,13.42%,18.28%,18.74%,45.01%,31.78%,25.75%,-,-,-,-,
23,Return on Capital Employed (ROCE),5.25%,5.25%,5.58%,3.17%,-,6.72%,5.61%,11.29%,17.48%,19.91%,35.96%,37.20%,36.02%,32.78%,21.12%,-,27.22%,-,-,-
24,Earnings Yield,5.68%,5.53%,5.64%,6.13%,4.23%,3.61%,5.15%,6.48%,8.52%,11.09%,13.32%,11.36%,8.89%,11.10%,5.67%,-,-,-,-,-
25,FCF Yield,-9.26%,-9.02%,-15.66%,-2.38%,5.99%,11.25%,33.07%,22.46%,13.35%,18.43%,1.60%,5.52%,6.55%,4.06%,2.53%,-,-,-,-,-
26,Dividend Yield,1.56%,-,-,-,1.14%,-,-,-,3.15%,-,-,-,3.34%,-,-,-,-,-,-,-
27,Payout Ratio,40.02%,46.68%,112.18%,15.89%,7.16%,700.09%,13.59%,15.93%,11.85%,5.33%,157.07%,1.23%,0.70%,0.46%,0.94%,1.62%,1.68%,151.31%,-,-
28,Buyback Yield / Dilution,-0.32%,0.12%,5.87%,-2.65%,-4.81%,4.35%,-2.57%,0.99%,-1.92%,1.27%,-20.44%,-32.47%,-32.60%,-32.56%,-10.98%,-,-,-,-,-
29,Total Shareholder Return,1.24%,0.12%,5.87%,-2.65%,-3.67%,4.35%,-2.57%,0.99%,1.23%,1.27%,-20.44%,-32.47%,-29.27%,-32.56%,-10.98%,-,-,-,-,-
