,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2015,Q1 2015
,Period Ending,"Feb '25 Feb 19, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Market Capitalization,5071,4502,2868,4938,4652,5557,5265,-,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-18.99%,-18.99%,-45.53%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4289,3679,2019,4161,3875,4725,5047,-,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,57.62,51.16,32.59,55.70,52.47,62.69,59.39,-,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,81.27,72.42,45.90,86.59,79.83,99.17,86.71,-,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,16.76,14.93,8.99,16.38,14.84,17.62,16.73,-,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,5.02,4.46,2.87,4.85,4.61,5.68,5.44,-,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,4.46,4.46,2.87,4.85,4.61,5.68,5.44,-,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,148.39,-,69.96,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,131.12,-,69.02,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,14.23,12.20,6.33,13.80,12.36,14.98,16.03,-,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,103.01,89.17,51.53,105.45,87.63,84.16,73.82,-,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,125.93,108.00,63.05,128.98,104.57,96.40,82.38,-,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-1468.51,-,-,-,123.61,-,67.06,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00,-,-
15,Debt / EBITDA Ratio,0.01,0.01,0.01,0.02,0.01,0.03,0.01,0.01,0.00,-,0.00,0.00,0.00,0.00,0.01,0.01,-,-
16,Debt / FCF Ratio,-,-,-,-,0.01,-,0.00,-,0.00,-,-,-,0.01,-0.01,-,-,-,-
17,Asset Turnover,0.18,0.25,0.21,0.44,0.25,-,-,-,-,0.62,0.60,0.80,0.86,0.66,-,0.82,-,
18,Inventory Turnover,2.23,1.35,1.89,1.84,3.75,2.06,-,-,-,-,1.74,1.80,2.16,2.19,1.74,-,8.34,-
19,Quick Ratio,9.91,9.91,10.49,9.39,8.51,9.65,7.99,-,2.44,-,2.45,2.45,2.18,2.21,2.00,2.00,3.64,3.64
20,Current Ratio,11.35,11.35,11.81,10.49,9.31,10.97,8.78,-,3.25,-,3.68,3.68,2.97,2.97,2.87,2.87,4.10,4.10
21,Return on Equity (ROE),3.63%,5.25%,3.00%,12.96%,3.87%,4.77%,10.53%,-,-,11.94%,11.88%,29.37%,31.68%,15.25%,-,11.85%,-,
22,Return on Assets (ROA),1.22%,1.68%,0.45%,4.40%,0.77%,-,-,-,-,5.20%,4.98%,14.73%,15.84%,5.84%,-,6.18%,-,
23,Return on Capital (ROIC),1.33%,1.83%,0.50%,4.85%,0.85%,2.92%,5.06%,-,-,6.63%,6.59%,20.17%,21.75%,8.04%,-,7.01%,-,
24,Return on Capital Employed (ROCE),3.38%,3.38%,3.20%,3.17%,3.67%,5.01%,6.32%,-,18.51%,-,21.58%,21.70%,21.61%,14.84%,9.44%,6.23%,5.60%,2.80%
25,Earnings Yield,1.23%,1.38%,2.18%,1.15%,1.25%,1.01%,1.15%,-,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,-0.06%,-0.06%,1.12%,0.92%,0.67%,0.60%,1.43%,-,-,-,-,-,-,-,-,-,-,-
27,Dividend Yield,0.61%,-,-,-,0.67%,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,49.54%,12.43%,224.04%,-,-,-,-,-,-,-,113.48%,113.48%,8.18%,8.18%,118.99%,118.99%,1241.53%,1241.53%
29,Buyback Yield / Dilution,-22.38%,-3.94%,-37.20%,-24.14%,-30.15%,-31.50%,1.47%,-3.23%,-0.93%,-0.06%,0.02%,0.02%,-14.72%,-14.72%,-,-,-,-
30,Total Shareholder Return,-21.77%,-3.94%,-37.20%,-24.14%,-29.48%,-31.50%,1.47%,-3.23%,-0.93%,-0.06%,0.02%,0.02%,-14.72%,-14.72%,-,-,-,-
