,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2015,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Operating Revenue,51.24,68.8,59.6,119.77,68.78,51.33,71.55,122.07,67.9,57.76,57.76,80.38,80.38,57.16,57.16,31.11,31.11
1,Other Revenue,-1.06,1.06,-,2.05,-0.97,0.97,-,1.65,-0.67,0.34,0.34,0.04,0.04,0.13,0.13,0.5,0.5
2,Revenue,50.18,69.86,59.6,121.82,67.8,52.3,71.55,123.72,67.22,58.1,58.1,80.42,80.42,57.29,57.29,31.61,31.61
3,Revenue Growth (YoY),-26.00%,33.56%,-16.71%,-1.54%,0.87%,-9.98%,23.16%,53.85%,-16.41%,1.41%,1.41%,154.41%,154.41%,-,-,-,-
4,Cost of Revenue,30.59,45.01,40.62,77.73,43.98,28.49,49.57,71.35,39.42,36.88,36.88,42.72,42.72,33.37,33.37,14.36,14.36
5,Gross Profit,19.59,24.84,18.97,44.08,23.82,23.82,21.98,52.37,27.8,21.22,21.22,37.7,37.7,23.92,23.92,17.25,17.25
6,"Selling, General & Admin",10.58,11.03,10.32,13.96,15.07,9.79,9.02,12.02,8.32,7.5,7.5,8.83,8.83,10.28,10.28,13.32,13.32
7,Research & Development,5.01,6.01,7.23,8.54,6.12,5.98,5.97,8.03,4.55,5.38,5.38,5.24,5.24,5.11,5.11,-,-
8,Other Operating Expenses,-3.34,1.31,-0.9,0.96,-1.17,-0.02,-0.85,0.78,-0.36,-0.14,-0.14,0.17,0.17,-0.08,-0.08,0.13,0.13
9,Operating Expenses,14.25,17.45,16.95,24.78,20.52,16.19,15.17,21.1,12.26,13.47,13.47,13.88,13.88,15.8,15.8,13.44,13.44
10,Operating Income,5.34,7.4,2.02,19.3,3.31,7.63,6.82,31.27,15.54,7.75,7.75,23.82,23.82,8.12,8.12,3.81,3.81
11,Interest Expense,-0,-0,-0,-0.01,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0.01,-0.01,-,-
12,Interest & Investment Income,2.85,1.85,2.77,5.1,4.1,0.63,0.5,0.72,0.57,0.6,0.6,0.66,0.66,0.58,0.58,0.53,0.53
13,Currency Exchange Gain (Loss),-0.91,0.91,-,-0.32,-0.35,0.35,-,-0.42,-0.87,0.44,0.44,-0.19,-0.19,-0.28,-0.28,-,-
14,Other Non Operating Income (Expenses),3.17,-1.32,-0.5,0.73,-0.16,-0.44,2.2,-2.88,0.87,0.9,0.9,-0.09,-0.09,-0,-0,-0.01,-0.01
15,EBT Excluding Unusual Items,10.46,8.83,4.29,24.8,6.9,8.16,9.52,28.68,16.11,9.67,9.67,24.2,24.2,8.41,8.41,4.33,4.33
16,Gain (Loss) on Sale of Investments,0.87,3.14,3.65,0.01,-,-,-,-,-,-,-,-0.2,-0.2,0.2,0.2,-,-
17,Gain (Loss) on Sale of Assets,-,-,-,-0.01,0.04,-,-,-,-,0.01,0.01,-,-,-,-,-0,-0
18,Asset Writedown,-,-,-,-0.04,0.04,-0.04,-,-,-,-,-,-,-,-,-,0.13,0.13
19,Other Unusual Items,-1.86,1.86,0,9.85,-,-,-,4.91,0.01,-0.01,-0.01,0.87,0.87,2.23,2.23,0.4,0.4
20,Pretax Income,9.47,13.84,7.94,34.61,6.98,8.13,9.52,33.59,16.12,9.68,9.68,24.87,24.87,10.85,10.85,4.86,4.86
21,Income Tax Expense,0.36,0.6,0.33,2.41,-2.45,0.34,0.66,3.62,2.01,0.95,0.95,3.21,3.21,1.24,1.24,0.84,0.84
22,Earnings From Continuing Operations,9.11,13.24,7.61,32.2,9.43,7.79,8.86,29.97,14.11,8.72,8.72,21.66,21.66,9.6,9.6,4.03,4.03
23,Minority Interest in Earnings,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,9.12,13.24,7.61,32.2,9.43,7.79,8.86,29.97,14.11,8.72,8.72,21.66,21.66,9.6,9.6,4.03,4.03
25,Net Income to Common,9.12,13.24,7.61,32.2,9.43,7.79,8.86,29.97,14.11,8.72,8.72,21.66,21.66,9.6,9.6,4.03,4.03
26,Net Income Growth,-3.29%,70.05%,-14.06%,7.45%,-33.20%,-10.74%,1.51%,38.37%,-34.85%,-9.17%,-9.17%,437.81%,437.81%,-,-,-,-
27,Shares Outstanding (Basic),90,89,85,87,87,65,68,67,66,66,66,66,66,66,66,58,58
28,Shares Outstanding (Diluted),90,89,85,87,87,65,68,67,66,66,66,66,66,66,66,58,58
29,Shares Change (YoY),3.94%,37.20%,24.14%,30.15%,31.50%,-1.47%,3.23%,0.93%,0.06%,-0.02%,-0.02%,14.72%,14.72%,-,-,-,-
30,EPS (Basic),0.10,0.15,0.09,0.37,0.11,0.12,0.13,0.45,0.21,0.13,0.13,0.33,0.33,0.15,0.15,0.07,0.07
31,EPS (Diluted),0.10,0.15,0.09,0.37,0.11,0.12,0.13,0.45,0.21,0.13,0.13,0.33,0.33,0.14,0.14,0.07,0.07
32,EPS Growth,-6.95%,23.95%,-30.77%,-17.44%,-49.20%,-9.41%,-1.66%,37.43%,-34.89%,-8.83%,-8.83%,367.66%,368.81%,-,-,-,-
33,Free Cash Flow,-56.15,-0.49,-22.65,76.37,-21.01,12.92,-36.93,78.31,20.97,-24.28,-24.28,31.35,31.35,-15.38,-15.38,-22.69,-22.69
34,Free Cash Flow Per Share,-0.62,-0.01,-0.27,0.88,-0.24,0.20,-0.54,1.18,0.32,-0.37,-0.37,0.47,0.47,-0.23,-0.23,-0.39,-0.39
35,Dividend Per Share,-,-,-,0.350,-,-,-,-,-,-,-,0.300,-,-,-,-,-
36,Gross Margin,39.04%,35.57%,31.84%,36.19%,35.13%,45.54%,30.72%,42.33%,41.36%,36.53%,36.53%,46.88%,46.88%,41.75%,41.75%,54.57%,54.57%
37,Operating Margin,10.64%,10.59%,3.39%,15.84%,4.88%,14.59%,9.53%,25.28%,23.12%,13.33%,13.33%,29.62%,29.62%,14.18%,14.18%,12.05%,12.05%
38,Profit Margin,18.17%,18.96%,12.77%,26.43%,13.90%,14.89%,12.38%,24.22%,20.99%,15.02%,15.02%,26.93%,26.93%,16.76%,16.76%,12.74%,12.74%
39,Free Cash Flow Margin,-111.91%,-0.69%,-38.01%,62.69%,-30.98%,24.70%,-51.62%,63.29%,31.19%,-41.78%,-41.78%,38.98%,38.98%,-26.84%,-26.84%,-71.78%,-71.78%
40,EBITDA,7.15,9.17,3.83,21.11,5.08,9.44,8.59,33.04,17.3,9.5,9.5,25.54,25.54,9.64,9.64,5.19,5.19
41,EBITDA Margin,14.25%,13.12%,6.43%,17.33%,7.49%,18.05%,12.00%,26.71%,25.74%,16.36%,16.36%,31.76%,31.76%,16.83%,16.83%,16.42%,16.42%
42,D&A For EBITDA,1.81,1.77,1.81,1.81,1.77,1.81,1.77,1.77,1.76,1.76,1.76,1.72,1.72,1.52,1.52,1.38,1.38
