,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2015,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Cash & Equivalents,175.74,346.9,245.33,540.2,321.86,832.08,-,218.48,-,120.05,120.05,190.2,190.2,103.22,103.22,55.05,55.05
1,Trading Asset Securities,605.65,476.78,603.65,330.02,455.7,-,-,-,-,-,-,-,-,30.41,30.41,-,-
2,Cash & Short-Term Investments,781.39,823.68,848.98,870.22,777.56,832.08,218.48,218.48,-,120.05,120.05,190.2,190.2,133.62,133.62,55.05,55.05
3,Cash Growth,0.49%,-1.01%,288.59%,298.31%,-,593.09%,81.98%,14.87%,-,-10.15%,-10.15%,245.49%,245.49%,-,-,-,-
4,Accounts Receivable,73.62,79.53,87.68,87.78,96.03,85.18,-,62.34,-,72.66,72.66,46.69,46.69,53.96,53.96,9.3,9.3
5,Other Receivables,47.87,1.67,1.8,1.94,2.63,3.03,-,3.33,-,3.45,3.45,0,3.76,2.07,2.07,0.89,0.89
6,Receivables,121.48,81.2,89.48,89.72,98.66,88.21,-,65.67,-,76.11,76.11,46.69,50.44,56.03,56.03,10.19,10.19
7,Inventory,87.28,93.8,97.09,79.53,86.42,84.24,-,86.48,-,84.67,84.67,79.02,79.02,76.93,76.93,6.89,6.89
8,Prepaid Expenses,-,3.94,-,2.17,-,0.51,-,1.07,-,3.85,3.85,1.46,0.11,2.4,2.4,-,-
9,Other Current Assets,44.17,15.84,12.17,9.53,33.42,6.88,-,6.79,-,9.99,9.99,6.3,3.9,2.67,2.67,1.43,1.43
10,Total Current Assets,1034,1018,1048,1051,996.06,1012,-,378.49,-,294.68,294.68,323.67,323.67,271.65,271.65,73.56,73.56
11,"Property, Plant & Equipment",48.94,50.76,51.47,52.77,53.45,52.17,-,54.21,-,56.36,56.36,71.75,71.75,74.5,74.5,46.21,46.21
12,Other Intangible Assets,-,-,-,-,-,-,-,-,-,0.01,0.01,0.06,0.06,0.11,0.11,0.66,0.66
13,Long-Term Deferred Tax Assets,0.04,0.01,0.3,0.61,1.01,0.88,-,0.46,-,0.7,0.7,0.48,0.48,0.57,0.57,0.2,0.2
14,Long-Term Deferred Charges,0.4,0.4,0.43,0.46,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Other Long-Term Assets,16.61,16.62,17.59,18.08,18.66,19.05,-,20.03,-,21.01,21.01,8.46,8.46,0.73,0.73,33.46,33.46
16,Total Assets,1100,1086,1118,1123,1069,1084,-,453.19,-,372.76,372.76,404.44,404.44,347.57,347.57,154.09,154.09
17,Accounts Payable,19.87,13.05,20.22,34.23,15.71,19.7,-,37.36,-,9.75,9.75,25.16,25.16,12.52,12.52,6.29,6.29
18,Accrued Expenses,0.89,2.57,1.03,12.49,0.94,26.54,-,12.44,-,2.27,2.27,10.87,10.87,7.37,7.37,0.07,0.07
19,Current Portion of Leases,0.22,0.29,0.33,0.33,0.32,0.19,-,0.11,-,0.05,0.05,0.3,0.3,0.36,0.36,-,-
20,Current Income Taxes Payable,2,0.08,0.42,0.01,0.65,0.09,-,0.81,-,0.01,0.01,0.01,0.01,0,0,1.24,1.24
21,Current Unearned Revenue,66.79,66.96,75.94,61.25,69.84,67.06,-,63.75,-,62.77,62.77,70.34,70.34,69.08,69.08,-,-
22,Other Current Liabilities,1.37,3.29,1.94,4.55,3.34,1.62,-,2.03,-,5.29,5.29,2.16,2.16,5.39,5.39,10.34,10.34
23,Total Current Liabilities,91.13,86.24,99.9,112.85,90.79,115.19,-,116.5,-,80.13,80.13,108.85,108.85,94.71,94.71,17.94,17.94
24,Long-Term Leases,-,0.01,0.05,0.14,0.22,0.16,-,0.12,-,-,-,-,-,0.12,0.12,-,-
25,Long-Term Unearned Revenue,-,0.01,0.02,0.03,-,0,-,0.08,-,0.18,0.18,0.29,0.29,0.4,0.4,0.21,0.21
26,Long-Term Deferred Tax Liabilities,-,0.1,-,-,0.38,0.23,-,-,-,0.25,0.25,0.29,0.29,0.37,0.37,-,-
27,Total Liabilities,91.13,86.36,99.97,113.02,91.39,115.58,-,116.71,-,80.56,80.56,109.43,109.43,95.61,95.61,18.15,18.15
28,Common Stock,88,88,88,88,88,88,-,66,-,66,66,66,66,66,66,66,66
29,Additional Paid-In Capital,665.37,665.37,665.37,665.37,665.37,665.37,-,71.92,-,71.92,71.92,71.92,71.92,71.92,71.92,60.61,60.61
30,Retained Earnings,256.67,247.55,265.11,257.5,225.31,215.88,-,199.23,-,155.17,155.17,157.53,157.53,114.21,114.21,9.32,9.32
31,Comprehensive Income & Other,-0.85,-1.03,-0.94,-0.79,-0.89,-0.8,-,-0.66,-,-0.9,-0.9,-0.43,-0.43,-0.17,-0.17,-,-
32,Total Common Equity,1009,999.89,1018,1010,977.79,968.45,336.49,336.49,-,292.2,292.2,295.01,295.01,251.96,251.96,135.94,135.94
33,Minority Interest,-0,-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
