,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,276.35,229.79,282.97,247.17,260.68,227.29,318.79,316.93,282.26,245.23,321.63,303.62,245.12,288.74,332.75,388.38,439.99,479.46,313.75
1,Other Revenue,-8.11,8.11,-,27.55,-16.51,16.51,-,20.24,-9.26,9.26,-,16.19,-8.8,8.8,-,13.55,-6.06,6.06,-
2,Revenue,268.23,237.9,282.97,274.72,244.17,243.8,318.79,337.17,272.99,254.49,321.63,319.8,236.32,297.54,332.75,401.94,433.92,485.52,313.75
3,Revenue Growth (YoY),9.86%,-2.42%,-11.24%,-18.52%,-10.56%,-4.20%,-0.88%,5.43%,15.52%,-14.47%,-3.34%,-20.44%,-45.54%,-38.72%,6.06%,-,-,-,-
4,Cost of Revenue,209.65,183.05,226.59,242.38,189.02,202.97,265.89,298.99,235.3,225.55,282.82,303.47,190.36,231.01,248.32,307.64,333.44,285.03,256.07
5,Gross Profit,58.59,54.85,56.38,32.33,55.15,40.83,52.9,38.18,37.7,28.95,38.81,16.33,45.95,66.53,84.43,94.29,100.48,200.49,57.68
6,"Selling, General & Admin",44.85,44.04,32,39.63,37.22,31.3,27.28,32.49,27.8,36.49,28.74,39.5,39.74,24.66,23.96,26.59,20.73,43.02,-
7,Research & Development,11.14,11.5,10.22,10.87,11.25,11.55,10.43,13.04,12.84,13.73,11.36,13.31,12.33,12.95,10.68,11.75,18.81,28.27,-
8,Other Operating Expenses,-1.68,0.16,-0.57,-5.47,-0.64,0.18,0.99,6.84,-1.88,-2.13,0.31,3.24,0.09,-0.12,1.06,9.07,-0.82,-5.13,-
9,Operating Expenses,55.86,54.1,43.27,43.42,47.55,39.77,40.39,53.93,38.31,48.89,43.72,57.52,49.45,34.85,37.5,41.55,44.8,67.82,-
10,Operating Income,2.73,0.75,13.12,-11.09,7.6,1.07,12.51,-15.75,-0.61,-19.94,-4.9,-41.19,-3.49,31.68,46.93,52.75,55.68,132.67,57.68
11,Interest Expense,-0.15,-0.16,-0.17,-0.18,-0.22,-0.2,-0.06,-0.05,-0.06,-0.07,-0.09,-0.1,-0.02,-0.45,-0.39,-,-0.9,-1.84,-
12,Interest & Investment Income,4.07,5.29,6.93,6.66,6.39,5.76,5.44,5.62,5.72,5.99,6.25,6.03,6.89,2.92,1.85,2.22,0.46,1.39,-
13,Earnings From Equity Investments,1.57,-0.68,-0.89,-,0.14,-0.14,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Currency Exchange Gain (Loss),-3.4,3.4,-,5.66,-9.18,9.18,-,16.54,-9.88,9.88,-,-4.37,2.85,-2.85,-,-21.38,-2.55,2.55,-
15,Other Non Operating Income (Expenses),-1.22,-4.71,1.81,-9.42,8.4,3.03,-4.31,-22.93,22.46,-0.13,-0.62,-1.37,-3.45,-1.07,0.26,9.31,-8.27,-4.18,-1.11
16,EBT Excluding Unusual Items,3.6,3.88,20.8,-8.37,13.13,18.7,13.59,-16.58,17.62,-4.27,0.64,-41,2.78,30.24,48.65,42.89,44.42,130.59,56.57
17,Gain (Loss) on Sale of Investments,-0.97,-,-,0.85,-2.04,-2.15,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,0.02,0.04,-,0.44,0.35,-0.35,-0,-0.04,0.17,-0.01,0,-0.04,0.01,0.08,-,0,-0,-0.01,-
19,Asset Writedown,-4.64,-,-,-0.56,-6.39,-5.37,-1.53,-58.84,-3.46,0.2,-0.2,1.29,-1.45,0.68,-0.68,1.74,-1.74,-32.59,-
20,Other Unusual Items,0.11,2,0.09,-0.83,-,-,-,8.39,-,-,-,2.99,-,-,-,12.43,-,-,-
21,Pretax Income,-1.88,5.93,20.89,-8.48,5.05,10.82,12.06,-67.07,14.33,-4.08,0.44,-36.76,1.33,30.99,47.97,57.06,42.68,97.99,56.57
22,Income Tax Expense,-0.46,0.74,2.68,-0.4,0.5,0.72,0.88,2.09,0.56,-1.97,-0.81,-3.52,-0.73,2.49,5.86,7.97,3.78,12.38,7.07
23,Earnings From Continuing Operations,-1.41,5.19,18.2,-8.08,4.55,10.11,11.18,-69.16,13.77,-2.11,1.25,-33.24,2.07,28.5,42.11,49.09,38.89,85.61,49.51
24,Minority Interest in Earnings,0.27,-0.3,0.13,1.06,0.77,0.68,-0.09,11.26,0.44,0.7,0.71,3.54,0.02,-1.39,-1.86,-3.13,-2.17,-1.6,-2.18
25,Net Income,-1.14,4.88,18.33,-7.02,5.32,10.79,11.1,-57.9,14.22,-1.4,1.96,-29.7,2.09,27.11,40.25,45.96,36.72,84.01,47.33
26,Net Income to Common,-1.14,4.88,18.33,-7.02,5.32,10.79,11.1,-57.9,14.22,-1.4,1.96,-29.7,2.09,27.11,40.25,45.96,36.72,84.01,47.33
27,Net Income Growth,-,-54.74%,65.19%,-,-62.60%,-,466.92%,-,581.37%,-,-95.14%,-,-94.32%,-67.72%,-14.96%,-,-,-,-
28,Shares Outstanding (Basic),268,269,272,338,272,272,272,262,261,283,272,120,407,204,204,204,201,204,-
29,Shares Outstanding (Diluted),268,269,272,338,272,272,272,262,261,283,272,120,407,204,204,204,201,204,-
30,Shares Change (YoY),-1.32%,-1.19%,-0.00%,28.99%,3.98%,-3.99%,0.04%,118.94%,-35.87%,38.50%,33.34%,-41.19%,102.30%,0.24%,-,-,-,-,-
31,EPS (Basic),-0.00,0.02,0.07,-0.02,0.02,0.04,0.04,-0.22,0.05,-0.00,0.01,-0.25,0.01,0.13,0.20,0.23,0.18,0.41,-
32,EPS (Diluted),-0.00,0.02,0.07,-0.02,0.02,0.04,0.04,-0.22,0.05,-0.00,0.01,-0.25,0.01,0.13,0.20,0.23,0.18,0.41,-
33,EPS Growth,-,-54.20%,65.20%,-,-64.03%,-,466.67%,-,962.56%,-,-96.35%,-,-97.19%,-67.80%,-,-,-,-,-
34,Free Cash Flow,1.69,-13.84,-14.8,53,48.08,60.28,0.33,-41.98,-41.39,14.78,-85.02,34.11,-87.26,-14.82,-121.95,114.22,16.34,-,-
35,Free Cash Flow Per Share,0.01,-0.05,-0.05,0.16,0.18,0.22,0.00,-0.16,-0.16,0.05,-0.31,0.28,-0.21,-0.07,-0.60,0.56,0.08,-,-
36,Dividend Per Share,-,-,-,0.075,-,-,-,-,-,-,-,0.070,-,-,-,-,-,-,-
37,Gross Margin,21.84%,23.06%,19.93%,11.77%,22.59%,16.75%,16.59%,11.32%,13.81%,11.37%,12.07%,5.11%,19.45%,22.36%,25.37%,23.46%,23.16%,41.29%,18.38%
38,Operating Margin,1.02%,0.31%,4.63%,-4.04%,3.11%,0.44%,3.93%,-4.67%,-0.22%,-7.84%,-1.52%,-12.88%,-1.48%,10.65%,14.10%,13.12%,12.83%,27.33%,18.38%
39,Profit Margin,-0.43%,2.05%,6.48%,-2.55%,2.18%,4.43%,3.48%,-17.17%,5.21%,-0.55%,0.61%,-9.29%,0.88%,9.11%,12.10%,11.43%,8.46%,17.30%,15.08%
40,Free Cash Flow Margin,0.63%,-5.82%,-5.23%,19.29%,19.69%,24.72%,0.10%,-12.45%,-15.16%,5.81%,-26.43%,10.67%,-36.93%,-4.98%,-36.65%,28.42%,3.76%,-,-
41,EBITDA,16.06,14.06,26.44,2.24,22.53,14.4,27.45,-0.82,11.53,-5.11,7.24,-29.05,6.32,43.12,56.74,62.56,63.65,141.74,65.65
42,EBITDA Margin,5.99%,5.91%,9.34%,0.81%,9.23%,5.91%,8.61%,-0.24%,4.22%,-2.01%,2.25%,-9.08%,2.67%,14.49%,17.05%,15.56%,14.67%,29.19%,20.92%
43,D&A For EBITDA,13.32,13.31,13.32,13.32,14.93,13.34,14.93,14.93,12.14,14.83,12.14,12.14,9.81,11.43,9.81,9.81,7.97,9.07,7.97
44,EBIT,2.73,0.75,13.12,-11.09,7.6,1.07,12.51,-15.75,-0.61,-19.94,-4.9,-41.19,-3.49,31.68,46.93,52.75,55.68,132.67,57.68
45,EBIT Margin,1.02%,0.31%,4.63%,-4.04%,3.11%,0.44%,3.93%,-4.67%,-0.22%,-7.84%,-1.52%,-12.88%,-1.48%,10.65%,14.10%,13.12%,12.83%,27.33%,18.38%
46,Effective Tax Rate,-,12.52%,12.85%,-,9.91%,6.62%,7.26%,-,3.90%,-,-,-,-,8.03%,12.21%,13.97%,8.87%,12.63%,12.49%
47,Revenue as Reported,268.23,237.9,282.97,274.72,244.17,243.8,318.79,337.17,272.99,254.49,321.63,319.8,236.32,297.54,332.75,401.94,433.92,799.27,-
