,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3261,2468,2006,2409,2898,3466,3162,3341,3262,2803,3393,4108,5016,5679,9156,-,-,-,-,-
1,Market Cap Growth,-28.81%,-28.81%,-36.56%,-27.91%,-11.17%,23.67%,-6.81%,-18.66%,-34.96%,-50.65%,-62.95%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2583,1764,1275,1706,2195,2801,2565,2691,2612,2102,2698,3471,4379,4764,8864,-,-,-,-,-
3,Last Close Price,12.24,9.19,7.39,8.77,10.55,12.62,11.51,12.16,11.88,10.20,12.35,14.87,18.16,20.56,33.14,-,-,-,-,-
4,PE Ratio,233.09,-,93.23,87.84,-,-112.92,-145.05,-98.30,-,-187.70,-,2822.78,-,49.21,61.03,-,-,-,-,-
5,Forward PE,102.00,83.55,46.69,20.42,29.61,35.17,35.78,31.72,39.34,30.66,26.00,26.33,27.43,31.06,-,-,-,-,-,-
6,PS Ratio,3.30,2.32,1.93,2.30,2.68,3.03,2.70,2.82,2.75,2.40,3.00,3.50,4.23,4.48,6.25,-,-,-,-,-
7,PB Ratio,2.44,1.74,1.41,1.68,2.00,2.38,2.18,2.32,2.28,1.87,2.28,2.72,3.33,3.69,5.95,-,-,-,-,-
8,P/TBV Ratio,1.95,1.95,1.59,1.88,2.25,2.67,2.45,2.61,2.57,2.12,2.59,3.09,3.78,4.07,6.58,-,-,-,-,-
9,P/FCF Ratio,125.18,94.73,-,-,17.92,51.96,-138.95,-48.95,-,-,-27.50,-,-26.41,-,-,-,-,-,-,-
10,P/OCF Ratio,23.78,23.78,13.91,10.91,12.73,25.14,48.05,332.89,-,-,117.07,-,99.27,-,38.73,-,-,-,-,-
11,EV/Sales Ratio,2.43,1.66,1.23,1.63,2.03,2.45,2.19,2.27,2.20,1.80,2.38,2.95,3.69,3.76,6.05,-,-,-,-,-
12,EV/EBITDA Ratio,50.66,30.01,19.54,26.00,32.95,44.06,48.79,81.41,-,-136.64,-,125.63,-,28.24,39.21,-,-,-,-,-
13,EV/EBIT Ratio,-,320.45,122.97,159.58,-,516.29,-921.87,-113.10,-,-,-,-,-,-,47.39,-,-,-,-,-
14,EV/FCF Ratio,99.14,67.73,-,-,13.58,41.99,-112.73,-39.43,-,-,-21.86,-,-23.05,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-,0.03,0.15,0.15,-,0.23,0.09
16,Debt / EBITDA Ratio,0.26,0.20,0.21,0.14,0.84,0.21,0.30,0.04,1.66,0.12,-,0.23,-,-,0.29,0.44,0.40,-,0.24,0.16
17,Debt / FCF Ratio,0.50,0.50,-,-,0.11,0.28,-0.83,-0.07,-,-,-0.05,-,-0.03,-,-,-,0.76,-,-,-
18,Asset Turnover,0.56,0.48,0.57,0.56,0.50,0.50,0.65,0.68,0.53,0.49,0.62,0.62,0.45,-,-,-,-,-,-,
