,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,1884,1884,1939,1581,1581,1388,1577,1608,1632,1364,1502,Upgrade
1,Market Cap Growth,19.20%,19.20%,22.69%,13.92%,0.25%,-13.73%,-3.38%,17.92%,8.66%,-19.86%,-8.20%,Upgrade
2,Enterprise Value,-1055,-929,-517,-272,209,-15,-63,-232,-118,-85,668,Upgrade
3,Last Close Price,4.88,4.68,4.49,3.58,3.36,2.89,3.06,3.07,2.93,2.39,2.37,Upgrade
4,PE Ratio,7.32,7.17,5.53,4.99,6.26,6.28,7.85,3.47,3.53,2.07,2.33,Upgrade
5,Forward PE,-,15.88,15.88,15.88,15.88,15.88,15.88,15.88,15.88,15.88,15.88,Upgrade
6,PS Ratio,0.92,0.90,0.81,0.66,0.74,0.68,0.78,0.70,0.72,0.62,0.51,Upgrade
7,PB Ratio,0.54,0.53,0.54,0.45,0.47,0.42,0.48,0.49,0.50,0.46,0.51,Upgrade
8,P/TBV Ratio,0.53,0.53,0.54,0.45,0.47,0.42,0.48,0.49,0.50,0.46,0.51,Upgrade
9,P/FCF Ratio,5.55,5.56,5.37,3.74,3.53,2.22,2.12,3.77,2.88,3.74,-,Upgrade
10,P/OCF Ratio,5.06,5.06,5.03,3.52,3.18,2.03,2.01,3.53,2.77,2.98,1.73,Upgrade
11,EV/Sales Ratio,-,-,-,-,0.10,-,-,-,-,-,0.23,Upgrade
12,EV/EBITDA Ratio,-,-,-,-,0.55,-,-,-,-,-,-,Upgrade
13,EV/EBIT Ratio,-,-,-,-,0.60,-,-,-,-,-,-,Upgrade
14,EV/FCF Ratio,-3.11,-,-,-,0.47,-,-,-,-,-,-,Upgrade
15,Debt / Equity Ratio,0.28,0.28,0.37,0.45,0.50,0.55,0.59,0.62,0.51,0.63,0.71,Upgrade
16,Debt / FCF Ratio,2.97,2.97,3.63,3.71,3.78,2.89,2.63,4.74,2.89,5.06,-,Upgrade
17,Return on Capital Employed (ROCE),6.68%,6.68%,8.60%,9.61%,8.98%,7.29%,6.47%,14.81%,13.15%,-8.08%,-,Upgrade
18,Earnings Yield,13.94%,13.94%,18.09%,20.06%,15.98%,15.92%,12.74%,28.83%,28.30%,48.41%,43.00%,Upgrade
19,FCF Yield,18.00%,18.00%,18.62%,26.77%,28.35%,45.13%,47.10%,26.52%,34.73%,26.73%,51.45%,Upgrade
20,Dividend Yield,9.22%,9.61%,10.02%,10.33%,10.42%,12.10%,11.42%,11.41%,11.96%,14.63%,14.79%,Upgrade
21,Buyback Yield / Dilution,-,-,-,-,-,-,-,0.00%,1.16%,2.30%,Upgrade,
22,Total Shareholder Return,9.22%,9.61%,10.02%,10.33%,10.42%,12.10%,11.42%,11.41%,11.96%,15.79%,17.09%,Upgrade
